DATE,DATE,CLOSE
2016-11-01,2016-11-01,45.31
2016-11-02,2016-11-02,44.74
2016-11-03,2016-11-03,44.91
2016-11-04,2016-11-04,44.87
2016-11-07,2016-11-07,46.18
2016-11-08,2016-11-08,45.6
2016-11-09,2016-11-09,48.14
2016-11-10,2016-11-10,49.88
2016-11-11,2016-11-11,50.58
2016-11-14,2016-11-14,52.22
2016-11-15,2016-11-15,52.38
2016-11-16,2016-11-16,50.79
2016-11-17,2016-11-17,51.4
2016-11-18,2016-11-18,51.78
2016-11-21,2016-11-21,51.72
2016-11-22,2016-11-22,52.08
2016-11-23,2016-11-23,52.36
2016-11-25,2016-11-25,52.46
2016-11-28,2016-11-28,51.56
2016-11-29,2016-11-29,51.14
2016-11-30,2016-11-30,51.95
2016-12-01,2016-12-01,52.71
2016-12-02,2016-12-02,52.04
2016-12-05,2016-12-05,52.54
2016-12-06,2016-12-06,53.79
2016-12-07,2016-12-07,54.46
2016-12-08,2016-12-08,54.79
2016-12-09,2016-12-09,54.84
2016-12-12,2016-12-12,54.1
2016-12-13,2016-12-13,54.45
2016-12-14,2016-12-14,55.13
2016-12-15,2016-12-15,55.8
2016-12-16,2016-12-16,55.27
2016-12-19,2016-12-19,55.32
2016-12-20,2016-12-20,56.17
2016-12-21,2016-12-21,56.02
2016-12-22,2016-12-22,56.15
2016-12-23,2016-12-23,56.17
2016-12-27,2016-12-27,56.39
2016-12-28,2016-12-28,55.48
2016-12-29,2016-12-29,54.69
2016-12-30,2016-12-30,54.85
2017-01-03,2017-01-03,55.49
2017-01-04,2017-01-04,56.14
2017-01-05,2017-01-05,54.9
2017-01-06,2017-01-06,55.53
2017-01-09,2017-01-09,55.24
2017-01-10,2017-01-10,55.7
2017-01-11,2017-01-11,56.03
2017-01-12,2017-01-12,55.49
2017-01-13,2017-01-13,55.97
2017-01-17,2017-01-17,53.88
2017-01-18,2017-01-18,54.36
2017-01-19,2017-01-19,53.84
2017-01-20,2017-01-20,54.84
2017-01-23,2017-01-23,55.14
2017-01-24,2017-01-24,56.48
2017-01-25,2017-01-25,58.17
2017-01-26,2017-01-26,58.26
2017-01-27,2017-01-27,57.75
2017-01-30,2017-01-30,57.27
2017-01-31,2017-01-31,56.82
2017-02-01,2017-02-01,57.14
2017-02-02,2017-02-02,56.83
2017-02-03,2017-02-03,57.97
2017-02-06,2017-02-06,57.72
2017-02-07,2017-02-07,57.4
2017-02-08,2017-02-08,56.93
2017-02-09,2017-02-09,57.73
2017-02-10,2017-02-10,57.76
2017-02-13,2017-02-13,58.14
2017-02-14,2017-02-14,59.59
2017-02-15,2017-02-15,60.04
2017-02-16,2017-02-16,59.85
2017-02-17,2017-02-17,59.59
2017-02-21,2017-02-21,59.79
2017-02-22,2017-02-22,59.78
2017-02-23,2017-02-23,59.8
2017-02-24,2017-02-24,59.29
2017-02-27,2017-02-27,59.67
2017-02-28,2017-02-28,59.49
2017-03-01,2017-03-01,61.39
2017-03-02,2017-03-02,59.73
2017-03-03,2017-03-03,60.05
2017-03-06,2017-03-06,59.67
2017-03-07,2017-03-07,59.72
2017-03-08,2017-03-08,59.39
2017-03-09,2017-03-09,59.32
2017-03-10,2017-03-10,58.94
2017-03-13,2017-03-13,58.76
2017-03-14,2017-03-14,58.64
2017-03-15,2017-03-15,57.91
2017-03-16,2017-03-16,58.36
2017-03-17,2017-03-17,57.71
2017-03-20,2017-03-20,57.27
2017-03-21,2017-03-21,54.4
2017-03-22,2017-03-22,54.18
2017-03-23,2017-03-23,54.85
2017-03-24,2017-03-24,54.81
2017-03-27,2017-03-27,54.34
2017-03-28,2017-03-28,55.1
2017-03-29,2017-03-29,55.03
2017-03-30,2017-03-30,56.08
2017-03-31,2017-03-31,55.3
2017-04-03,2017-04-03,55.46
2017-04-04,2017-04-04,55.25
2017-04-05,2017-04-05,54.8
2017-04-06,2017-04-06,55.56
2017-04-07,2017-04-07,55.35
2017-04-10,2017-04-10,54.86
2017-04-11,2017-04-11,54.97
2017-04-12,2017-04-12,53.99
2017-04-13,2017-04-13,53.45
2017-04-17,2017-04-17,54.51
2017-04-18,2017-04-18,53.8
2017-04-19,2017-04-19,54.15
2017-04-20,2017-04-20,55.49
2017-04-21,2017-04-21,54.85
2017-04-24,2017-04-24,56.8
2017-04-25,2017-04-25,57.19
2017-04-26,2017-04-26,57.68
2017-04-27,2017-04-27,57.17
2017-04-28,2017-04-28,56.81
2017-05-01,2017-05-01,57.75
2017-05-02,2017-05-02,57.15
2017-05-03,2017-05-03,57.97
2017-05-04,2017-05-04,57.93
2017-05-05,2017-05-05,57.84
2017-05-08,2017-05-08,58.16
2017-05-09,2017-05-09,57.62
2017-05-10,2017-05-10,57.6
2017-05-11,2017-05-11,56.95
2017-05-12,2017-05-12,56.33
2017-05-15,2017-05-15,56.72
2017-05-16,2017-05-16,57.04
2017-05-17,2017-05-17,53.59
2017-05-18,2017-05-18,54.07
2017-05-19,2017-05-19,54.05
2017-05-22,2017-05-22,54.24
2017-05-23,2017-05-23,54.79
2017-05-24,2017-05-24,54.55
2017-05-25,2017-05-25,54.54
2017-05-26,2017-05-26,54.32
2017-05-30,2017-05-30,54.03
2017-05-31,2017-05-31,53.37
2017-06-01,2017-06-01,54.15
2017-06-02,2017-06-02,53.49
2017-06-05,2017-06-05,53.77
2017-06-06,2017-06-06,53.4
2017-06-07,2017-06-07,54.14
2017-06-08,2017-06-08,55.19
2017-06-09,2017-06-09,56.55
2017-06-12,2017-06-12,56.2
2017-06-13,2017-06-13,56.24
2017-06-14,2017-06-14,56.43
2017-06-15,2017-06-15,56.02
2017-06-16,2017-06-16,56.15
2017-06-19,2017-06-19,56.32
2017-06-20,2017-06-20,55.7
2017-06-21,2017-06-21,55.29
2017-06-22,2017-06-22,54.73
2017-06-23,2017-06-23,54.43
2017-06-26,2017-06-26,54.81
2017-06-27,2017-06-27,55.21
2017-06-28,2017-06-28,56.09
2017-06-29,2017-06-29,56.82
2017-06-30,2017-06-30,56.72
2017-07-03,2017-07-03,57.62
2017-07-05,2017-07-05,57.72
2017-07-06,2017-07-06,57.36
2017-07-07,2017-07-07,57.77
2017-07-10,2017-07-10,57.55
2017-07-11,2017-07-11,57.18
2017-07-12,2017-07-12,57.07
2017-07-13,2017-07-13,57.49
2017-07-14,2017-07-14,56.6
2017-07-17,2017-07-17,56.62
2017-07-18,2017-07-18,55.96
2017-07-19,2017-07-19,55.88
2017-07-20,2017-07-20,55.63
2017-07-21,2017-07-21,55.98
2017-07-24,2017-07-24,57.04
2017-07-25,2017-07-25,57.41
2017-07-26,2017-07-26,56.73
2017-07-27,2017-07-27,56.7
2017-07-28,2017-07-28,56.59
2017-07-31,2017-07-31,57.29
2017-08-01,2017-08-01,57.69
2017-08-02,2017-08-02,57.64
2017-08-03,2017-08-03,57.8
2017-08-04,2017-08-04,58.45
2017-08-07,2017-08-07,58.06
2017-08-08,2017-08-08,58.05
2017-08-09,2017-08-09,57.6
2017-08-10,2017-08-10,56.42
2017-08-11,2017-08-11,55.99
2017-08-14,2017-08-14,57.31
2017-08-15,2017-08-15,57.35
2017-08-16,2017-08-16,57.46
2017-08-17,2017-08-17,56.13
2017-08-18,2017-08-18,56.13
2017-08-21,2017-08-21,55.78
2017-08-22,2017-08-22,56.52
2017-08-23,2017-08-23,56.33
2017-08-24,2017-08-24,56.23
2017-08-25,2017-08-25,56.41
2017-08-28,2017-08-28,55.77
2017-08-29,2017-08-29,55.12
2017-08-30,2017-08-30,55.49
2017-08-31,2017-08-31,55.1
2017-09-01,2017-09-01,55.48
2017-09-05,2017-09-05,53.84
2017-09-06,2017-09-06,53.82
2017-09-07,2017-09-07,52.3
2017-09-08,2017-09-08,52.37
2017-09-11,2017-09-11,53.57
