DATE,DATE,CLOSE
2016-11-01,2016-11-01,75.81
2016-11-02,2016-11-02,75.03
2016-11-03,2016-11-03,74.67
2016-11-04,2016-11-04,75.07
2016-11-07,2016-11-07,77.24
2016-11-08,2016-11-08,77.33
2016-11-09,2016-11-09,77.66
2016-11-10,2016-11-10,75.91
2016-11-11,2016-11-11,74.51
2016-11-14,2016-11-14,74.04
2016-11-15,2016-11-15,75.93
2016-11-16,2016-11-16,76.12
2016-11-17,2016-11-17,77.95
2016-11-18,2016-11-18,78.21
2016-11-21,2016-11-21,78.93
2016-11-22,2016-11-22,79.36
2016-11-23,2016-11-23,78.31
2016-11-25,2016-11-25,77.01
2016-11-28,2016-11-28,77.3
2016-11-29,2016-11-29,77.22
2016-11-30,2016-11-30,76.85
2016-12-01,2016-12-01,71.78
2016-12-02,2016-12-02,73.34
2016-12-05,2016-12-05,74.82
2016-12-06,2016-12-06,76.17
2016-12-07,2016-12-07,77.34
2016-12-08,2016-12-08,79.52
2016-12-09,2016-12-09,76.93
2016-12-12,2016-12-12,76.26
2016-12-13,2016-12-13,76.88
2016-12-14,2016-12-14,75.14
2016-12-15,2016-12-15,77.21
2016-12-16,2016-12-16,76.81
2016-12-19,2016-12-19,77.44
2016-12-20,2016-12-20,76.61
2016-12-21,2016-12-21,77.07
2016-12-22,2016-12-22,78.15
2016-12-23,2016-12-23,78.03
2016-12-27,2016-12-27,78.33
2016-12-28,2016-12-28,77.03
2016-12-29,2016-12-29,76.56
2016-12-30,2016-12-30,74.66
2017-01-03,2017-01-03,75.15
2017-01-04,2017-01-04,74.99
2017-01-05,2017-01-05,74.57
2017-01-06,2017-01-06,74.96
2017-01-09,2017-01-09,75.65
2017-01-10,2017-01-10,77.31
2017-01-11,2017-01-11,78.41
2017-01-12,2017-01-12,76.75
2017-01-13,2017-01-13,78.33
2017-01-17,2017-01-17,76.89
2017-01-18,2017-01-18,79.27
2017-01-19,2017-01-19,78.46
2017-01-20,2017-01-20,88.67
2017-01-23,2017-01-23,90.17
2017-01-24,2017-01-24,92.27
2017-01-25,2017-01-25,91.87
2017-01-26,2017-01-26,91.01
2017-01-27,2017-01-27,92.01
2017-01-30,2017-01-30,92.99
2017-01-31,2017-01-31,91.74
2017-02-01,2017-02-01,91.74
2017-02-02,2017-02-02,91.11
2017-02-03,2017-02-03,91.56
2017-02-06,2017-02-06,91.39
2017-02-07,2017-02-07,91.78
2017-02-08,2017-02-08,91.69
2017-02-09,2017-02-09,92.47
2017-02-10,2017-02-10,92.21
2017-02-13,2017-02-13,92.63
2017-02-14,2017-02-14,91.8
2017-02-15,2017-02-15,92.13
2017-02-16,2017-02-16,92.43
2017-02-17,2017-02-17,96.35
2017-02-21,2017-02-21,96.57
2017-02-22,2017-02-22,96.71
2017-02-23,2017-02-23,95.31
2017-02-24,2017-02-24,94.7
2017-02-27,2017-02-27,95.63
2017-02-28,2017-02-28,94.81
2017-03-01,2017-03-01,96.74
2017-03-02,2017-03-02,94.76
2017-03-03,2017-03-03,94.92
2017-03-06,2017-03-06,95.45
2017-03-07,2017-03-07,95.05
2017-03-08,2017-03-08,96.69
2017-03-09,2017-03-09,97.14
2017-03-10,2017-03-10,98.18
2017-03-13,2017-03-13,99.04
2017-03-14,2017-03-14,98.79
2017-03-15,2017-03-15,99.11
2017-03-16,2017-03-16,98.11
2017-03-17,2017-03-17,97.93
2017-03-20,2017-03-20,98.19
2017-03-21,2017-03-21,95.52
2017-03-22,2017-03-22,96.74
2017-03-23,2017-03-23,96.5
2017-03-24,2017-03-24,97.3
2017-03-27,2017-03-27,97.19
2017-03-28,2017-03-28,97.93
2017-03-29,2017-03-29,97.23
2017-03-30,2017-03-30,98.14
2017-03-31,2017-03-31,97.98
2017-04-03,2017-04-03,97.72
2017-04-04,2017-04-04,99.35
2017-04-05,2017-04-05,98.89
2017-04-06,2017-04-06,99.42
2017-04-07,2017-04-07,101.82
2017-04-10,2017-04-10,101.53
2017-04-11,2017-04-11,100.14
2017-04-12,2017-04-12,97.59
2017-04-13,2017-04-13,97.47
2017-04-17,2017-04-17,98.76
2017-04-18,2017-04-18,99.03
2017-04-19,2017-04-19,99.24
2017-04-20,2017-04-20,101.63
2017-04-21,2017-04-21,101.6
2017-04-24,2017-04-24,103.91
2017-04-25,2017-04-25,104.0
2017-04-26,2017-04-26,102.97
2017-04-27,2017-04-27,104.2
2017-04-28,2017-04-28,99.74
2017-05-01,2017-05-01,99.81
2017-05-02,2017-05-02,100.67
2017-05-03,2017-05-03,101.43
2017-05-04,2017-05-04,100.92
2017-05-05,2017-05-05,101.46
2017-05-08,2017-05-08,101.02
2017-05-09,2017-05-09,101.93
2017-05-10,2017-05-10,102.5
2017-05-11,2017-05-11,102.61
2017-05-12,2017-05-12,102.52
2017-05-15,2017-05-15,103.76
2017-05-16,2017-05-16,105.5
2017-05-17,2017-05-17,100.55
2017-05-18,2017-05-18,103.2
2017-05-19,2017-05-19,103.87
2017-05-22,2017-05-22,104.96
2017-05-23,2017-05-23,105.17
2017-05-24,2017-05-24,105.42
2017-05-25,2017-05-25,106.04
2017-05-26,2017-05-26,105.89
2017-05-30,2017-05-30,106.36
2017-05-31,2017-05-31,106.43
2017-06-01,2017-06-01,107.68
2017-06-02,2017-06-02,108.42
2017-06-05,2017-06-05,108.15
2017-06-06,2017-06-06,107.86
2017-06-07,2017-06-07,109.48
2017-06-08,2017-06-08,111.01
2017-06-09,2017-06-09,107.01
2017-06-12,2017-06-12,103.76
2017-06-13,2017-06-13,104.85
2017-06-14,2017-06-14,102.47
2017-06-15,2017-06-15,102.28
2017-06-16,2017-06-16,101.9
2017-06-19,2017-06-19,104.06
2017-06-20,2017-06-20,101.81
2017-06-21,2017-06-21,103.3
2017-06-22,2017-06-22,103.25
2017-06-23,2017-06-23,104.36
2017-06-26,2017-06-26,101.32
2017-06-27,2017-06-27,97.86
2017-06-28,2017-06-28,98.36
2017-06-29,2017-06-29,96.13
2017-06-30,2017-06-30,95.95
2017-07-03,2017-07-03,95.34
2017-07-05,2017-07-05,97.53
2017-07-06,2017-07-06,97.79
2017-07-07,2017-07-07,99.7
2017-07-10,2017-07-10,100.05
2017-07-11,2017-07-11,100.73
2017-07-12,2017-07-12,101.73
2017-07-13,2017-07-13,102.75
2017-07-14,2017-07-14,103.99
2017-07-17,2017-07-17,103.3
2017-07-18,2017-07-18,103.83
2017-07-19,2017-07-19,105.41
2017-07-20,2017-07-20,107.64
2017-07-21,2017-07-21,107.47
2017-07-24,2017-07-24,105.86
2017-07-25,2017-07-25,106.39
2017-07-26,2017-07-26,107.33
2017-07-27,2017-07-27,107.0
2017-07-28,2017-07-28,105.76
2017-07-31,2017-07-31,104.87
2017-08-01,2017-08-01,104.28
2017-08-02,2017-08-02,104.43
2017-08-03,2017-08-03,101.79
2017-08-04,2017-08-04,102.55
2017-08-07,2017-08-07,104.5
2017-08-08,2017-08-08,104.73
2017-08-09,2017-08-09,104.74
2017-08-10,2017-08-10,101.6
2017-08-11,2017-08-11,103.18
2017-08-14,2017-08-14,105.47
2017-08-15,2017-08-15,105.8
2017-08-16,2017-08-16,105.93
2017-08-17,2017-08-17,102.21
2017-08-18,2017-08-18,102.21
2017-08-21,2017-08-21,101.01
2017-08-22,2017-08-22,103.01
2017-08-23,2017-08-23,102.71
2017-08-24,2017-08-24,102.5
2017-08-25,2017-08-25,101.98
2017-08-28,2017-08-28,100.7
2017-08-29,2017-08-29,101.52
2017-08-30,2017-08-30,103.94
2017-08-31,2017-08-31,105.36
2017-09-01,2017-09-01,105.57
2017-09-05,2017-09-05,106.93
2017-09-06,2017-09-06,106.17
2017-09-07,2017-09-07,106.43
2017-09-08,2017-09-08,104.64
2017-09-11,2017-09-11,107.19
2017-09-12,2017-09-12,106.87
2017-09-13,2017-09-13,106.8
2017-09-14,2017-09-14,107.08
2017-09-15,2017-09-15,109.55
2017-09-18,2017-09-18,107.49
2017-09-19,2017-09-19,107.93
2017-09-20,2017-09-20,103.51
2017-09-21,2017-09-21,102.13
2017-09-22,2017-09-22,103.08
2017-09-25,2017-09-25,99.59
2017-09-26,2017-09-26,99.35
2017-09-27,2017-09-27,101.6
2017-09-28,2017-09-28,101.24
2017-09-29,2017-09-29,101.9
2017-10-02,2017-10-02,102.28
2017-10-03,2017-10-03,102.61
2017-10-04,2017-10-04,103.32
2017-10-05,2017-10-05,103.84
2017-10-06,2017-10-06,104.96
2017-10-09,2017-10-09,104.74
2017-10-10,2017-10-10,104.35
2017-10-11,2017-10-11,105.47
2017-10-12,2017-10-12,105.04
2017-10-13,2017-10-13,106.66
2017-10-16,2017-10-16,106.98
2017-10-17,2017-10-17,107.35
2017-10-18,2017-10-18,107.34
2017-10-19,2017-10-19,103.32
2017-10-20,2017-10-20,105.15
2017-10-23,2017-10-23,104.77
2017-10-24,2017-10-24,105.21
2017-10-25,2017-10-25,104.57
2017-10-26,2017-10-26,105.52
2017-10-27,2017-10-27,107.91
2017-10-30,2017-10-30,112.0
2017-10-31,2017-10-31,113.86
2017-11-01,2017-11-01,111.32
2017-11-02,2017-11-02,111.76
2017-11-03,2017-11-03,113.19
2017-11-06,2017-11-06,116.33
2017-11-07,2017-11-07,111.19
2017-11-08,2017-11-08,113.15
2017-11-09,2017-11-09,111.12
2017-11-10,2017-11-10,110.41
2017-11-13,2017-11-13,110.3
2017-11-14,2017-11-14,111.21
2017-11-15,2017-11-15,108.89
2017-11-16,2017-11-16,110.06
2017-11-17,2017-11-17,110.0
2017-11-20,2017-11-20,109.79
2017-11-21,2017-11-21,110.25
2017-11-22,2017-11-22,108.54
2017-11-24,2017-11-24,109.75
2017-11-27,2017-11-27,107.22
2017-11-28,2017-11-28,107.55
2017-11-29,2017-11-29,105.33
2017-11-30,2017-11-30,104.74
2017-12-01,2017-12-01,102.23
2017-12-04,2017-12-04,98.26
2017-12-05,2017-12-05,97.6
2017-12-06,2017-12-06,96.47
2017-12-07,2017-12-07,96.68
2017-12-08,2017-12-08,96.28
2017-12-11,2017-12-11,96.98
2017-12-12,2017-12-12,96.47
2017-12-13,2017-12-13,95.86
2017-12-14,2017-12-14,94.09
2017-12-15,2017-12-15,94.63
2017-12-18,2017-12-18,95.84
2017-12-19,2017-12-19,95.68
2017-12-20,2017-12-20,97.43
2017-12-21,2017-12-21,97.49
2017-12-22,2017-12-22,97.07
2017-12-26,2017-12-26,95.2
2017-12-27,2017-12-27,95.82
2017-12-28,2017-12-28,96.54
2017-12-29,2017-12-29,94.95
2018-01-02,2018-01-02,98.43
2018-01-03,2018-01-03,99.93
2018-01-04,2018-01-04,100.77
2018-01-05,2018-01-05,101.23
2018-01-08,2018-01-08,101.25
2018-01-09,2018-01-09,100.68
2018-01-10,2018-01-10,98.6
2018-01-11,2018-01-11,99.92
2018-01-12,2018-01-12,101.21
2018-01-16,2018-01-16,99.86
2018-01-17,2018-01-17,102.19
2018-01-18,2018-01-18,102.29
2018-01-19,2018-01-19,99.2
2018-01-22,2018-01-22,98.72
2018-01-23,2018-01-23,99.37
2018-01-24,2018-01-24,97.13
2018-01-25,2018-01-25,95.05
2018-01-26,2018-01-26,97.35
2018-01-29,2018-01-29,97.1
2018-01-30,2018-01-30,97.21
2018-01-31,2018-01-31,97.21
2018-02-01,2018-02-01,103.15
2018-02-02,2018-02-02,98.96
2018-02-05,2018-02-05,94.68
2018-02-06,2018-02-06,104.56
2018-02-07,2018-02-07,101.35
2018-02-08,2018-02-08,99.04
2018-02-09,2018-02-09,102.64
2018-02-12,2018-02-12,104.1
2018-02-13,2018-02-13,103.58
2018-02-14,2018-02-14,104.65
2018-02-15,2018-02-15,104.365
