DATE,DATE,CLOSE
2016-11-01,2016-11-01,114.79
2016-11-02,2016-11-02,115.5
2016-11-03,2016-11-03,115.65
2016-11-04,2016-11-04,117.15
2016-11-07,2016-11-07,119.68
2016-11-08,2016-11-08,120.85
2016-11-09,2016-11-09,116.24
2016-11-10,2016-11-10,114.03
2016-11-11,2016-11-11,110.36
2016-11-14,2016-11-14,106.68
2016-11-15,2016-11-15,109.74
2016-11-16,2016-11-16,109.39
2016-11-17,2016-11-17,110.65
2016-11-18,2016-11-18,111.44
2016-11-21,2016-11-21,111.47
2016-11-22,2016-11-22,110.7
2016-11-23,2016-11-23,111.75
2016-11-25,2016-11-25,112.84
2016-11-28,2016-11-28,112.95
2016-11-29,2016-11-29,115.41
2016-11-30,2016-11-30,113.66
2016-12-01,2016-12-01,111.75
2016-12-02,2016-12-02,112.08
2016-12-05,2016-12-05,112.01
2016-12-06,2016-12-06,112.59
2016-12-07,2016-12-07,113.67
2016-12-08,2016-12-08,115.51
2016-12-09,2016-12-09,116.5
2016-12-12,2016-12-12,117.58
2016-12-13,2016-12-13,117.63
2016-12-14,2016-12-14,116.73
2016-12-15,2016-12-15,118.82
2016-12-16,2016-12-16,118.75
2016-12-19,2016-12-19,118.81
2016-12-20,2016-12-20,119.51
2016-12-21,2016-12-21,119.4
2016-12-22,2016-12-22,120.48
2016-12-23,2016-12-23,120.76
2016-12-27,2016-12-27,120.85
2016-12-28,2016-12-28,119.88
2016-12-29,2016-12-29,120.52
2016-12-30,2016-12-30,119.81
2017-01-03,2017-01-03,119.43
2017-01-04,2017-01-04,120.1
2017-01-05,2017-01-05,118.78
2017-01-06,2017-01-06,117.75
2017-01-09,2017-01-09,119.02
2017-01-10,2017-01-10,121.9
2017-01-11,2017-01-11,123.66
2017-01-12,2017-01-12,123.26
2017-01-13,2017-01-13,122.92
2017-01-17,2017-01-17,122.55
2017-01-18,2017-01-18,122.4
2017-01-19,2017-01-19,122.13
