DATE,DATE,CLOSE
2016-11-01,2016-11-01,25.22
2016-11-02,2016-11-02,25.23
2016-11-03,2016-11-03,25.45
2016-11-04,2016-11-04,23.49
2016-11-07,2016-11-07,24.4
2016-11-08,2016-11-08,24.71
2016-11-09,2016-11-09,24.84
2016-11-10,2016-11-10,25.05
2016-11-11,2016-11-11,25.0
2016-11-14,2016-11-14,24.63
2016-11-15,2016-11-15,24.22
2016-11-16,2016-11-16,23.9
2016-11-17,2016-11-17,23.83
2016-11-18,2016-11-18,23.75
2016-11-21,2016-11-21,24.52
2016-11-22,2016-11-22,25.11
2016-11-23,2016-11-23,24.85
2016-11-25,2016-11-25,24.82
2016-11-28,2016-11-28,24.4
2016-11-29,2016-11-29,24.32
2016-11-30,2016-11-30,24.39
2016-12-01,2016-12-01,23.76
2016-12-02,2016-12-02,23.51
2016-12-05,2016-12-05,24.35
2016-12-06,2016-12-06,24.2
2016-12-07,2016-12-07,24.44
2016-12-08,2016-12-08,24.56
2016-12-09,2016-12-09,24.82
2016-12-12,2016-12-12,24.7
2016-12-13,2016-12-13,24.91
2016-12-14,2016-12-14,24.84
2016-12-15,2016-12-15,24.8
2016-12-16,2016-12-16,24.08
2016-12-19,2016-12-19,24.22
2016-12-20,2016-12-20,24.15
2016-12-21,2016-12-21,24.25
2016-12-22,2016-12-22,24.11
2016-12-23,2016-12-23,24.14
2016-12-27,2016-12-27,24.36
2016-12-28,2016-12-28,24.15
2016-12-29,2016-12-29,24.23
2016-12-30,2016-12-30,23.89
2017-01-03,2017-01-03,24.01
2017-01-04,2017-01-04,24.22
2017-01-05,2017-01-05,24.65
2017-01-06,2017-01-06,25.01
2017-01-09,2017-01-09,24.99
2017-01-10,2017-01-10,25.13
2017-01-11,2017-01-11,25.47
2017-01-12,2017-01-12,25.7
2017-01-13,2017-01-13,26.14
2017-01-17,2017-01-17,26.2
2017-01-18,2017-01-18,26.41
2017-01-19,2017-01-19,26.56
2017-01-20,2017-01-20,26.65
2017-01-23,2017-01-23,26.76
2017-01-24,2017-01-24,27.35
2017-01-25,2017-01-25,27.26
2017-01-26,2017-01-26,27.21
2017-01-27,2017-01-27,27.35
2017-01-30,2017-01-30,27.27
2017-01-31,2017-01-31,27.55
2017-02-01,2017-02-01,27.25
2017-02-02,2017-02-02,27.76
2017-02-03,2017-02-03,28.41
2017-02-06,2017-02-06,28.26
2017-02-07,2017-02-07,28.44
