DATE,DATE,CLOSE
2016-11-01,2016-11-01,105.31
2016-11-02,2016-11-02,103.65
2016-11-03,2016-11-03,103.02
2016-11-04,2016-11-04,102.81
2016-11-07,2016-11-07,105.0
2016-11-08,2016-11-08,105.88
2016-11-09,2016-11-09,103.09
2016-11-10,2016-11-10,99.66
2016-11-11,2016-11-11,99.05
2016-11-14,2016-11-14,96.82
2016-11-15,2016-11-15,97.72
2016-11-16,2016-11-16,97.51
2016-11-17,2016-11-17,97.94
2016-11-18,2016-11-18,96.83
2016-11-21,2016-11-21,98.55
2016-11-22,2016-11-22,99.98
2016-11-23,2016-11-23,98.89
2016-11-25,2016-11-25,99.74
2016-11-28,2016-11-28,99.83
2016-11-29,2016-11-29,100.05
2016-11-30,2016-11-30,98.03
2016-12-01,2016-12-01,94.66
2016-12-02,2016-12-02,95.63
2016-12-05,2016-12-05,95.53
2016-12-06,2016-12-06,95.48
2016-12-07,2016-12-07,97.13
2016-12-08,2016-12-08,98.11
2016-12-09,2016-12-09,99.04
2016-12-12,2016-12-12,99.4
2016-12-13,2016-12-13,99.83
2016-12-14,2016-12-14,98.8
2016-12-15,2016-12-15,97.48
2016-12-16,2016-12-16,97.85
2016-12-19,2016-12-19,97.59
2016-12-20,2016-12-20,96.01
2016-12-21,2016-12-21,97.31
2016-12-22,2016-12-22,96.84
2016-12-23,2016-12-23,97.74
2016-12-27,2016-12-27,97.49
2016-12-28,2016-12-28,96.96
2016-12-29,2016-12-29,98.02
2016-12-30,2016-12-30,97.31
2017-01-03,2017-01-03,97.88
2017-01-04,2017-01-04,99.41
2017-01-05,2017-01-05,99.68
2017-01-06,2017-01-06,99.79
2017-01-09,2017-01-09,98.28
2017-01-10,2017-01-10,96.41
2017-01-11,2017-01-11,95.67
2017-01-12,2017-01-12,95.43
2017-01-13,2017-01-13,97.62
2017-01-17,2017-01-17,97.91
2017-01-18,2017-01-18,98.2
2017-01-19,2017-01-19,97.54
2017-01-20,2017-01-20,97.62
2017-01-23,2017-01-23,96.19
2017-01-24,2017-01-24,96.88
2017-01-25,2017-01-25,96.99
2017-01-26,2017-01-26,96.04
2017-01-27,2017-01-27,95.35
2017-01-30,2017-01-30,95.47
2017-01-31,2017-01-31,96.52
2017-02-01,2017-02-01,96.42
2017-02-02,2017-02-02,95.95
2017-02-03,2017-02-03,97.0
2017-02-06,2017-02-06,96.48
2017-02-07,2017-02-07,94.89
2017-02-08,2017-02-08,95.62
2017-02-09,2017-02-09,96.67
2017-02-10,2017-02-10,95.95
2017-02-13,2017-02-13,96.21
2017-02-14,2017-02-14,99.5
2017-02-15,2017-02-15,99.03
2017-02-16,2017-02-16,99.8
2017-02-17,2017-02-17,101.59
2017-02-21,2017-02-21,100.53
