DATE,DATE,CLOSE
2016-11-01,2016-11-01,234.826292
2016-11-02,2016-11-02,231.053912
2016-11-03,2016-11-03,231.6189
2016-11-04,2016-11-04,232.470728
2016-11-07,2016-11-07,235.078364
2016-11-08,2016-11-08,237.077551
2016-11-09,2016-11-09,236.425642
2016-11-10,2016-11-10,234.183075
2016-11-11,2016-11-11,236.677714
2016-11-14,2016-11-14,219.858463
2016-11-15,2016-11-15,225.05635
2016-11-16,2016-11-16,222.335717
2016-11-17,2016-11-17,224.969429
2016-11-18,2016-11-18,217.329056
2016-11-21,2016-11-21,218.502492
2016-11-22,2016-11-22,219.47601
2016-11-23,2016-11-23,225.151964
2016-11-25,2016-11-25,226.021175
2016-11-28,2016-11-28,224.673897
2016-11-29,2016-11-29,224.839047
2016-11-30,2016-11-30,218.545953
2016-12-01,2016-12-01,212.939536
2016-12-02,2016-12-02,213.191608
2016-12-05,2016-12-05,215.043029
2016-12-06,2016-12-06,218.007042
2016-12-07,2016-12-07,222.596481
2016-12-08,2016-12-08,217.068293
2016-12-09,2016-12-09,216.833605
2016-12-12,2016-12-12,214.686652
2016-12-13,2016-12-13,217.372517
2016-12-14,2016-12-14,217.989657
2016-12-15,2016-12-15,220.762443
2016-12-16,2016-12-16,218.589414
2016-12-19,2016-12-19,218.250421
2016-12-20,2016-12-20,217.085677
2016-12-21,2016-12-21,216.399
2016-12-22,2016-12-22,216.390307
2016-12-23,2016-12-23,217.389901
2016-12-27,2016-12-27,218.085271
2016-12-28,2016-12-28,216.868374
2016-12-29,2016-12-29,217.146522
2016-12-30,2016-12-30,216.399
2017-01-03,2017-01-03,217.772354
2017-01-04,2017-01-04,219.084864
2017-01-05,2017-01-05,218.806717
2017-01-06,2017-01-06,222.613865
2017-01-09,2017-01-09,221.935879
2017-01-10,2017-01-10,220.145303
2017-01-11,2017-01-11,219.371704
2017-01-12,2017-01-12,220.440835
2017-01-13,2017-01-13,219.250015
2017-01-17,2017-01-17,217.042216
2017-01-18,2017-01-18,218.076579
2017-01-19,2017-01-19,218.832793
2017-01-20,2017-01-20,197.224185
2017-01-23,2017-01-23,194.529628
2017-01-24,2017-01-24,195.755216
2017-01-25,2017-01-25,192.678206
2017-01-26,2017-01-26,191.139701
2017-01-27,2017-01-27,190.35741
2017-01-30,2017-01-30,188.279994
2017-01-31,2017-01-31,188.097459
2017-02-01,2017-02-01,190.948475
2017-02-02,2017-02-02,192.765127
2017-02-03,2017-02-03,195.711756
2017-02-06,2017-02-06,200.735801
2017-02-07,2017-02-07,213.721827
2017-02-08,2017-02-08,215.069105
2017-02-09,2017-02-09,218.702411
2017-02-10,2017-02-10,220.014921
2017-02-13,2017-02-13,219.223938
2017-02-14,2017-02-14,217.476822
2017-02-15,2017-02-15,218.180884
2017-02-16,2017-02-16,219.432549
2017-02-17,2017-02-17,217.076985
2017-02-21,2017-02-21,221.301355
2017-02-22,2017-02-22,222.048877
2017-02-23,2017-02-23,221.318739
2017-02-24,2017-02-24,218.1635
2017-02-27,2017-02-27,220.162687
2017-02-28,2017-02-28,220.95367
2017-03-01,2017-03-01,220.492988
2017-03-02,2017-03-02,216.094775
2017-03-03,2017-03-03,216.303386
2017-03-06,2017-03-06,214.860494
2017-03-07,2017-03-07,210.836043
2017-03-08,2017-03-08,209.419228
2017-03-09,2017-03-09,210.027676
2017-03-10,2017-03-10,201.109562
2017-03-13,2017-03-13,204.047498
2017-03-14,2017-03-14,201.413786
2017-03-15,2017-03-15,201.448554
2017-03-16,2017-03-16,206.142299
2017-03-17,2017-03-17,208.654321
2017-03-20,2017-03-20,206.820284
2017-03-21,2017-03-21,195.390147
2017-03-22,2017-03-22,186.750181
2017-03-23,2017-03-23,183.864397
2017-03-24,2017-03-24,182.569272
2017-03-27,2017-03-27,186.480725
2017-03-28,2017-03-28,189.105745
2017-03-29,2017-03-29,190.296566
2017-03-30,2017-03-30,191.252699
2017-03-31,2017-03-31,191.365696
2017-04-03,2017-04-03,190.1488
2017-04-04,2017-04-04,194.199327
2017-04-05,2017-04-05,195.085923
2017-04-06,2017-04-06,196.841731
2017-04-07,2017-04-07,198.797458
2017-04-10,2017-04-10,202.526377
2017-04-11,2017-04-11,205.551235
2017-04-12,2017-04-12,204.829789
2017-04-13,2017-04-13,203.186978
2017-04-17,2017-04-17,207.941568
2017-04-18,2017-04-18,205.533851
2017-04-19,2017-04-19,206.359602
2017-04-20,2017-04-20,208.5674
2017-04-21,2017-04-21,208.793395
2017-04-24,2017-04-24,215.851396
