DATE,DATE,CLOSE
2016-11-01,2016-11-01,63.29
2016-11-02,2016-11-02,62.92
2016-11-03,2016-11-03,62.41
2016-11-04,2016-11-04,62.63
2016-11-07,2016-11-07,64.71
2016-11-08,2016-11-08,65.35
2016-11-09,2016-11-09,65.95
2016-11-10,2016-11-10,66.77
2016-11-11,2016-11-11,66.9
2016-11-14,2016-11-14,66.74
2016-11-15,2016-11-15,67.25
2016-11-16,2016-11-16,66.82
2016-11-17,2016-11-17,67.17
2016-11-18,2016-11-18,66.67
2016-11-21,2016-11-21,66.75
2016-11-22,2016-11-22,66.92
2016-11-23,2016-11-23,67.35
2016-11-25,2016-11-25,68.0
2016-11-28,2016-11-28,67.7
2016-11-29,2016-11-29,67.22
2016-11-30,2016-11-30,67.64
2016-12-01,2016-12-01,66.85
2016-12-02,2016-12-02,67.58
2016-12-05,2016-12-05,69.39
2016-12-06,2016-12-06,69.04
2016-12-07,2016-12-07,70.46
2016-12-08,2016-12-08,70.6
2016-12-09,2016-12-09,70.75
2016-12-12,2016-12-12,70.87
2016-12-13,2016-12-13,71.6
2016-12-14,2016-12-14,70.62
2016-12-15,2016-12-15,70.69
2016-12-16,2016-12-16,69.74
2016-12-19,2016-12-19,70.44
2016-12-20,2016-12-20,70.83
2016-12-21,2016-12-21,70.66
2016-12-22,2016-12-22,70.6
2016-12-23,2016-12-23,70.62
2016-12-27,2016-12-27,70.55
2016-12-28,2016-12-28,70.0
2016-12-29,2016-12-29,70.05
2016-12-30,2016-12-30,69.28
2017-01-03,2017-01-03,68.96
2017-01-04,2017-01-04,68.67
2017-01-05,2017-01-05,67.84
2017-01-06,2017-01-06,68.3
2017-01-09,2017-01-09,67.31
2017-01-10,2017-01-10,67.6
2017-01-11,2017-01-11,68.52
2017-01-12,2017-01-12,69.15
2017-01-13,2017-01-13,69.61
2017-01-17,2017-01-17,69.13
2017-01-18,2017-01-18,69.82
2017-01-19,2017-01-19,69.6
2017-01-20,2017-01-20,69.92
2017-01-23,2017-01-23,70.52
2017-01-24,2017-01-24,71.68
2017-01-25,2017-01-25,75.17
2017-01-26,2017-01-26,74.73
2017-01-27,2017-01-27,74.5
2017-01-30,2017-01-30,74.26
2017-01-31,2017-01-31,74.35
2017-02-01,2017-02-01,74.62
2017-02-02,2017-02-02,74.51
2017-02-03,2017-02-03,75.38
2017-02-06,2017-02-06,75.51
2017-02-07,2017-02-07,75.71
2017-02-08,2017-02-08,74.88
2017-02-09,2017-02-09,75.31
2017-02-10,2017-02-10,75.11
2017-02-13,2017-02-13,75.44
2017-02-14,2017-02-14,75.42
2017-02-15,2017-02-15,75.58
2017-02-16,2017-02-16,75.23
2017-02-17,2017-02-17,75.21
2017-02-21,2017-02-21,75.73
2017-02-22,2017-02-22,75.27
2017-02-23,2017-02-23,74.21
2017-02-24,2017-02-24,74.3
2017-02-27,2017-02-27,74.79
2017-02-28,2017-02-28,74.47
2017-03-01,2017-03-01,76.13
2017-03-02,2017-03-02,75.53
2017-03-03,2017-03-03,75.52
2017-03-06,2017-03-06,74.16
2017-03-07,2017-03-07,74.36
2017-03-08,2017-03-08,74.55
2017-03-09,2017-03-09,74.29
2017-03-10,2017-03-10,74.61
2017-03-13,2017-03-13,75.14
2017-03-14,2017-03-14,74.83
2017-03-15,2017-03-15,76.53
2017-03-16,2017-03-16,76.11
2017-03-17,2017-03-17,76.13
2017-03-20,2017-03-20,75.73
2017-03-21,2017-03-21,73.6
2017-03-22,2017-03-22,74.49
2017-03-23,2017-03-23,74.42
2017-03-24,2017-03-24,74.32
