DATE,DATE,CLOSE
2016-11-01,2016-11-01,67.78
2016-11-02,2016-11-02,68.26
2016-11-03,2016-11-03,66.67
2016-11-04,2016-11-04,66.53
2016-11-07,2016-11-07,67.53
2016-11-08,2016-11-08,67.05
2016-11-09,2016-11-09,68.81
2016-11-10,2016-11-10,70.54
2016-11-11,2016-11-11,71.35
2016-11-14,2016-11-14,72.17
2016-11-15,2016-11-15,71.44
2016-11-16,2016-11-16,76.03
2016-11-17,2016-11-17,76.13
2016-11-18,2016-11-18,76.19
2016-11-21,2016-11-21,76.51
2016-11-22,2016-11-22,77.87
2016-11-23,2016-11-23,78.48
2016-11-25,2016-11-25,78.61
2016-11-28,2016-11-28,77.72
2016-11-29,2016-11-29,78.41
2016-11-30,2016-11-30,77.24
2016-12-01,2016-12-01,77.82
2016-12-02,2016-12-02,77.94
2016-12-05,2016-12-05,76.98
2016-12-06,2016-12-06,76.77
2016-12-07,2016-12-07,76.97
2016-12-08,2016-12-08,77.84
2016-12-09,2016-12-09,77.39
2016-12-12,2016-12-12,76.74
2016-12-13,2016-12-13,77.67
2016-12-14,2016-12-14,77.19
2016-12-15,2016-12-15,76.98
2016-12-16,2016-12-16,76.75
2016-12-19,2016-12-19,77.04
2016-12-20,2016-12-20,77.65
2016-12-21,2016-12-21,77.13
2016-12-22,2016-12-22,73.74
2016-12-23,2016-12-23,73.5
2016-12-27,2016-12-27,73.7
2016-12-28,2016-12-28,72.83
2016-12-29,2016-12-29,72.62
2016-12-30,2016-12-30,72.23
2017-01-03,2017-01-03,72.75
2017-01-04,2017-01-04,73.81
2017-01-05,2017-01-05,72.56
2017-01-06,2017-01-06,71.44
2017-01-09,2017-01-09,71.43
2017-01-10,2017-01-10,71.43
2017-01-11,2017-01-11,71.61
2017-01-12,2017-01-12,71.25
2017-01-13,2017-01-13,70.19
2017-01-17,2017-01-17,70.94
2017-01-18,2017-01-18,66.85
2017-01-19,2017-01-19,65.39
2017-01-20,2017-01-20,64.1
2017-01-23,2017-01-23,63.85
2017-01-24,2017-01-24,64.41
2017-01-25,2017-01-25,65.0
2017-01-26,2017-01-26,64.17
2017-01-27,2017-01-27,63.7
2017-01-30,2017-01-30,64.12
2017-01-31,2017-01-31,64.48
2017-02-01,2017-02-01,63.67
2017-02-02,2017-02-02,63.68
2017-02-03,2017-02-03,63.75
2017-02-06,2017-02-06,63.42
2017-02-07,2017-02-07,63.57
2017-02-08,2017-02-08,64.77
2017-02-09,2017-02-09,66.41
2017-02-10,2017-02-10,65.73
2017-02-13,2017-02-13,64.81
2017-02-14,2017-02-14,65.65
2017-02-15,2017-02-15,65.75
2017-02-16,2017-02-16,65.2
2017-02-17,2017-02-17,65.79
2017-02-21,2017-02-21,66.21
2017-02-22,2017-02-22,65.94
2017-02-23,2017-02-23,64.98
2017-02-24,2017-02-24,66.51
2017-02-27,2017-02-27,66.91
2017-02-28,2017-02-28,58.77
2017-03-01,2017-03-01,57.83
2017-03-02,2017-03-02,57.95
2017-03-03,2017-03-03,57.35
2017-03-06,2017-03-06,56.1
2017-03-07,2017-03-07,55.14
2017-03-08,2017-03-08,55.02
2017-03-09,2017-03-09,55.2
2017-03-10,2017-03-10,55.36
2017-03-13,2017-03-13,55.19
2017-03-14,2017-03-14,54.75
2017-03-15,2017-03-15,54.57
2017-03-16,2017-03-16,54.59
2017-03-17,2017-03-17,54.29
2017-03-20,2017-03-20,54.37
2017-03-21,2017-03-21,53.39
2017-03-22,2017-03-22,53.58
2017-03-23,2017-03-23,53.14
2017-03-24,2017-03-24,53.12
2017-03-27,2017-03-27,53.33
2017-03-28,2017-03-28,53.6
2017-03-29,2017-03-29,55.15
2017-03-30,2017-03-30,55.25
2017-03-31,2017-03-31,55.19
2017-04-03,2017-04-03,54.03
2017-04-04,2017-04-04,53.43
2017-04-05,2017-04-05,52.75
2017-04-06,2017-04-06,53.57
2017-04-07,2017-04-07,53.24
2017-04-10,2017-04-10,53.79
2017-04-11,2017-04-11,53.71
2017-04-12,2017-04-12,53.4
2017-04-13,2017-04-13,53.39
2017-04-17,2017-04-17,53.68
2017-04-18,2017-04-18,53.6
2017-04-19,2017-04-19,53.89
2017-04-20,2017-04-20,54.64
2017-04-21,2017-04-21,54.78
2017-04-24,2017-04-24,54.82
2017-04-25,2017-04-25,55.15
2017-04-26,2017-04-26,55.98
2017-04-27,2017-04-27,56.09
2017-04-28,2017-04-28,55.85
2017-05-01,2017-05-01,55.77
2017-05-02,2017-05-02,56.16
2017-05-03,2017-05-03,57.34
2017-05-04,2017-05-04,57.29
2017-05-05,2017-05-05,57.32
2017-05-08,2017-05-08,57.3
2017-05-09,2017-05-09,58.08
2017-05-10,2017-05-10,58.41
2017-05-11,2017-05-11,56.06
2017-05-12,2017-05-12,55.8
2017-05-15,2017-05-15,55.35
2017-05-16,2017-05-16,54.53
2017-05-17,2017-05-17,55.04
2017-05-18,2017-05-18,55.83
2017-05-19,2017-05-19,55.99
2017-05-22,2017-05-22,55.46
2017-05-23,2017-05-23,54.49
2017-05-24,2017-05-24,54.13
2017-05-25,2017-05-25,54.2
2017-05-26,2017-05-26,54.4
2017-05-30,2017-05-30,54.94
2017-05-31,2017-05-31,55.15
2017-06-01,2017-06-01,55.66
2017-06-02,2017-06-02,55.52
2017-06-05,2017-06-05,55.63
2017-06-06,2017-06-06,54.58
2017-06-07,2017-06-07,54.47
2017-06-08,2017-06-08,54.63
2017-06-09,2017-06-09,56.9
2017-06-12,2017-06-12,57.87
2017-06-13,2017-06-13,57.38
2017-06-14,2017-06-14,57.86
2017-06-15,2017-06-15,55.46
2017-06-16,2017-06-16,52.61
2017-06-19,2017-06-19,51.71
2017-06-20,2017-06-20,50.91
2017-06-21,2017-06-21,50.52
2017-06-22,2017-06-22,50.63
2017-06-23,2017-06-23,50.76
2017-06-26,2017-06-26,51.48
2017-06-27,2017-06-27,52.07
2017-06-28,2017-06-28,52.06
2017-06-29,2017-06-29,52.09
2017-06-30,2017-06-30,52.29
2017-07-03,2017-07-03,52.65
2017-07-05,2017-07-05,52.16
2017-07-06,2017-07-06,51.44
2017-07-07,2017-07-07,51.07
2017-07-10,2017-07-10,50.18
2017-07-11,2017-07-11,50.41
2017-07-12,2017-07-12,50.87
2017-07-13,2017-07-13,53.31
2017-07-14,2017-07-14,53.23
2017-07-17,2017-07-17,53.73
2017-07-18,2017-07-18,53.73
2017-07-19,2017-07-19,54.1
2017-07-20,2017-07-20,54.58
2017-07-21,2017-07-21,54.84
2017-07-24,2017-07-24,54.05
2017-07-25,2017-07-25,55.1
2017-07-26,2017-07-26,54.96
2017-07-27,2017-07-27,56.05
2017-07-28,2017-07-28,56.11
2017-07-31,2017-07-31,56.67
2017-08-01,2017-08-01,56.86
2017-08-02,2017-08-02,56.8
2017-08-03,2017-08-03,57.04
2017-08-04,2017-08-04,57.58
2017-08-07,2017-08-07,57.88
2017-08-08,2017-08-08,58.74
2017-08-09,2017-08-09,57.87
2017-08-10,2017-08-10,55.64
2017-08-11,2017-08-11,55.65
2017-08-14,2017-08-14,55.79
2017-08-15,2017-08-15,54.35
2017-08-16,2017-08-16,56.31
2017-08-17,2017-08-17,56.12
2017-08-18,2017-08-18,55.65
2017-08-21,2017-08-21,56.56
2017-08-22,2017-08-22,56.54
2017-08-23,2017-08-23,56.46
2017-08-24,2017-08-24,54.21
2017-08-25,2017-08-25,55.01
2017-08-28,2017-08-28,54.44
2017-08-29,2017-08-29,54.55
2017-08-30,2017-08-30,54.32
2017-08-31,2017-08-31,54.53
2017-09-01,2017-09-01,56.22
2017-09-05,2017-09-05,57.35
2017-09-06,2017-09-06,58.02
2017-09-07,2017-09-07,58.42
2017-09-08,2017-09-08,57.27
2017-09-11,2017-09-11,57.29
2017-09-12,2017-09-12,57.89
2017-09-13,2017-09-13,59.51
2017-09-14,2017-09-14,59.47
2017-09-15,2017-09-15,59.96
2017-09-18,2017-09-18,59.09
2017-09-19,2017-09-19,59.35
2017-09-20,2017-09-20,59.26
2017-09-21,2017-09-21,58.33
2017-09-22,2017-09-22,58.99
2017-09-25,2017-09-25,58.55
2017-09-26,2017-09-26,58.59
2017-09-27,2017-09-27,58.87
2017-09-28,2017-09-28,58.91
2017-09-29,2017-09-29,59.01
2017-10-02,2017-10-02,58.89
2017-10-03,2017-10-03,58.58
2017-10-04,2017-10-04,58.66
2017-10-05,2017-10-05,58.38
2017-10-06,2017-10-06,57.12
2017-10-09,2017-10-09,56.25
2017-10-10,2017-10-10,57.6
2017-10-11,2017-10-11,59.15
2017-10-12,2017-10-12,60.19
2017-10-13,2017-10-13,60.85
2017-10-16,2017-10-16,60.15
2017-10-17,2017-10-17,60.17
2017-10-18,2017-10-18,60.03
2017-10-19,2017-10-19,60.43
2017-10-20,2017-10-20,61.76
2017-10-23,2017-10-23,62.58
2017-10-24,2017-10-24,62.93
2017-10-25,2017-10-25,61.92
2017-10-26,2017-10-26,62.01
2017-10-27,2017-10-27,60.26
2017-10-30,2017-10-30,59.55
2017-10-31,2017-10-31,59.04
2017-11-01,2017-11-01,58.86
2017-11-02,2017-11-02,59.79
2017-11-03,2017-11-03,59.36
2017-11-06,2017-11-06,59.29
2017-11-07,2017-11-07,57.89
2017-11-08,2017-11-08,58.37
2017-11-09,2017-11-09,59.9
2017-11-10,2017-11-10,61.4
2017-11-13,2017-11-13,60.4
2017-11-14,2017-11-14,60.09
2017-11-15,2017-11-15,54.16
2017-11-16,2017-11-16,55.1
2017-11-17,2017-11-17,58.14
2017-11-20,2017-11-20,57.88
2017-11-21,2017-11-21,57.25
