DATE,DATE,CLOSE
2016-11-01,2016-11-01,36.235
2016-11-02,2016-11-02,36.37
2016-11-03,2016-11-03,35.9
2016-11-04,2016-11-04,35.96
2016-11-07,2016-11-07,36.665
2016-11-08,2016-11-08,36.615
2016-11-09,2016-11-09,36.97
2016-11-10,2016-11-10,37.695
2016-11-11,2016-11-11,37.695
2016-11-14,2016-11-14,37.11
2016-11-15,2016-11-15,36.745
2016-11-16,2016-11-16,38.195
2016-11-17,2016-11-17,38.55
2016-11-18,2016-11-18,38.865
2016-11-21,2016-11-21,38.835
2016-11-22,2016-11-22,39.655
2016-11-23,2016-11-23,39.715
2016-11-25,2016-11-25,39.62
2016-11-28,2016-11-28,39.325
2016-11-29,2016-11-29,39.405
2016-11-30,2016-11-30,39.17
2016-12-01,2016-12-01,38.835
2016-12-02,2016-12-02,38.55
2016-12-05,2016-12-05,38.665
2016-12-06,2016-12-06,38.72
2016-12-07,2016-12-07,39.095
2016-12-08,2016-12-08,38.99
2016-12-09,2016-12-09,39.015
2016-12-12,2016-12-12,38.545
2016-12-13,2016-12-13,39.13
2016-12-14,2016-12-14,38.65
2016-12-15,2016-12-15,38.71
2016-12-16,2016-12-16,38.385
2016-12-19,2016-12-19,38.47
2016-12-20,2016-12-20,38.81
2016-12-21,2016-12-21,38.725
2016-12-22,2016-12-22,38.22
2016-12-23,2016-12-23,38.22
2016-12-27,2016-12-27,38.125
2016-12-28,2016-12-28,37.655
2016-12-29,2016-12-29,37.855
2016-12-30,2016-12-30,37.565
2017-01-03,2017-01-03,37.725
2017-01-04,2017-01-04,38.31
2017-01-05,2017-01-05,38.075
2017-01-06,2017-01-06,37.99
2017-01-09,2017-01-09,38.05
2017-01-10,2017-01-10,38.345
2017-01-11,2017-01-11,38.115
2017-01-12,2017-01-12,37.965
2017-01-13,2017-01-13,37.965
2017-01-17,2017-01-17,38.375
2017-01-18,2017-01-18,38.34
2017-01-19,2017-01-19,37.54
2017-01-20,2017-01-20,37.745
2017-01-23,2017-01-23,37.245
2017-01-24,2017-01-24,37.295
2017-01-25,2017-01-25,37.715
2017-01-26,2017-01-26,37.53
2017-01-27,2017-01-27,37.13
2017-01-30,2017-01-30,37.02
2017-01-31,2017-01-31,37.46
2017-02-01,2017-02-01,37.34
2017-02-02,2017-02-02,37.465
2017-02-03,2017-02-03,37.735
2017-02-06,2017-02-06,37.665
2017-02-07,2017-02-07,37.615
2017-02-08,2017-02-08,37.755
2017-02-09,2017-02-09,38.055
2017-02-10,2017-02-10,38.525
2017-02-13,2017-02-13,38.45
2017-02-14,2017-02-14,39.04
2017-02-15,2017-02-15,39.115
2017-02-16,2017-02-16,38.415
2017-02-17,2017-02-17,38.595
2017-02-21,2017-02-21,38.12
2017-02-22,2017-02-22,38.175
2017-02-23,2017-02-23,38.905
2017-02-24,2017-02-24,39.125
