DATE,DATE,CLOSE
2016-11-01,2016-11-01,146.02
2016-11-02,2016-11-02,145.8
2016-11-03,2016-11-03,146.08
2016-11-04,2016-11-04,146.57
2016-11-07,2016-11-07,151.81
2016-11-08,2016-11-08,152.56
2016-11-09,2016-11-09,152.05
2016-11-10,2016-11-10,154.35
2016-11-11,2016-11-11,151.25
2016-11-14,2016-11-14,148.02
2016-11-15,2016-11-15,148.66
2016-11-16,2016-11-16,149.49
2016-11-17,2016-11-17,148.88
2016-11-18,2016-11-18,145.81
2016-11-21,2016-11-21,146.17
2016-11-22,2016-11-22,143.0
2016-11-23,2016-11-23,143.51
2016-11-25,2016-11-25,144.18
2016-11-28,2016-11-28,140.32
2016-11-29,2016-11-29,141.27
2016-11-30,2016-11-30,140.11
2016-12-01,2016-12-01,139.63
2016-12-02,2016-12-02,141.91
2016-12-05,2016-12-05,141.38
2016-12-06,2016-12-06,143.59
2016-12-07,2016-12-07,141.85
2016-12-08,2016-12-08,143.07
2016-12-09,2016-12-09,145.41
2016-12-12,2016-12-12,145.18
2016-12-13,2016-12-13,145.9
2016-12-14,2016-12-14,143.8
2016-12-15,2016-12-15,143.5
2016-12-16,2016-12-16,142.54
2016-12-19,2016-12-19,141.25
2016-12-20,2016-12-20,141.8
2016-12-21,2016-12-21,140.77
2016-12-22,2016-12-22,140.52
2016-12-23,2016-12-23,141.84
2016-12-27,2016-12-27,142.41
2016-12-28,2016-12-28,141.22
2016-12-29,2016-12-29,141.48
2016-12-30,2016-12-30,141.1
2017-01-03,2017-01-03,143.67
2017-01-04,2017-01-04,145.16
2017-01-05,2017-01-05,145.38
2017-01-06,2017-01-06,147.27
2017-01-09,2017-01-09,147.49
2017-01-10,2017-01-10,147.78
2017-01-11,2017-01-11,146.22
2017-01-12,2017-01-12,145.97
2017-01-13,2017-01-13,146.29
2017-01-17,2017-01-17,145.05
2017-01-18,2017-01-18,144.66
2017-01-19,2017-01-19,144.32
2017-01-20,2017-01-20,143.51
2017-01-23,2017-01-23,142.79
2017-01-24,2017-01-24,140.98
2017-01-25,2017-01-25,142.43
2017-01-26,2017-01-26,143.1
2017-01-27,2017-01-27,145.45
2017-01-30,2017-01-30,143.29
2017-01-31,2017-01-31,152.39
2017-02-01,2017-02-01,152.94
2017-02-02,2017-02-02,151.67
2017-02-03,2017-02-03,151.43
2017-02-06,2017-02-06,152.08
2017-02-07,2017-02-07,153.01
2017-02-08,2017-02-08,153.5
2017-02-09,2017-02-09,154.74
2017-02-10,2017-02-10,154.89
2017-02-13,2017-02-13,156.35
2017-02-14,2017-02-14,157.28
2017-02-15,2017-02-15,158.26
2017-02-16,2017-02-16,157.71
2017-02-17,2017-02-17,158.64
2017-02-21,2017-02-21,158.63
2017-02-22,2017-02-22,158.02
2017-02-23,2017-02-23,158.73
2017-02-24,2017-02-24,158.98
2017-02-27,2017-02-27,158.48
2017-02-28,2017-02-28,157.68
2017-03-01,2017-03-01,159.82
2017-03-02,2017-03-02,159.2
2017-03-03,2017-03-03,160.16
2017-03-06,2017-03-06,157.71
2017-03-07,2017-03-07,157.26
2017-03-08,2017-03-08,157.5
2017-03-09,2017-03-09,157.78
2017-03-10,2017-03-10,159.33
2017-03-13,2017-03-13,159.04
2017-03-14,2017-03-14,158.34
2017-03-15,2017-03-15,161.05
2017-03-16,2017-03-16,158.02
2017-03-17,2017-03-17,157.89
2017-03-20,2017-03-20,156.74
2017-03-21,2017-03-21,155.54
2017-03-22,2017-03-22,155.33
2017-03-23,2017-03-23,154.65
2017-03-24,2017-03-24,154.04
2017-03-27,2017-03-27,154.59
2017-03-28,2017-03-28,154.64
2017-03-29,2017-03-29,153.98
2017-03-30,2017-03-30,153.91
2017-03-31,2017-03-31,153.6
2017-04-03,2017-04-03,154.58
2017-04-04,2017-04-04,152.72
2017-04-05,2017-04-05,152.76
2017-04-06,2017-04-06,152.95
2017-04-07,2017-04-07,153.11
2017-04-10,2017-04-10,153.45
2017-04-11,2017-04-11,152.87
2017-04-12,2017-04-12,152.46
2017-04-13,2017-04-13,152.18
2017-04-17,2017-04-17,153.7
2017-04-18,2017-04-18,153.27
2017-04-19,2017-04-19,154.46
2017-04-20,2017-04-20,155.36
2017-04-21,2017-04-21,155.04
2017-04-24,2017-04-24,157.34
2017-04-25,2017-04-25,158.81
2017-04-26,2017-04-26,168.01
2017-04-27,2017-04-27,166.7
2017-04-28,2017-04-28,165.33
2017-05-01,2017-05-01,166.62
2017-05-02,2017-05-02,167.25
2017-05-03,2017-05-03,168.32
2017-05-04,2017-05-04,170.12
2017-05-05,2017-05-05,171.06
2017-05-08,2017-05-08,170.39
2017-05-09,2017-05-09,172.12
2017-05-10,2017-05-10,170.97
2017-05-11,2017-05-11,171.01
2017-05-12,2017-05-12,171.52
2017-05-15,2017-05-15,172.26
2017-05-16,2017-05-16,172.27
2017-05-17,2017-05-17,170.97
2017-05-18,2017-05-18,171.74
2017-05-19,2017-05-19,171.53
2017-05-22,2017-05-22,172.1
2017-05-23,2017-05-23,171.83
2017-05-24,2017-05-24,172.33
2017-05-25,2017-05-25,172.9
2017-05-26,2017-05-26,173.42
2017-05-30,2017-05-30,173.25
2017-05-31,2017-05-31,172.79
2017-06-01,2017-06-01,174.82
2017-06-02,2017-06-02,176.39
2017-06-05,2017-06-05,176.44
2017-06-06,2017-06-06,176.07
2017-06-07,2017-06-07,176.34
2017-06-08,2017-06-08,174.81
2017-06-09,2017-06-09,174.93
2017-06-12,2017-06-12,173.38
2017-06-13,2017-06-13,174.93
2017-06-14,2017-06-14,174.57
2017-06-15,2017-06-15,174.13
2017-06-16,2017-06-16,174.86
2017-06-19,2017-06-19,176.25
2017-06-20,2017-06-20,175.67
2017-06-21,2017-06-21,175.6
2017-06-22,2017-06-22,175.47
2017-06-23,2017-06-23,174.44
2017-06-26,2017-06-26,173.23
2017-06-27,2017-06-27,173.7
2017-06-28,2017-06-28,175.77
2017-06-29,2017-06-29,173.89
2017-06-30,2017-06-30,174.47
2017-07-03,2017-07-03,174.41
2017-07-05,2017-07-05,175.74
2017-07-06,2017-07-06,175.04
2017-07-07,2017-07-07,177.49
2017-07-10,2017-07-10,177.67
2017-07-11,2017-07-11,178.64
2017-07-12,2017-07-12,180.2
2017-07-13,2017-07-13,180.03
2017-07-14,2017-07-14,180.95
2017-07-17,2017-07-17,180.79
2017-07-18,2017-07-18,179.35
2017-07-19,2017-07-19,180.15
2017-07-20,2017-07-20,181.55
2017-07-21,2017-07-21,182.18
2017-07-24,2017-07-24,182.16
2017-07-25,2017-07-25,180.13
2017-07-26,2017-07-26,175.06
2017-07-27,2017-07-27,175.27
2017-07-28,2017-07-28,175.97
2017-07-31,2017-07-31,175.53
2017-08-01,2017-08-01,175.47
2017-08-02,2017-08-02,176.44
2017-08-03,2017-08-03,175.74
2017-08-04,2017-08-04,176.33
2017-08-07,2017-08-07,177.35
2017-08-08,2017-08-08,173.99
2017-08-09,2017-08-09,173.26
2017-08-10,2017-08-10,171.74
2017-08-11,2017-08-11,173.23
2017-08-14,2017-08-14,174.03
2017-08-15,2017-08-15,173.56
2017-08-16,2017-08-16,175.44
2017-08-17,2017-08-17,172.89
2017-08-18,2017-08-18,172.57
2017-08-21,2017-08-21,174.01
2017-08-22,2017-08-22,176.79
2017-08-23,2017-08-23,175.81
2017-08-24,2017-08-24,175.96
2017-08-25,2017-08-25,177.22
2017-08-28,2017-08-28,178.43
2017-08-29,2017-08-29,180.52
2017-08-30,2017-08-30,182.95
2017-08-31,2017-08-31,187.14
2017-09-01,2017-09-01,186.0
2017-09-05,2017-09-05,186.02
2017-09-06,2017-09-06,189.41
2017-09-07,2017-09-07,190.59
2017-09-08,2017-09-08,191.63
2017-09-11,2017-09-11,193.57
2017-09-12,2017-09-12,194.04
2017-09-13,2017-09-13,191.47
2017-09-14,2017-09-14,191.69
2017-09-15,2017-09-15,190.63
