DATE,DATE,CLOSE
2016-11-01,2016-11-01,36.68
2016-11-02,2016-11-02,35.47
2016-11-03,2016-11-03,35.3
2016-11-04,2016-11-04,35.34
2016-11-07,2016-11-07,36.27
2016-11-08,2016-11-08,36.04
2016-11-09,2016-11-09,36.36
2016-11-10,2016-11-10,36.72
2016-11-11,2016-11-11,36.99
2016-11-14,2016-11-14,37.98
2016-11-15,2016-11-15,37.44
2016-11-16,2016-11-16,37.62
2016-11-17,2016-11-17,37.97
2016-11-18,2016-11-18,38.0
2016-11-21,2016-11-21,38.15
2016-11-22,2016-11-22,38.48
2016-11-23,2016-11-23,38.38
2016-11-25,2016-11-25,38.35
2016-11-28,2016-11-28,37.83
2016-11-29,2016-11-29,37.4
2016-11-30,2016-11-30,36.39
2016-12-01,2016-12-01,36.28
2016-12-02,2016-12-02,36.23
2016-12-05,2016-12-05,37.48
2016-12-06,2016-12-06,37.86
2016-12-07,2016-12-07,38.22
2016-12-08,2016-12-08,38.64
2016-12-09,2016-12-09,38.58
2016-12-12,2016-12-12,38.08
2016-12-13,2016-12-13,38.09
2016-12-14,2016-12-14,37.74
2016-12-15,2016-12-15,36.36
2016-12-16,2016-12-16,35.32
2016-12-19,2016-12-19,35.28
2016-12-20,2016-12-20,35.82
2016-12-21,2016-12-21,35.66
2016-12-22,2016-12-22,34.24
2016-12-23,2016-12-23,34.36
2016-12-27,2016-12-27,34.44
2016-12-28,2016-12-28,35.14
2016-12-29,2016-12-29,35.01
2016-12-30,2016-12-30,35.02
2017-01-03,2017-01-03,35.51
2017-01-04,2017-01-04,36.24
2017-01-05,2017-01-05,35.29
2017-01-06,2017-01-06,35.54
2017-01-09,2017-01-09,34.99
2017-01-10,2017-01-10,35.48
2017-01-11,2017-01-11,35.14
2017-01-12,2017-01-12,35.11
2017-01-13,2017-01-13,35.08
2017-01-17,2017-01-17,35.73
2017-01-18,2017-01-18,35.35
2017-01-19,2017-01-19,35.1
2017-01-20,2017-01-20,35.31
2017-01-23,2017-01-23,35.44
2017-01-24,2017-01-24,36.75
2017-01-25,2017-01-25,36.26
2017-01-26,2017-01-26,35.9
2017-01-27,2017-01-27,35.58
2017-01-30,2017-01-30,35.98
2017-01-31,2017-01-31,37.35
2017-02-01,2017-02-01,37.81
2017-02-02,2017-02-02,36.99
2017-02-03,2017-02-03,36.77
2017-02-06,2017-02-06,37.16
2017-02-07,2017-02-07,36.88
2017-02-08,2017-02-08,37.47
2017-02-09,2017-02-09,37.53
2017-02-10,2017-02-10,38.07
2017-02-13,2017-02-13,38.13
2017-02-14,2017-02-14,38.1
2017-02-15,2017-02-15,38.15
2017-02-16,2017-02-16,37.96
2017-02-17,2017-02-17,38.21
2017-02-21,2017-02-21,38.66
2017-02-22,2017-02-22,38.63
2017-02-23,2017-02-23,37.95
2017-02-24,2017-02-24,38.02
2017-02-27,2017-02-27,38.71
2017-02-28,2017-02-28,38.09
2017-03-01,2017-03-01,38.39
2017-03-02,2017-03-02,38.43
2017-03-03,2017-03-03,38.07
2017-03-06,2017-03-06,38.02
2017-03-07,2017-03-07,37.82
2017-03-08,2017-03-08,38.7
2017-03-09,2017-03-09,38.48
2017-03-10,2017-03-10,39.27
2017-03-13,2017-03-13,38.91
2017-03-14,2017-03-14,38.97
2017-03-15,2017-03-15,39.86
2017-03-16,2017-03-16,39.67
2017-03-17,2017-03-17,39.74
2017-03-20,2017-03-20,39.15
2017-03-21,2017-03-21,38.68
2017-03-22,2017-03-22,38.54
2017-03-23,2017-03-23,38.88
2017-03-24,2017-03-24,39.09
2017-03-27,2017-03-27,40.03
2017-03-28,2017-03-28,40.91
2017-03-29,2017-03-29,41.39
2017-03-30,2017-03-30,41.69
2017-03-31,2017-03-31,41.33
2017-04-03,2017-04-03,40.62
2017-04-04,2017-04-04,39.56
2017-04-05,2017-04-05,39.34
2017-04-06,2017-04-06,40.04
2017-04-07,2017-04-07,39.63
2017-04-10,2017-04-10,39.62
2017-04-11,2017-04-11,40.06
2017-04-12,2017-04-12,40.14
2017-04-13,2017-04-13,39.73
2017-04-17,2017-04-17,39.72
2017-04-18,2017-04-18,39.52
2017-04-19,2017-04-19,39.41
2017-04-20,2017-04-20,39.78
