DATE,DATE,CLOSE
2016-11-01,2016-11-01,71.09
2016-11-02,2016-11-02,70.31
2016-11-03,2016-11-03,69.97
2016-11-04,2016-11-04,67.18
2016-11-07,2016-11-07,69.39
2016-11-08,2016-11-08,70.3
2016-11-09,2016-11-09,69.52
2016-11-10,2016-11-10,66.24
2016-11-11,2016-11-11,66.54
2016-11-14,2016-11-14,68.48
2016-11-15,2016-11-15,68.8
2016-11-16,2016-11-16,69.02
2016-11-17,2016-11-17,66.7
2016-11-18,2016-11-18,67.36
2016-11-21,2016-11-21,57.6
2016-11-22,2016-11-22,58.96
2016-11-23,2016-11-23,58.66
2016-11-25,2016-11-25,59.65
2016-11-28,2016-11-28,58.34
2016-11-29,2016-11-29,58.96
2016-11-30,2016-11-30,56.81
2016-12-01,2016-12-01,56.17
2016-12-02,2016-12-02,57.05
2016-12-05,2016-12-05,57.27
2016-12-06,2016-12-06,57.39
2016-12-07,2016-12-07,58.82
2016-12-08,2016-12-08,61.59
2016-12-09,2016-12-09,61.92
2016-12-12,2016-12-12,62.15
2016-12-13,2016-12-13,62.74
2016-12-14,2016-12-14,62.14
2016-12-15,2016-12-15,62.4
2016-12-16,2016-12-16,62.44
2016-12-19,2016-12-19,62.33
2016-12-20,2016-12-20,61.9
2016-12-21,2016-12-21,61.97
2016-12-22,2016-12-22,61.74
2016-12-23,2016-12-23,62.55
2016-12-27,2016-12-27,62.44
2016-12-28,2016-12-28,61.65
2016-12-29,2016-12-29,62.15
2016-12-30,2016-12-30,61.68
2017-01-03,2017-01-03,62.58
2017-01-04,2017-01-04,63.47
2017-01-05,2017-01-05,63.8
2017-01-06,2017-01-06,63.32
2017-01-09,2017-01-09,62.65
2017-01-10,2017-01-10,61.21
2017-01-11,2017-01-11,61.46
2017-01-12,2017-01-12,61.69
2017-01-13,2017-01-13,61.99
2017-01-17,2017-01-17,62.32
2017-01-18,2017-01-18,62.74
2017-01-19,2017-01-19,62.34
2017-01-20,2017-01-20,62.57
2017-01-23,2017-01-23,61.75
2017-01-24,2017-01-24,62.36
2017-01-25,2017-01-25,62.63
2017-01-26,2017-01-26,61.71
2017-01-27,2017-01-27,62.77
2017-01-30,2017-01-30,62.57
2017-01-31,2017-01-31,62.79
2017-02-01,2017-02-01,64.3
2017-02-02,2017-02-02,65.18
2017-02-03,2017-02-03,65.39
2017-02-06,2017-02-06,63.13
2017-02-07,2017-02-07,64.65
2017-02-08,2017-02-08,65.05
2017-02-09,2017-02-09,65.39
2017-02-10,2017-02-10,65.06
2017-02-13,2017-02-13,65.3
2017-02-14,2017-02-14,65.0
2017-02-15,2017-02-15,65.33
2017-02-16,2017-02-16,64.9
2017-02-17,2017-02-17,65.26
2017-02-21,2017-02-21,63.31
2017-02-22,2017-02-22,63.22
2017-02-23,2017-02-23,62.82
2017-02-24,2017-02-24,62.68
2017-02-27,2017-02-27,62.36
2017-02-28,2017-02-28,62.56
2017-03-01,2017-03-01,64.2
2017-03-02,2017-03-02,63.1
