DATE,DATE,CLOSE
2016-11-01,2016-11-01,43.93
2016-11-02,2016-11-02,44.8
2016-11-03,2016-11-03,48.29
2016-11-04,2016-11-04,48.3
2016-11-07,2016-11-07,49.57
2016-11-08,2016-11-08,49.22
2016-11-09,2016-11-09,49.0
2016-11-10,2016-11-10,46.94
2016-11-11,2016-11-11,47.95
2016-11-14,2016-11-14,46.49
2016-11-15,2016-11-15,46.51
2016-11-16,2016-11-16,46.47
2016-11-17,2016-11-17,48.63
2016-11-18,2016-11-18,47.64
2016-11-21,2016-11-21,48.03
2016-11-22,2016-11-22,47.28
2016-11-23,2016-11-23,48.48
2016-11-25,2016-11-25,48.81
2016-11-28,2016-11-28,48.48
2016-11-29,2016-11-29,50.09
2016-11-30,2016-11-30,49.23
2016-12-01,2016-12-01,47.23
2016-12-02,2016-12-02,47.46
2016-12-05,2016-12-05,48.41
2016-12-06,2016-12-06,48.0
2016-12-07,2016-12-07,49.02
2016-12-08,2016-12-08,49.66
2016-12-09,2016-12-09,49.78
2016-12-12,2016-12-12,50.03
2016-12-13,2016-12-13,50.85
2016-12-14,2016-12-14,49.91
2016-12-15,2016-12-15,50.46
2016-12-16,2016-12-16,49.25
2016-12-19,2016-12-19,49.09
2016-12-20,2016-12-20,49.92
2016-12-21,2016-12-21,49.75
2016-12-22,2016-12-22,49.25
2016-12-23,2016-12-23,49.88
2016-12-27,2016-12-27,49.73
2016-12-28,2016-12-28,49.25
2016-12-29,2016-12-29,49.58
2016-12-30,2016-12-30,49.29
2017-01-03,2017-01-03,49.22
2017-01-04,2017-01-04,50.14
2017-01-05,2017-01-05,49.36
2017-01-06,2017-01-06,49.95
2017-01-09,2017-01-09,50.46
2017-01-10,2017-01-10,50.81
2017-01-11,2017-01-11,51.11
2017-01-12,2017-01-12,50.87
2017-01-13,2017-01-13,51.61
2017-01-17,2017-01-17,51.4
2017-01-18,2017-01-18,51.79
2017-01-19,2017-01-19,51.79
2017-01-20,2017-01-20,52.35
2017-01-23,2017-01-23,52.16
2017-01-24,2017-01-24,53.18
2017-01-25,2017-01-25,53.88
2017-01-26,2017-01-26,53.75
2017-01-27,2017-01-27,53.69
2017-01-30,2017-01-30,53.49
2017-01-31,2017-01-31,53.65
2017-02-01,2017-02-01,54.36
2017-02-02,2017-02-02,54.8
2017-02-03,2017-02-03,53.93
2017-02-06,2017-02-06,54.2
2017-02-07,2017-02-07,53.7
2017-02-08,2017-02-08,53.71
2017-02-09,2017-02-09,56.02
2017-02-10,2017-02-10,57.88
2017-02-13,2017-02-13,58.42
2017-02-14,2017-02-14,58.26
2017-02-15,2017-02-15,59.44
2017-02-16,2017-02-16,59.97
2017-02-17,2017-02-17,59.69
2017-02-21,2017-02-21,58.98
2017-02-22,2017-02-22,58.44
2017-02-23,2017-02-23,57.85
2017-02-24,2017-02-24,57.56
2017-02-27,2017-02-27,57.47
2017-02-28,2017-02-28,56.98
2017-03-01,2017-03-01,58.8
2017-03-02,2017-03-02,57.88
2017-03-03,2017-03-03,58.12
2017-03-06,2017-03-06,58.73
2017-03-07,2017-03-07,59.19
2017-03-08,2017-03-08,59.31
2017-03-09,2017-03-09,59.16
2017-03-10,2017-03-10,59.0
2017-03-13,2017-03-13,59.51
2017-03-14,2017-03-14,59.25
2017-03-15,2017-03-15,59.02
2017-03-16,2017-03-16,58.51
2017-03-17,2017-03-17,58.01
2017-03-20,2017-03-20,57.89
2017-03-21,2017-03-21,56.6
2017-03-22,2017-03-22,57.58
2017-03-23,2017-03-23,57.72
2017-03-24,2017-03-24,58.12
2017-03-27,2017-03-27,58.57
2017-03-28,2017-03-28,58.81
2017-03-29,2017-03-29,58.79
2017-03-30,2017-03-30,58.9
2017-03-31,2017-03-31,59.27
2017-04-03,2017-04-03,58.74
2017-04-04,2017-04-04,57.85
2017-04-05,2017-04-05,57.86
2017-04-06,2017-04-06,58.05
2017-04-07,2017-04-07,58.47
2017-04-10,2017-04-10,58.43
2017-04-11,2017-04-11,58.42
2017-04-12,2017-04-12,57.87
2017-04-13,2017-04-13,57.53
2017-04-17,2017-04-17,58.55
2017-04-18,2017-04-18,59.39
2017-04-19,2017-04-19,60.45
2017-04-20,2017-04-20,62.03
2017-04-21,2017-04-21,62.29
2017-04-24,2017-04-24,62.55
2017-04-25,2017-04-25,62.63
2017-04-26,2017-04-26,62.78
2017-04-27,2017-04-27,63.15
2017-04-28,2017-04-28,62.85
2017-05-01,2017-05-01,63.98
2017-05-02,2017-05-02,64.09
2017-05-03,2017-05-03,63.99
2017-05-04,2017-05-04,63.66
2017-05-05,2017-05-05,65.42
2017-05-08,2017-05-08,65.06
2017-05-09,2017-05-09,65.11
2017-05-10,2017-05-10,68.68
2017-05-11,2017-05-11,68.59
2017-05-12,2017-05-12,67.98
2017-05-15,2017-05-15,69.27
2017-05-16,2017-05-16,70.37
2017-05-17,2017-05-17,66.52
2017-05-18,2017-05-18,68.6
2017-05-19,2017-05-19,67.58
2017-05-22,2017-05-22,69.04
2017-05-23,2017-05-23,72.83
2017-05-24,2017-05-24,77.73
2017-05-25,2017-05-25,78.53
2017-05-26,2017-05-26,77.07
2017-05-30,2017-05-30,76.07
2017-05-31,2017-05-31,76.74
2017-06-01,2017-06-01,78.12
2017-06-02,2017-06-02,77.65
2017-06-05,2017-06-05,77.32
2017-06-06,2017-06-06,77.66
2017-06-07,2017-06-07,79.77
2017-06-08,2017-06-08,79.32
2017-06-09,2017-06-09,75.3
2017-06-12,2017-06-12,73.83
2017-06-13,2017-06-13,74.62
2017-06-14,2017-06-14,74.38
2017-06-15,2017-06-15,74.01
2017-06-16,2017-06-16,74.16
2017-06-19,2017-06-19,74.1
2017-06-20,2017-06-20,73.1
2017-06-21,2017-06-21,73.05
2017-06-22,2017-06-22,73.05
2017-06-23,2017-06-23,72.88
2017-06-26,2017-06-26,73.57
2017-06-27,2017-06-27,71.17
2017-06-28,2017-06-28,73.27
2017-06-29,2017-06-29,72.52
2017-06-30,2017-06-30,73.38
2017-07-03,2017-07-03,72.07
2017-07-05,2017-07-05,73.28
2017-07-06,2017-07-06,73.2
2017-07-07,2017-07-07,74.59
2017-07-10,2017-07-10,74.48
2017-07-11,2017-07-11,75.9
2017-07-12,2017-07-12,77.31
2017-07-13,2017-07-13,76.33
2017-07-14,2017-07-14,76.21
2017-07-17,2017-07-17,76.1
2017-07-18,2017-07-18,77.47
2017-07-19,2017-07-19,78.43
2017-07-20,2017-07-20,78.03
2017-07-21,2017-07-21,79.25
2017-07-24,2017-07-24,79.67
2017-07-25,2017-07-25,80.85
2017-07-26,2017-07-26,81.46
2017-07-27,2017-07-27,79.71
2017-07-28,2017-07-28,80.1
2017-07-31,2017-07-31,79.48
2017-08-01,2017-08-01,79.93
2017-08-02,2017-08-02,79.39
2017-08-03,2017-08-03,89.09
2017-08-04,2017-08-04,87.71
2017-08-07,2017-08-07,90.52
2017-08-08,2017-08-08,91.52
2017-08-09,2017-08-09,90.97
2017-08-10,2017-08-10,88.32
2017-08-11,2017-08-11,89.3
2017-08-14,2017-08-14,90.71
2017-08-15,2017-08-15,90.66
2017-08-16,2017-08-16,92.02
2017-08-17,2017-08-17,90.94
2017-08-18,2017-08-18,92.07
2017-08-21,2017-08-21,91.98
2017-08-22,2017-08-22,94.95
2017-08-23,2017-08-23,94.4
2017-08-24,2017-08-24,95.25
2017-08-25,2017-08-25,94.64
2017-08-28,2017-08-28,95.81
2017-08-29,2017-08-29,95.79
2017-08-30,2017-08-30,97.65
2017-08-31,2017-08-31,97.79
2017-09-01,2017-09-01,95.88
2017-09-05,2017-09-05,97.09
2017-09-06,2017-09-06,95.82
2017-09-07,2017-09-07,99.5
2017-09-08,2017-09-08,99.62
2017-09-11,2017-09-11,100.11
2017-09-12,2017-09-12,99.95
2017-09-13,2017-09-13,98.78
2017-09-14,2017-09-14,99.39
2017-09-15,2017-09-15,100.39
2017-09-18,2017-09-18,100.82
2017-09-19,2017-09-19,102.38
2017-09-20,2017-09-20,102.96
2017-09-21,2017-09-21,101.72
2017-09-22,2017-09-22,102.84
2017-09-25,2017-09-25,97.62
2017-09-26,2017-09-26,97.48
2017-09-27,2017-09-27,100.13
2017-09-28,2017-09-28,100.89
2017-09-29,2017-09-29,102.23
2017-10-02,2017-10-02,100.43
2017-10-03,2017-10-03,101.07
2017-10-04,2017-10-04,102.98
2017-10-05,2017-10-05,104.47
2017-10-06,2017-10-06,107.23
2017-10-09,2017-10-09,104.11
2017-10-10,2017-10-10,102.67
2017-10-11,2017-10-11,103.6
2017-10-12,2017-10-12,103.44
2017-10-13,2017-10-13,104.58
2017-10-16,2017-10-16,104.78
2017-10-17,2017-10-17,103.9
2017-10-18,2017-10-18,104.61
2017-10-19,2017-10-19,104.56
2017-10-20,2017-10-20,104.93
2017-10-23,2017-10-23,105.01
2017-10-24,2017-10-24,105.22
2017-10-25,2017-10-25,104.87
2017-10-26,2017-10-26,105.43
2017-10-27,2017-10-27,107.84
2017-10-30,2017-10-30,109.71
2017-10-31,2017-10-31,110.65
2017-11-01,2017-11-01,110.56
2017-11-02,2017-11-02,108.5
2017-11-03,2017-11-03,108.93
2017-11-06,2017-11-06,107.0
2017-11-07,2017-11-07,106.39
2017-11-08,2017-11-08,117.65
2017-11-09,2017-11-09,115.16
2017-11-10,2017-11-10,115.68
2017-11-13,2017-11-13,118.26
2017-11-14,2017-11-14,118.88
2017-11-15,2017-11-15,117.37
2017-11-16,2017-11-16,118.9
2017-11-17,2017-11-17,117.82
2017-11-20,2017-11-20,117.4
2017-11-21,2017-11-21,119.02
2017-11-22,2017-11-22,117.94
2017-11-24,2017-11-24,117.88
2017-11-27,2017-11-27,117.79
2017-11-28,2017-11-28,116.19
2017-11-29,2017-11-29,111.45
2017-11-30,2017-11-30,111.55
2017-12-01,2017-12-01,110.76
2017-12-04,2017-12-04,102.11
2017-12-05,2017-12-05,104.19
2017-12-06,2017-12-06,104.89
2017-12-07,2017-12-07,106.54
2017-12-08,2017-12-08,106.81
2017-12-11,2017-12-11,108.23
2017-12-12,2017-12-12,107.62
2017-12-13,2017-12-13,107.74
2017-12-14,2017-12-14,109.02
2017-12-15,2017-12-15,111.19
2017-12-18,2017-12-18,110.32
2017-12-19,2017-12-19,109.28
2017-12-20,2017-12-20,108.75
2017-12-21,2017-12-21,110.46
2017-12-22,2017-12-22,109.14
2017-12-26,2017-12-26,108.25
2017-12-27,2017-12-27,107.8
2017-12-28,2017-12-28,109.59
2017-12-29,2017-12-29,109.78
2018-01-02,2018-01-02,112.88
2018-01-03,2018-01-03,113.88
2018-01-04,2018-01-04,114.02
2018-01-05,2018-01-05,116.91
2018-01-08,2018-01-08,117.37
2018-01-09,2018-01-09,114.91
2018-01-10,2018-01-10,115.55
2018-01-11,2018-01-11,116.98
2018-01-12,2018-01-12,117.3
2018-01-16,2018-01-16,113.96
2018-01-17,2018-01-17,116.09
2018-01-18,2018-01-18,117.27
2018-01-19,2018-01-19,118.05
2018-01-22,2018-01-22,118.4
2018-01-23,2018-01-23,116.81
2018-01-24,2018-01-24,116.24
2018-01-25,2018-01-25,117.2
2018-01-26,2018-01-26,119.37
2018-01-29,2018-01-29,119.29
2018-01-30,2018-01-30,118.31
2018-01-31,2018-01-31,126.67
2018-02-01,2018-02-01,124.64
2018-02-02,2018-02-02,121.67
2018-02-05,2018-02-05,117.33
2018-02-06,2018-02-06,118.27
2018-02-07,2018-02-07,117.19
2018-02-08,2018-02-08,103.51
2018-02-09,2018-02-09,108.45
2018-02-12,2018-02-12,109.93
2018-02-13,2018-02-13,107.78
2018-02-14,2018-02-14,106.56
2018-02-15,2018-02-15,108.16
2018-02-16,2018-02-16,107.04
2018-02-20,2018-02-20,107.48
2018-02-21,2018-02-21,108.54
2018-02-22,2018-02-22,108.63
2018-02-23,2018-02-23,111.65
2018-02-26,2018-02-26,114.58
2018-02-27,2018-02-27,112.23
2018-02-28,2018-02-28,111.87
2018-03-01,2018-03-01,107.54
2018-03-02,2018-03-02,110.77
2018-03-05,2018-03-05,111.93
2018-03-06,2018-03-06,110.71
2018-03-07,2018-03-07,110.94
2018-03-08,2018-03-08,113.58
2018-03-09,2018-03-09,116.61
2018-03-12,2018-03-12,115.735
2018-03-13,2018-03-13,113.49
2018-03-14,2018-03-14,109.23
2018-03-15,2018-03-15,108.9
2018-03-16,2018-03-16,107.29
2018-03-19,2018-03-19,104.5
2018-03-20,2018-03-20,105.24
2018-03-21,2018-03-21,104.73
2018-03-22,2018-03-22,102.39
2018-03-23,2018-03-23,99.7
2018-03-26,2018-03-26,103.1
2018-03-27,2018-03-27,98.04
2018-03-28,2018-03-28,97.46
2018-03-29,2018-03-29,97.78
2018-04-02,2018-04-02,95.92
2018-04-03,2018-04-03,95.86
2018-04-04,2018-04-04,96.96
2018-04-05,2018-04-05,98.63
2018-04-06,2018-04-06,94.63
2018-04-09,2018-04-09,96.51
2018-04-10,2018-04-10,97.64
2018-04-11,2018-04-11,96.62
2018-04-12,2018-04-12,97.84
2018-04-13,2018-04-13,97.19
2018-04-16,2018-04-16,98.47
2018-04-17,2018-04-17,102.21
2018-04-18,2018-04-18,102.5
2018-04-19,2018-04-19,100.77
2018-04-20,2018-04-20,98.38
2018-04-23,2018-04-23,98.12
2018-04-24,2018-04-24,96.38
2018-04-25,2018-04-25,96.22
2018-04-26,2018-04-26,99.19
2018-04-27,2018-04-27,98.63
2018-04-30,2018-04-30,99.71
2018-05-01,2018-05-01,104.3
