DATE,DATE,CLOSE
2016-11-01,2016-11-01,69.44
2016-11-02,2016-11-02,68.84
2016-11-03,2016-11-03,67.9
2016-11-04,2016-11-04,67.6
2016-11-07,2016-11-07,69.01
2016-11-08,2016-11-08,69.83
2016-11-09,2016-11-09,69.79
2016-11-10,2016-11-10,69.14
2016-11-11,2016-11-11,69.85
2016-11-14,2016-11-14,70.02
2016-11-15,2016-11-15,71.03
2016-11-16,2016-11-16,71.2
2016-11-17,2016-11-17,72.08
2016-11-18,2016-11-18,72.6
2016-11-21,2016-11-21,73.68
2016-11-22,2016-11-22,74.4
2016-11-23,2016-11-23,74.06
2016-11-25,2016-11-25,74.43
2016-11-28,2016-11-28,74.53
2016-11-29,2016-11-29,74.4
2016-11-30,2016-11-30,73.93
2016-12-01,2016-12-01,70.41
2016-12-02,2016-12-02,70.72
2016-12-05,2016-12-05,70.51
2016-12-06,2016-12-06,71.37
2016-12-07,2016-12-07,72.2
2016-12-08,2016-12-08,72.13
2016-12-09,2016-12-09,71.99
2016-12-12,2016-12-12,71.73
2016-12-13,2016-12-13,73.2
2016-12-14,2016-12-14,72.5
2016-12-15,2016-12-15,73.45
2016-12-16,2016-12-16,72.89
2016-12-19,2016-12-19,73.57
2016-12-20,2016-12-20,74.04
2016-12-21,2016-12-21,74.17
2016-12-22,2016-12-22,74.2
2016-12-23,2016-12-23,74.38
2016-12-27,2016-12-27,74.87
2016-12-28,2016-12-28,74.05
2016-12-29,2016-12-29,74.15
2016-12-30,2016-12-30,72.97
2017-01-03,2017-01-03,73.58
2017-01-04,2017-01-04,73.49
2017-01-05,2017-01-05,72.92
2017-01-06,2017-01-06,74.15
2017-01-09,2017-01-09,74.34
2017-01-10,2017-01-10,74.6
2017-01-11,2017-01-11,75.2
2017-01-12,2017-01-12,74.85
2017-01-13,2017-01-13,75.0
2017-01-17,2017-01-17,74.49
2017-01-18,2017-01-18,74.38
2017-01-19,2017-01-19,73.88
2017-01-20,2017-01-20,74.75
2017-01-23,2017-01-23,75.73
2017-01-24,2017-01-24,77.08
2017-01-25,2017-01-25,78.58
2017-01-26,2017-01-26,79.26
2017-01-27,2017-01-27,78.03
2017-01-30,2017-01-30,77.9
2017-01-31,2017-01-31,75.54
2017-02-01,2017-02-01,76.27
2017-02-02,2017-02-02,75.89
2017-02-03,2017-02-03,76.5
2017-02-06,2017-02-06,76.22
2017-02-07,2017-02-07,76.18
2017-02-08,2017-02-08,75.95
2017-02-09,2017-02-09,75.3
2017-02-10,2017-02-10,75.16
2017-02-13,2017-02-13,75.52
2017-02-14,2017-02-14,75.64
2017-02-15,2017-02-15,75.67
2017-02-16,2017-02-16,76.25
2017-02-17,2017-02-17,76.44
2017-02-21,2017-02-21,77.08
2017-02-22,2017-02-22,77.23
2017-02-23,2017-02-23,77.14
2017-02-24,2017-02-24,77.24
2017-02-27,2017-02-27,77.19
2017-02-28,2017-02-28,76.62
2017-03-01,2017-03-01,78.15
2017-03-02,2017-03-02,78.08
2017-03-03,2017-03-03,77.86
2017-03-06,2017-03-06,78.31
2017-03-07,2017-03-07,79.12
2017-03-08,2017-03-08,79.34
2017-03-09,2017-03-09,79.13
2017-03-10,2017-03-10,80.33
2017-03-13,2017-03-13,81.02
2017-03-14,2017-03-14,81.09
2017-03-15,2017-03-15,81.82
2017-03-16,2017-03-16,81.71
2017-03-17,2017-03-17,82.2
2017-03-20,2017-03-20,81.59
2017-03-21,2017-03-21,79.75
2017-03-22,2017-03-22,80.69
2017-03-23,2017-03-23,80.67
2017-03-24,2017-03-24,80.59
2017-03-27,2017-03-27,80.53
2017-03-28,2017-03-28,80.61
2017-03-29,2017-03-29,80.49
2017-03-30,2017-03-30,81.04
2017-03-31,2017-03-31,80.56
2017-04-03,2017-04-03,80.36
2017-04-04,2017-04-04,80.6
2017-04-05,2017-04-05,80.08
2017-04-06,2017-04-06,80.1
