DATE,DATE,CLOSE
2016-11-01,2016-11-01,30.52
2016-11-02,2016-11-02,30.79
2016-11-03,2016-11-03,30.3
2016-11-04,2016-11-04,30.8
2016-11-07,2016-11-07,31.26
2016-11-08,2016-11-08,31.33
2016-11-09,2016-11-09,31.59
2016-11-10,2016-11-10,31.57
2016-11-11,2016-11-11,31.82
2016-11-14,2016-11-14,31.17
2016-11-15,2016-11-15,31.94
2016-11-16,2016-11-16,32.1
2016-11-17,2016-11-17,32.31
2016-11-18,2016-11-18,30.95
2016-11-21,2016-11-21,30.87
2016-11-22,2016-11-22,30.83
2016-11-23,2016-11-23,30.71
2016-11-25,2016-11-25,30.6
2016-11-28,2016-11-28,31.17
2016-11-29,2016-11-29,30.9
2016-11-30,2016-11-30,30.8
2016-12-01,2016-12-01,30.47
2016-12-02,2016-12-02,30.03
2016-12-05,2016-12-05,30.43
2016-12-06,2016-12-06,30.94
2016-12-07,2016-12-07,32.27
2016-12-08,2016-12-08,32.94
2016-12-09,2016-12-09,32.99
2016-12-12,2016-12-12,32.26
2016-12-13,2016-12-13,32.27
2016-12-14,2016-12-14,31.67
2016-12-15,2016-12-15,31.0
2016-12-16,2016-12-16,30.39
2016-12-19,2016-12-19,30.11
2016-12-20,2016-12-20,30.01
2016-12-21,2016-12-21,30.05
2016-12-22,2016-12-22,29.39
2016-12-23,2016-12-23,29.29
2016-12-27,2016-12-27,29.31
2016-12-28,2016-12-28,29.42
2016-12-29,2016-12-29,29.23
2016-12-30,2016-12-30,29.05
2017-01-03,2017-01-03,29.87
2017-01-04,2017-01-04,30.54
2017-01-05,2017-01-05,30.29
2017-01-06,2017-01-06,30.47
2017-01-09,2017-01-09,30.47
2017-01-10,2017-01-10,30.71
2017-01-11,2017-01-11,30.55
2017-01-12,2017-01-12,30.38
2017-01-13,2017-01-13,30.08
2017-01-17,2017-01-17,30.14
2017-01-18,2017-01-18,29.35
2017-01-19,2017-01-19,29.2
2017-01-20,2017-01-20,29.02
2017-01-23,2017-01-23,28.45
2017-01-24,2017-01-24,28.54
2017-01-25,2017-01-25,29.3
2017-01-26,2017-01-26,29.13
2017-01-27,2017-01-27,29.13
2017-01-30,2017-01-30,28.94
2017-01-31,2017-01-31,21.49
2017-02-01,2017-02-01,21.44
2017-02-02,2017-02-02,20.65
2017-02-03,2017-02-03,20.7
2017-02-06,2017-02-06,20.6
2017-02-07,2017-02-07,20.47
2017-02-08,2017-02-08,21.08
2017-02-09,2017-02-09,21.71
2017-02-10,2017-02-10,21.6
2017-02-13,2017-02-13,21.32
2017-02-14,2017-02-14,21.76
2017-02-15,2017-02-15,21.89
2017-02-16,2017-02-16,21.64
2017-02-17,2017-02-17,21.88
2017-02-21,2017-02-21,21.78
2017-02-22,2017-02-22,21.87
2017-02-23,2017-02-23,21.67
2017-02-24,2017-02-24,21.81
2017-02-27,2017-02-27,21.5
2017-02-28,2017-02-28,20.62
2017-03-01,2017-03-01,20.6
2017-03-02,2017-03-02,20.93
2017-03-03,2017-03-03,20.59
2017-03-06,2017-03-06,20.05
2017-03-07,2017-03-07,19.69
2017-03-08,2017-03-08,19.14
2017-03-09,2017-03-09,19.15
2017-03-10,2017-03-10,19.26
2017-03-13,2017-03-13,19.05
2017-03-14,2017-03-14,19.02
2017-03-15,2017-03-15,19.46
2017-03-16,2017-03-16,19.82
2017-03-17,2017-03-17,19.38
2017-03-20,2017-03-20,19.59
2017-03-21,2017-03-21,18.99
2017-03-22,2017-03-22,19.09
2017-03-23,2017-03-23,18.98
2017-03-24,2017-03-24,19.66
2017-03-27,2017-03-27,19.86
2017-03-28,2017-03-28,19.91
2017-03-29,2017-03-29,20.62
2017-03-30,2017-03-30,20.09
2017-03-31,2017-03-31,19.78
2017-04-03,2017-04-03,19.65
2017-04-04,2017-04-04,19.31
2017-04-05,2017-04-05,19.62
2017-04-06,2017-04-06,20.27
2017-04-07,2017-04-07,19.86
2017-04-10,2017-04-10,19.73
2017-04-11,2017-04-11,19.42
2017-04-12,2017-04-12,19.28
2017-04-13,2017-04-13,19.26
2017-04-17,2017-04-17,19.21
2017-04-18,2017-04-18,19.1
2017-04-19,2017-04-19,19.19
2017-04-20,2017-04-20,19.39
2017-04-21,2017-04-21,18.99
2017-04-24,2017-04-24,19.44
2017-04-25,2017-04-25,19.53
2017-04-26,2017-04-26,19.71
2017-04-27,2017-04-27,21.67
2017-04-28,2017-04-28,21.49
2017-05-01,2017-05-01,21.17
2017-05-02,2017-05-02,21.05
2017-05-03,2017-05-03,20.34
2017-05-04,2017-05-04,20.42
2017-05-05,2017-05-05,20.59
2017-05-08,2017-05-08,20.53
2017-05-09,2017-05-09,21.39
2017-05-10,2017-05-10,21.18
