DATE,DATE,CLOSE
2016-11-01,2016-11-01,139.43
2016-11-02,2016-11-02,138.98
2016-11-03,2016-11-03,137.83
2016-11-04,2016-11-04,137.71
2016-11-07,2016-11-07,141.93
2016-11-08,2016-11-08,142.9
2016-11-09,2016-11-09,141.9
2016-11-10,2016-11-10,146.13
2016-11-11,2016-11-11,146.42
2016-11-14,2016-11-14,152.28
2016-11-15,2016-11-15,152.23
2016-11-16,2016-11-16,151.5
2016-11-17,2016-11-17,150.77
2016-11-18,2016-11-18,149.45
2016-11-21,2016-11-21,150.41
2016-11-22,2016-11-22,152.26
2016-11-23,2016-11-23,153.54
2016-11-25,2016-11-25,152.81
2016-11-28,2016-11-28,152.11
2016-11-29,2016-11-29,157.59
2016-11-30,2016-11-30,158.32
2016-12-01,2016-12-01,160.94
2016-12-02,2016-12-02,160.73
2016-12-05,2016-12-05,157.63
2016-12-06,2016-12-06,157.32
2016-12-07,2016-12-07,159.4
2016-12-08,2016-12-08,159.32
2016-12-09,2016-12-09,160.12
2016-12-12,2016-12-12,159.49
2016-12-13,2016-12-13,160.54
2016-12-14,2016-12-14,159.86
2016-12-15,2016-12-15,160.62
2016-12-16,2016-12-16,163.94
2016-12-19,2016-12-19,161.54
2016-12-20,2016-12-20,161.59
2016-12-21,2016-12-21,161.33
2016-12-22,2016-12-22,161.58
2016-12-23,2016-12-23,163.03
2016-12-27,2016-12-27,162.64
2016-12-28,2016-12-28,161.44
2016-12-29,2016-12-29,161.04
2016-12-30,2016-12-30,160.04
2017-01-03,2017-01-03,161.45
2017-01-04,2017-01-04,161.91
2017-01-05,2017-01-05,162.18
2017-01-06,2017-01-06,162.41
2017-01-09,2017-01-09,161.95
2017-01-10,2017-01-10,161.58
2017-01-11,2017-01-11,161.89
2017-01-12,2017-01-12,162.36
2017-01-13,2017-01-13,161.8
2017-01-17,2017-01-17,160.66
2017-01-18,2017-01-18,157.74
2017-01-19,2017-01-19,158.7
2017-01-20,2017-01-20,158.66
2017-01-23,2017-01-23,159.07
2017-01-24,2017-01-24,160.43
2017-01-25,2017-01-25,161.24
2017-01-26,2017-01-26,162.75
2017-01-27,2017-01-27,162.99
2017-01-30,2017-01-30,162.09
2017-01-31,2017-01-31,162.1
2017-02-01,2017-02-01,162.71
2017-02-02,2017-02-02,160.76
2017-02-03,2017-02-03,161.87
2017-02-06,2017-02-06,160.51
2017-02-07,2017-02-07,160.53
2017-02-08,2017-02-08,160.31
2017-02-09,2017-02-09,160.44
2017-02-10,2017-02-10,160.75
2017-02-13,2017-02-13,161.99
