DATE,DATE,CLOSE
2016-11-01,2016-11-01,35.38
2016-11-02,2016-11-02,35.64
2016-11-03,2016-11-03,36.34
2016-11-04,2016-11-04,35.79
2016-11-07,2016-11-07,36.52
2016-11-08,2016-11-08,36.54
2016-11-09,2016-11-09,39.35
2016-11-10,2016-11-10,40.0
2016-11-11,2016-11-11,40.39
2016-11-14,2016-11-14,41.43
2016-11-15,2016-11-15,42.25
2016-11-16,2016-11-16,41.47
2016-11-17,2016-11-17,42.54
2016-11-18,2016-11-18,42.55
2016-11-21,2016-11-21,42.56
2016-11-22,2016-11-22,42.6
2016-11-23,2016-11-23,43.04
2016-11-25,2016-11-25,42.89
2016-11-28,2016-11-28,42.11
2016-11-29,2016-11-29,42.02
2016-11-30,2016-11-30,42.27
2016-12-01,2016-12-01,43.07
2016-12-02,2016-12-02,42.72
2016-12-05,2016-12-05,42.87
2016-12-06,2016-12-06,42.85
2016-12-07,2016-12-07,43.44
2016-12-08,2016-12-08,44.09
2016-12-09,2016-12-09,43.56
2016-12-12,2016-12-12,43.3
2016-12-13,2016-12-13,43.59
2016-12-14,2016-12-14,43.59
2016-12-15,2016-12-15,44.49
2016-12-16,2016-12-16,43.55
2016-12-19,2016-12-19,43.74
2016-12-20,2016-12-20,44.48
2016-12-21,2016-12-21,44.6
2016-12-22,2016-12-22,44.53
2016-12-23,2016-12-23,44.47
2016-12-27,2016-12-27,44.55
2016-12-28,2016-12-28,43.96
2016-12-29,2016-12-29,43.81
2016-12-30,2016-12-30,43.93
2017-01-03,2017-01-03,44.28
2017-01-04,2017-01-04,44.92
2017-01-05,2017-01-05,44.46
2017-01-06,2017-01-06,44.88
2017-01-09,2017-01-09,44.39
2017-01-10,2017-01-10,44.6
2017-01-11,2017-01-11,44.83
2017-01-12,2017-01-12,44.59
2017-01-13,2017-01-13,44.79
2017-01-17,2017-01-17,43.91
2017-01-18,2017-01-18,44.49
2017-01-19,2017-01-19,44.43
2017-01-20,2017-01-20,45.02
2017-01-23,2017-01-23,44.83
2017-01-24,2017-01-24,45.24
2017-01-25,2017-01-25,46.01
2017-01-26,2017-01-26,46.19
2017-01-27,2017-01-27,45.95
2017-01-30,2017-01-30,45.63
2017-01-31,2017-01-31,45.43
