DATE,DATE,CLOSE
2016-11-01,2016-11-01,106.84
2016-11-02,2016-11-02,106.9
2016-11-03,2016-11-03,107.48
2016-11-04,2016-11-04,106.94
2016-11-07,2016-11-07,109.8
2016-11-08,2016-11-08,112.03
2016-11-09,2016-11-09,112.7
2016-11-10,2016-11-10,113.31
2016-11-11,2016-11-11,114.23
2016-11-14,2016-11-14,112.91
2016-11-15,2016-11-15,113.18
2016-11-16,2016-11-16,112.81
2016-11-17,2016-11-17,113.49
2016-11-18,2016-11-18,114.09
2016-11-21,2016-11-21,114.7
2016-11-22,2016-11-22,114.63
2016-11-23,2016-11-23,115.68
2016-11-25,2016-11-25,116.26
2016-11-28,2016-11-28,115.69
2016-11-29,2016-11-29,116.28
2016-11-30,2016-11-30,115.92
2016-12-01,2016-12-01,116.43
2016-12-02,2016-12-02,116.35
2016-12-05,2016-12-05,116.56
2016-12-06,2016-12-06,116.54
2016-12-07,2016-12-07,118.62
2016-12-08,2016-12-08,118.98
2016-12-09,2016-12-09,119.6
2016-12-12,2016-12-12,120.13
2016-12-13,2016-12-13,120.16
2016-12-14,2016-12-14,117.26
2016-12-15,2016-12-15,117.28
2016-12-16,2016-12-16,115.81
2016-12-19,2016-12-19,116.98
2016-12-20,2016-12-20,117.52
2016-12-21,2016-12-21,116.1
2016-12-22,2016-12-22,116.3
2016-12-23,2016-12-23,115.97
2016-12-27,2016-12-27,116.13
2016-12-28,2016-12-28,115.2
2016-12-29,2016-12-29,114.98
2016-12-30,2016-12-30,114.64
2017-01-03,2017-01-03,115.08
2017-01-04,2017-01-04,115.11
2017-01-05,2017-01-05,115.17
2017-01-06,2017-01-06,115.4
2017-01-09,2017-01-09,114.77
2017-01-10,2017-01-10,113.92
2017-01-11,2017-01-11,114.18
2017-01-12,2017-01-12,113.91
2017-01-13,2017-01-13,114.24
2017-01-17,2017-01-17,114.07
2017-01-18,2017-01-18,114.96
2017-01-19,2017-01-19,114.27
2017-01-20,2017-01-20,114.96
2017-01-23,2017-01-23,114.46
2017-01-24,2017-01-24,116.05
2017-01-25,2017-01-25,116.99
2017-01-26,2017-01-26,116.93
2017-01-27,2017-01-27,118.09
2017-01-30,2017-01-30,117.03
2017-01-31,2017-01-31,109.13
2017-02-01,2017-02-01,105.35
2017-02-02,2017-02-02,105.1
2017-02-03,2017-02-03,106.95
2017-02-06,2017-02-06,106.06
2017-02-07,2017-02-07,105.69
2017-02-08,2017-02-08,106.16
2017-02-09,2017-02-09,106.46
2017-02-10,2017-02-10,107.34
2017-02-13,2017-02-13,108.5
2017-02-14,2017-02-14,108.99
2017-02-15,2017-02-15,109.02
2017-02-16,2017-02-16,107.22
2017-02-17,2017-02-17,106.9
2017-02-21,2017-02-21,107.72
2017-02-22,2017-02-22,105.62
2017-02-23,2017-02-23,105.09
2017-02-24,2017-02-24,106.18
2017-02-27,2017-02-27,106.73
2017-02-28,2017-02-28,105.76
2017-03-01,2017-03-01,106.87
2017-03-02,2017-03-02,105.95
2017-03-03,2017-03-03,105.93
2017-03-06,2017-03-06,106.1
2017-03-07,2017-03-07,105.64
2017-03-08,2017-03-08,105.73
2017-03-09,2017-03-09,105.9
2017-03-10,2017-03-10,106.73
2017-03-13,2017-03-13,107.49
2017-03-14,2017-03-14,106.83
2017-03-15,2017-03-15,107.74
2017-03-16,2017-03-16,107.8
2017-03-17,2017-03-17,108.15
2017-03-20,2017-03-20,107.12
2017-03-21,2017-03-21,106.51
2017-03-22,2017-03-22,106.52
2017-03-23,2017-03-23,105.65
2017-03-24,2017-03-24,105.05
2017-03-27,2017-03-27,104.78
2017-03-28,2017-03-28,106.19
2017-03-29,2017-03-29,106.03
2017-03-30,2017-03-30,106.66
2017-03-31,2017-03-31,107.3
2017-04-03,2017-04-03,106.4
2017-04-04,2017-04-04,106.63
2017-04-05,2017-04-05,106.74
2017-04-06,2017-04-06,106.67
2017-04-07,2017-04-07,104.99
2017-04-10,2017-04-10,106.42
2017-04-11,2017-04-11,105.75
2017-04-12,2017-04-12,104.23
2017-04-13,2017-04-13,103.74
2017-04-17,2017-04-17,104.87
2017-04-18,2017-04-18,104.1
2017-04-19,2017-04-19,104.46
2017-04-20,2017-04-20,105.53
2017-04-21,2017-04-21,105.77
2017-04-24,2017-04-24,106.97
2017-04-25,2017-04-25,107.36
2017-04-26,2017-04-26,107.62
2017-04-27,2017-04-27,108.83
2017-04-28,2017-04-28,107.46
2017-05-01,2017-05-01,106.54
2017-05-02,2017-05-02,106.92
2017-05-03,2017-05-03,107.35
2017-05-04,2017-05-04,107.05
2017-05-05,2017-05-05,107.43
2017-05-08,2017-05-08,107.52
2017-05-09,2017-05-09,106.51
2017-05-10,2017-05-10,105.1
2017-05-11,2017-05-11,104.15
2017-05-12,2017-05-12,104.13
2017-05-15,2017-05-15,105.29
2017-05-16,2017-05-16,104.5
2017-05-17,2017-05-17,102.87
2017-05-18,2017-05-18,103.19
2017-05-19,2017-05-19,103.42
2017-05-22,2017-05-22,103.78
2017-05-23,2017-05-23,104.2
2017-05-24,2017-05-24,104.72
2017-05-25,2017-05-25,105.94
2017-05-26,2017-05-26,105.87
2017-05-30,2017-05-30,106.81
2017-05-31,2017-05-31,105.97
2017-06-01,2017-06-01,107.66
2017-06-02,2017-06-02,107.67
2017-06-05,2017-06-05,107.95
2017-06-06,2017-06-06,107.43
2017-06-07,2017-06-07,106.68
2017-06-08,2017-06-08,106.75
2017-06-09,2017-06-09,107.03
2017-06-12,2017-06-12,108.94
2017-06-13,2017-06-13,109.85
2017-06-14,2017-06-14,109.39
2017-06-15,2017-06-15,110.26
2017-06-16,2017-06-16,110.59
2017-06-19,2017-06-19,110.87
2017-06-20,2017-06-20,109.61
2017-06-21,2017-06-21,109.19
2017-06-22,2017-06-22,109.07
2017-06-23,2017-06-23,110.27
2017-06-26,2017-06-26,111.01
2017-06-27,2017-06-27,109.67
2017-06-28,2017-06-28,110.08
2017-06-29,2017-06-29,109.78
2017-06-30,2017-06-30,110.59
2017-07-03,2017-07-03,110.61
2017-07-05,2017-07-05,110.52
2017-07-06,2017-07-06,109.24
2017-07-07,2017-07-07,110.36
2017-07-10,2017-07-10,110.21
2017-07-11,2017-07-11,110.07
2017-07-12,2017-07-12,110.57
2017-07-13,2017-07-13,111.16
2017-07-14,2017-07-14,112.41
2017-07-17,2017-07-17,112.03
2017-07-18,2017-07-18,111.83
2017-07-19,2017-07-19,112.99
2017-07-20,2017-07-20,112.58
2017-07-21,2017-07-21,112.68
2017-07-24,2017-07-24,112.15
2017-07-25,2017-07-25,113.22
2017-07-26,2017-07-26,112.29
2017-07-27,2017-07-27,107.79
2017-07-28,2017-07-28,109.66
2017-07-31,2017-07-31,110.29
2017-08-01,2017-08-01,110.17
2017-08-02,2017-08-02,111.26
2017-08-03,2017-08-03,111.52
2017-08-04,2017-08-04,112.05
2017-08-07,2017-08-07,111.86
2017-08-08,2017-08-08,111.89
2017-08-09,2017-08-09,112.41
2017-08-10,2017-08-10,110.92
2017-08-11,2017-08-11,111.44
2017-08-14,2017-08-14,113.69
2017-08-15,2017-08-15,114.18
2017-08-16,2017-08-16,114.76
2017-08-17,2017-08-17,112.92
2017-08-18,2017-08-18,113.34
2017-08-21,2017-08-21,113.83
2017-08-22,2017-08-22,114.6
2017-08-23,2017-08-23,113.55
2017-08-24,2017-08-24,113.35
2017-08-25,2017-08-25,113.4
2017-08-28,2017-08-28,113.79
2017-08-29,2017-08-29,114.89
