DATE,DATE,CLOSE
2016-11-01,2016-11-01,102.01
2016-11-02,2016-11-02,101.54
2016-11-03,2016-11-03,101.05
2016-11-04,2016-11-04,101.33
2016-11-07,2016-11-07,103.05
2016-11-08,2016-11-08,103.37
2016-11-09,2016-11-09,104.81
2016-11-10,2016-11-10,108.41
2016-11-11,2016-11-11,108.86
2016-11-14,2016-11-14,107.86
2016-11-15,2016-11-15,107.68
2016-11-16,2016-11-16,106.96
2016-11-17,2016-11-17,106.7
2016-11-18,2016-11-18,106.5
2016-11-21,2016-11-21,106.85
2016-11-22,2016-11-22,106.94
2016-11-23,2016-11-23,108.11
2016-11-25,2016-11-25,108.78
2016-11-28,2016-11-28,108.45
2016-11-29,2016-11-29,108.84
2016-11-30,2016-11-30,107.72
2016-12-01,2016-12-01,107.48
2016-12-02,2016-12-02,108.22
2016-12-05,2016-12-05,107.42
2016-12-06,2016-12-06,107.43
2016-12-07,2016-12-07,109.68
2016-12-08,2016-12-08,108.43
2016-12-09,2016-12-09,109.79
2016-12-12,2016-12-12,110.39
2016-12-13,2016-12-13,110.31
2016-12-14,2016-12-14,109.27
2016-12-15,2016-12-15,108.13
2016-12-16,2016-12-16,108.52
2016-12-19,2016-12-19,110.82
2016-12-20,2016-12-20,110.65
2016-12-21,2016-12-21,110.49
2016-12-22,2016-12-22,110.46
2016-12-23,2016-12-23,110.65
2016-12-27,2016-12-27,110.98
2016-12-28,2016-12-28,110.19
2016-12-29,2016-12-29,110.55
2016-12-30,2016-12-30,109.62
2017-01-03,2017-01-03,110.83
2017-01-04,2017-01-04,110.9
2017-01-05,2017-01-05,111.35
2017-01-06,2017-01-06,112.55
2017-01-09,2017-01-09,111.5
2017-01-10,2017-01-10,111.26
2017-01-11,2017-01-11,111.0
2017-01-12,2017-01-12,110.82
2017-01-13,2017-01-13,110.22
2017-01-17,2017-01-17,109.97
2017-01-18,2017-01-18,110.42
2017-01-19,2017-01-19,110.73
2017-01-20,2017-01-20,110.79
2017-01-23,2017-01-23,110.34
2017-01-24,2017-01-24,111.61
2017-01-25,2017-01-25,110.96
2017-01-26,2017-01-26,110.36
2017-01-27,2017-01-27,109.7
2017-01-30,2017-01-30,109.17
2017-01-31,2017-01-31,109.67
2017-02-01,2017-02-01,108.18
2017-02-02,2017-02-02,108.36
2017-02-03,2017-02-03,109.65
2017-02-06,2017-02-06,110.68
2017-02-07,2017-02-07,111.25
2017-02-08,2017-02-08,110.4
2017-02-09,2017-02-09,110.09
2017-02-10,2017-02-10,111.05
2017-02-13,2017-02-13,112.02
2017-02-14,2017-02-14,111.57
2017-02-15,2017-02-15,111.91
2017-02-16,2017-02-16,112.07
2017-02-17,2017-02-17,112.15
2017-02-21,2017-02-21,112.5
2017-02-22,2017-02-22,112.66
2017-02-23,2017-02-23,112.09
2017-02-24,2017-02-24,112.46
2017-02-27,2017-02-27,112.81
2017-02-28,2017-02-28,112.55
2017-03-01,2017-03-01,113.68
2017-03-02,2017-03-02,112.69
2017-03-03,2017-03-03,112.34
2017-03-06,2017-03-06,111.66
2017-03-07,2017-03-07,112.28
2017-03-08,2017-03-08,111.75
2017-03-09,2017-03-09,111.93
2017-03-10,2017-03-10,112.14
2017-03-13,2017-03-13,112.31
2017-03-14,2017-03-14,111.83
2017-03-15,2017-03-15,113.08
2017-03-16,2017-03-16,112.34
2017-03-17,2017-03-17,113.45
2017-03-20,2017-03-20,113.51
2017-03-21,2017-03-21,112.16
2017-03-22,2017-03-22,111.93
2017-03-23,2017-03-23,111.84
2017-03-24,2017-03-24,111.8
2017-03-27,2017-03-27,111.83
2017-03-28,2017-03-28,112.74
2017-03-29,2017-03-29,112.06
2017-03-30,2017-03-30,112.45
2017-03-31,2017-03-31,112.21
2017-04-03,2017-04-03,111.93
2017-04-04,2017-04-04,112.99
2017-04-05,2017-04-05,112.5
2017-04-06,2017-04-06,112.41
2017-04-07,2017-04-07,112.99
2017-04-10,2017-04-10,112.88
2017-04-11,2017-04-11,113.14
2017-04-12,2017-04-12,112.24
2017-04-13,2017-04-13,112.09
2017-04-17,2017-04-17,113.27
2017-04-18,2017-04-18,113.56
2017-04-19,2017-04-19,112.92
2017-04-20,2017-04-20,113.94
2017-04-21,2017-04-21,114.99
2017-04-24,2017-04-24,116.32
2017-04-25,2017-04-25,116.87
2017-04-26,2017-04-26,118.2
2017-04-27,2017-04-27,118.78
