DATE,DATE,CLOSE
2016-11-01,2016-11-01,79.433028
2016-11-02,2016-11-02,79.15851
2016-11-03,2016-11-03,79.220498
2016-11-04,2016-11-04,78.937125
2016-11-07,2016-11-07,80.646219
2016-11-08,2016-11-08,81.195254
2016-11-09,2016-11-09,78.379234
2016-11-10,2016-11-10,78.680318
2016-11-11,2016-11-11,77.918753
2016-11-14,2016-11-14,77.785921
2016-11-15,2016-11-15,79.131944
2016-11-16,2016-11-16,78.476643
2016-11-17,2016-11-17,79.27363
2016-11-18,2016-11-18,78.148993
2016-11-21,2016-11-21,79.397606
2016-11-22,2016-11-22,79.689835
2016-11-23,2016-11-23,81.133266
2016-11-25,2016-11-25,81.593748
2016-11-28,2016-11-28,80.655074
2016-11-29,2016-11-29,80.903026
2016-11-30,2016-11-30,79.548148
2016-12-01,2016-12-01,78.52092
2016-12-02,2016-12-02,79.503871
2016-12-05,2016-12-05,79.787244
2016-12-06,2016-12-06,79.503871
2016-12-07,2016-12-07,79.893509
2016-12-08,2016-12-08,80.176882
2016-12-09,2016-12-09,80.796761
2016-12-12,2016-12-12,81.009291
2016-12-13,2016-12-13,81.638025
2016-12-14,2016-12-14,80.415978
2016-12-15,2016-12-15,80.814472
2016-12-16,2016-12-16,80.637363
2016-12-19,2016-12-19,80.681641
2016-12-20,2016-12-20,80.132605
2016-12-21,2016-12-21,80.106039
2016-12-22,2016-12-22,79.937786
2016-12-23,2016-12-23,80.593086
2016-12-27,2016-12-27,81.097845
2016-12-28,2016-12-28,80.274292
2016-12-29,2016-12-29,79.91122
2016-12-30,2016-12-30,79.503871
2017-01-03,2017-01-03,80.300858
2017-01-04,2017-01-04,78.937125
2017-01-05,2017-01-05,78.653752
2017-01-06,2017-01-06,78.999113
2017-01-09,2017-01-09,79.317907
2017-01-10,2017-01-10,79.689835
2017-01-11,2017-01-11,79.7961
2017-01-12,2017-01-12,79.831521
2017-01-13,2017-01-13,80.300858
2017-01-17,2017-01-17,79.751822
2017-01-18,2017-01-18,79.503871
2017-01-19,2017-01-19,79.238209
2017-01-20,2017-01-20,79.627847
2017-01-23,2017-01-23,79.69869
2017-01-24,2017-01-24,79.964352
2017-01-25,2017-01-25,81.841699
2017-01-26,2017-01-26,76.57273
2017-01-27,2017-01-27,78.636041
2017-01-30,2017-01-30,77.68
2017-01-31,2017-01-31,77.65
2017-02-01,2017-02-01,79.11
2017-02-02,2017-02-02,78.6
2017-02-03,2017-02-03,79.78
2017-02-06,2017-02-06,78.26
2017-02-07,2017-02-07,78.43
2017-02-08,2017-02-08,79.21
2017-02-09,2017-02-09,80.08
2017-02-10,2017-02-10,80.4
2017-02-13,2017-02-13,80.17
2017-02-14,2017-02-14,80.6
2017-02-15,2017-02-15,81.12
2017-02-16,2017-02-16,81.93
2017-02-17,2017-02-17,83.61
2017-02-21,2017-02-21,83.54
2017-02-22,2017-02-22,83.54
2017-02-23,2017-02-23,84.03
2017-02-24,2017-02-24,84.72
2017-02-27,2017-02-27,84.26
2017-02-28,2017-02-28,83.89
2017-03-01,2017-03-01,85.53
2017-03-02,2017-03-02,86.03
2017-03-03,2017-03-03,86.92
2017-03-06,2017-03-06,86.18
2017-03-07,2017-03-07,86.06
2017-03-08,2017-03-08,86.66
2017-03-09,2017-03-09,87.36
2017-03-10,2017-03-10,87.84
2017-03-13,2017-03-13,88.19
2017-03-14,2017-03-14,88.23
2017-03-15,2017-03-15,90.22
2017-03-16,2017-03-16,89.89
2017-03-17,2017-03-17,91.52
2017-03-20,2017-03-20,91.51
2017-03-21,2017-03-21,90.74
2017-03-22,2017-03-22,91.36
2017-03-23,2017-03-23,91.34
2017-03-24,2017-03-24,91.18
2017-03-27,2017-03-27,91.65
2017-03-28,2017-03-28,91.35
2017-03-29,2017-03-29,91.14
2017-03-30,2017-03-30,91.17
2017-03-31,2017-03-31,91.13
2017-04-03,2017-04-03,91.49
2017-04-04,2017-04-04,91.24
2017-04-05,2017-04-05,91.03
2017-04-06,2017-04-06,91.35
2017-04-07,2017-04-07,90.78
2017-04-10,2017-04-10,90.43
2017-04-11,2017-04-11,90.04
2017-04-12,2017-04-12,89.44
2017-04-13,2017-04-13,88.86
2017-04-17,2017-04-17,89.26
2017-04-18,2017-04-18,88.41
2017-04-19,2017-04-19,88.65
2017-04-20,2017-04-20,89.32
2017-04-21,2017-04-21,89.0
2017-04-24,2017-04-24,88.4
2017-04-25,2017-04-25,88.37
2017-04-26,2017-04-26,90.06
2017-04-27,2017-04-27,89.02
2017-04-28,2017-04-28,90.74
2017-05-01,2017-05-01,90.83
