DATE,DATE,CLOSE
2016-11-01,2016-11-01,36.68
2016-11-02,2016-11-02,35.87
2016-11-03,2016-11-03,36.68
2016-11-04,2016-11-04,36.56
2016-11-07,2016-11-07,37.56
2016-11-08,2016-11-08,37.35
2016-11-09,2016-11-09,37.98
2016-11-10,2016-11-10,38.01
2016-11-11,2016-11-11,38.42
2016-11-14,2016-11-14,38.86
2016-11-15,2016-11-15,38.61
2016-11-16,2016-11-16,38.58
2016-11-17,2016-11-17,38.61
2016-11-18,2016-11-18,37.77
2016-11-21,2016-11-21,37.21
2016-11-22,2016-11-22,37.23
2016-11-23,2016-11-23,37.25
2016-11-25,2016-11-25,37.64
2016-11-28,2016-11-28,36.79
2016-11-29,2016-11-29,36.95
2016-11-30,2016-11-30,37.48
2016-12-01,2016-12-01,37.26
2016-12-02,2016-12-02,36.52
2016-12-05,2016-12-05,36.63
2016-12-06,2016-12-06,36.54
2016-12-07,2016-12-07,38.01
2016-12-08,2016-12-08,38.8
2016-12-09,2016-12-09,38.62
2016-12-12,2016-12-12,34.99
2016-12-13,2016-12-13,34.96
2016-12-14,2016-12-14,34.6
2016-12-15,2016-12-15,34.91
2016-12-16,2016-12-16,35.22
2016-12-19,2016-12-19,34.49
2016-12-20,2016-12-20,34.63
2016-12-21,2016-12-21,35.25
2016-12-22,2016-12-22,35.15
2016-12-23,2016-12-23,35.15
2016-12-27,2016-12-27,35.79
2016-12-28,2016-12-28,35.52
2016-12-29,2016-12-29,35.28
2016-12-30,2016-12-30,35.1
2017-01-03,2017-01-03,35.9
2017-01-04,2017-01-04,36.6
2017-01-05,2017-01-05,37.48
2017-01-06,2017-01-06,37.79
2017-01-09,2017-01-09,38.34
2017-01-10,2017-01-10,38.4
2017-01-11,2017-01-11,38.9
2017-01-12,2017-01-12,38.53
2017-01-13,2017-01-13,38.7
2017-01-17,2017-01-17,38.69
2017-01-18,2017-01-18,39.76
2017-01-19,2017-01-19,39.8
2017-01-20,2017-01-20,40.23
2017-01-23,2017-01-23,40.32
2017-01-24,2017-01-24,41.11
2017-01-25,2017-01-25,40.99
2017-01-26,2017-01-26,41.85
2017-01-27,2017-01-27,41.97
2017-01-30,2017-01-30,42.46
2017-01-31,2017-01-31,42.14
2017-02-01,2017-02-01,41.65
2017-02-02,2017-02-02,41.58
2017-02-03,2017-02-03,41.9
2017-02-06,2017-02-06,41.82
2017-02-07,2017-02-07,41.67
2017-02-08,2017-02-08,42.07
2017-02-09,2017-02-09,43.89
2017-02-10,2017-02-10,43.65
2017-02-13,2017-02-13,43.45
2017-02-14,2017-02-14,44.25
2017-02-15,2017-02-15,44.66
2017-02-16,2017-02-16,44.16
2017-02-17,2017-02-17,43.99
2017-02-21,2017-02-21,44.7
2017-02-22,2017-02-22,44.51
2017-02-23,2017-02-23,43.86
2017-02-24,2017-02-24,43.89
2017-02-27,2017-02-27,43.5
2017-02-28,2017-02-28,43.45
2017-03-01,2017-03-01,43.76
2017-03-02,2017-03-02,42.12
2017-03-03,2017-03-03,42.31
2017-03-06,2017-03-06,42.19
2017-03-07,2017-03-07,42.93
2017-03-08,2017-03-08,44.0
2017-03-09,2017-03-09,44.44
2017-03-10,2017-03-10,43.73
2017-03-13,2017-03-13,43.15
2017-03-14,2017-03-14,43.36
2017-03-15,2017-03-15,43.96
2017-03-16,2017-03-16,44.04
2017-03-17,2017-03-17,43.4
2017-03-20,2017-03-20,42.87
2017-03-21,2017-03-21,42.1
2017-03-22,2017-03-22,42.57
2017-03-23,2017-03-23,42.96
2017-03-24,2017-03-24,43.06
2017-03-27,2017-03-27,44.31
2017-03-28,2017-03-28,44.91
2017-03-29,2017-03-29,45.3
2017-03-30,2017-03-30,46.36
2017-03-31,2017-03-31,46.62
2017-04-03,2017-04-03,45.71
2017-04-04,2017-04-04,45.55
2017-04-05,2017-04-05,45.32
2017-04-06,2017-04-06,45.58
2017-04-07,2017-04-07,45.27
2017-04-10,2017-04-10,44.83
2017-04-11,2017-04-11,44.79
2017-04-12,2017-04-12,44.34
2017-04-13,2017-04-13,43.77
2017-04-17,2017-04-17,43.96
2017-04-18,2017-04-18,44.09
2017-04-19,2017-04-19,44.31
2017-04-20,2017-04-20,44.33
2017-04-21,2017-04-21,43.1
2017-04-24,2017-04-24,42.75
2017-04-25,2017-04-25,42.95
2017-04-26,2017-04-26,43.38
2017-04-27,2017-04-27,43.31
2017-04-28,2017-04-28,42.56
2017-05-01,2017-05-01,42.6
2017-05-02,2017-05-02,42.46
2017-05-03,2017-05-03,39.26
2017-05-04,2017-05-04,36.46
2017-05-05,2017-05-05,36.82
2017-05-08,2017-05-08,36.41
2017-05-09,2017-05-09,36.23
2017-05-10,2017-05-10,34.95
2017-05-11,2017-05-11,34.52
2017-05-12,2017-05-12,34.61
2017-05-15,2017-05-15,33.76
2017-05-16,2017-05-16,33.87
2017-05-17,2017-05-17,33.65
2017-05-18,2017-05-18,33.99
2017-05-19,2017-05-19,35.2
2017-05-22,2017-05-22,35.24
2017-05-23,2017-05-23,34.32
2017-05-24,2017-05-24,34.74
2017-05-25,2017-05-25,34.92
2017-05-26,2017-05-26,35.13
2017-05-30,2017-05-30,35.05
2017-05-31,2017-05-31,34.79
2017-06-01,2017-06-01,35.31
2017-06-02,2017-06-02,35.25
2017-06-05,2017-06-05,35.21
2017-06-06,2017-06-06,35.07
2017-06-07,2017-06-07,34.85
2017-06-08,2017-06-08,35.26
2017-06-09,2017-06-09,35.4
2017-06-12,2017-06-12,36.09
2017-06-13,2017-06-13,35.59
2017-06-14,2017-06-14,34.9
2017-06-15,2017-06-15,34.96
2017-06-16,2017-06-16,35.07
2017-06-19,2017-06-19,35.43
