DATE,DATE,CLOSE
2016-11-01,2016-11-01,73.226653
2016-11-02,2016-11-02,70.963827
2016-11-03,2016-11-03,70.091023
2016-11-04,2016-11-04,71.295169
2016-11-07,2016-11-07,72.192218
2016-11-08,2016-11-08,72.192218
2016-11-09,2016-11-09,73.048859
2016-11-10,2016-11-10,74.713652
2016-11-11,2016-11-11,76.871418
2016-11-14,2016-11-14,79.43326
2016-11-15,2016-11-15,77.873527
2016-11-16,2016-11-16,76.944152
2016-11-17,2016-11-17,77.154271
2016-11-18,2016-11-18,77.227005
2016-11-21,2016-11-21,76.451179
2016-11-22,2016-11-22,77.873527
2016-11-23,2016-11-23,77.978586
2016-11-25,2016-11-25,78.31801
2016-11-28,2016-11-28,79.142325
2016-11-29,2016-11-29,80.087863
2016-11-30,2016-11-30,78.996858
2016-12-01,2016-12-01,78.819065
2016-12-02,2016-12-02,80.217168
2016-12-05,2016-12-05,81.098053
2016-12-06,2016-12-06,82.245629
2016-12-07,2016-12-07,83.74071
2016-12-08,2016-12-08,83.756873
2016-12-09,2016-12-09,83.417449
2016-12-12,2016-12-12,84.799389
2016-12-13,2016-12-13,84.209438
2016-12-14,2016-12-14,82.641624
2016-12-15,2016-12-15,81.995102
2016-12-16,2016-12-16,83.522509
2016-12-19,2016-12-19,83.975074
2016-12-20,2016-12-20,84.605433
2016-12-21,2016-12-21,83.280064
2016-12-22,2016-12-22,83.280064
2016-12-23,2016-12-23,83.134596
2016-12-27,2016-12-27,83.239656
2016-12-28,2016-12-28,82.690113
2016-12-29,2016-12-29,83.118433
2016-12-30,2016-12-30,84.346824
2017-01-03,2017-01-03,84.629677
2017-01-04,2017-01-04,86.973318
2017-01-05,2017-01-05,86.87634
2017-01-06,2017-01-06,86.722791
2017-01-09,2017-01-09,85.712601
2017-01-10,2017-01-10,84.85596
2017-01-11,2017-01-11,84.088216
2017-01-12,2017-01-12,84.508455
2017-01-13,2017-01-13,84.282172
2017-01-17,2017-01-17,85.187302
2017-01-18,2017-01-18,85.825742
2017-01-19,2017-01-19,85.025672
2017-01-20,2017-01-20,85.4944
2017-01-23,2017-01-23,86.633894
2017-01-24,2017-01-24,87.029889
2017-01-25,2017-01-25,87.013726
2017-01-26,2017-01-26,86.71471
2017-01-27,2017-01-27,86.375286
2017-01-30,2017-01-30,86.367204
2017-01-31,2017-01-31,85.914639
2017-02-01,2017-02-01,83.966993
2017-02-02,2017-02-02,84.387232
2017-02-03,2017-02-03,84.734737
2017-02-06,2017-02-06,84.500373
