DATE,DATE,CLOSE
2016-11-01,2016-11-01,83.09
2016-11-02,2016-11-02,80.83
2016-11-03,2016-11-03,80.39
2016-11-04,2016-11-04,79.77
2016-11-07,2016-11-07,81.88
2016-11-08,2016-11-08,81.48
2016-11-09,2016-11-09,82.05
2016-11-10,2016-11-10,81.05
2016-11-11,2016-11-11,81.36
2016-11-14,2016-11-14,78.81
2016-11-15,2016-11-15,78.75
2016-11-16,2016-11-16,79.69
2016-11-17,2016-11-17,80.97
2016-11-18,2016-11-18,80.04
2016-11-21,2016-11-21,80.67
2016-11-22,2016-11-22,79.9
2016-11-23,2016-11-23,79.79
2016-11-25,2016-11-25,81.22
2016-11-28,2016-11-28,80.13
2016-11-29,2016-11-29,79.12
2016-11-30,2016-11-30,78.85
2016-12-01,2016-12-01,77.57
2016-12-02,2016-12-02,78.35
2016-12-05,2016-12-05,79.46
2016-12-06,2016-12-06,79.81
2016-12-07,2016-12-07,80.16
2016-12-08,2016-12-08,81.61
2016-12-09,2016-12-09,82.13
2016-12-12,2016-12-12,79.53
2016-12-13,2016-12-13,79.92
2016-12-14,2016-12-14,79.12
2016-12-15,2016-12-15,78.96
2016-12-16,2016-12-16,77.9
2016-12-19,2016-12-19,78.09
2016-12-20,2016-12-20,79.36
2016-12-21,2016-12-21,77.9
2016-12-22,2016-12-22,76.56
2016-12-23,2016-12-23,76.47
2016-12-27,2016-12-27,76.75
2016-12-28,2016-12-28,76.99
2016-12-29,2016-12-29,75.98
2016-12-30,2016-12-30,76.07
2017-01-03,2017-01-03,77.31
2017-01-04,2017-01-04,78.96
2017-01-05,2017-01-05,79.8
2017-01-06,2017-01-06,80.85
2017-01-09,2017-01-09,81.82
2017-01-10,2017-01-10,79.25
2017-01-11,2017-01-11,80.9
2017-01-12,2017-01-12,81.0
2017-01-13,2017-01-13,80.8
2017-01-17,2017-01-17,80.31
2017-01-18,2017-01-18,80.62
2017-01-19,2017-01-19,80.38
2017-01-20,2017-01-20,80.42
2017-01-23,2017-01-23,80.18
2017-01-24,2017-01-24,80.55
2017-01-25,2017-01-25,81.31
2017-01-26,2017-01-26,81.55
2017-01-27,2017-01-27,81.22
2017-01-30,2017-01-30,80.84
2017-01-31,2017-01-31,80.21
2017-02-01,2017-02-01,80.23
2017-02-02,2017-02-02,81.7
2017-02-03,2017-02-03,82.11
2017-02-06,2017-02-06,82.18
2017-02-07,2017-02-07,82.26
2017-02-08,2017-02-08,82.57
2017-02-09,2017-02-09,82.52
2017-02-10,2017-02-10,83.14
2017-02-13,2017-02-13,82.9
2017-02-14,2017-02-14,82.68
2017-02-15,2017-02-15,82.85
2017-02-16,2017-02-16,81.92
2017-02-17,2017-02-17,82.3
2017-02-21,2017-02-21,82.98
2017-02-22,2017-02-22,82.19
2017-02-23,2017-02-23,82.4
2017-02-24,2017-02-24,83.31
2017-02-27,2017-02-27,82.54
2017-02-28,2017-02-28,82.47
2017-03-01,2017-03-01,84.12
2017-03-02,2017-03-02,83.62
2017-03-03,2017-03-03,84.04
2017-03-06,2017-03-06,84.15
2017-03-07,2017-03-07,83.66
2017-03-08,2017-03-08,84.89
2017-03-09,2017-03-09,84.85
2017-03-10,2017-03-10,85.48
2017-03-13,2017-03-13,86.34
2017-03-14,2017-03-14,86.13
2017-03-15,2017-03-15,86.95
2017-03-16,2017-03-16,87.44
2017-03-17,2017-03-17,86.25
2017-03-20,2017-03-20,86.57
2017-03-21,2017-03-21,86.44
2017-03-22,2017-03-22,86.94
2017-03-23,2017-03-23,87.39
2017-03-24,2017-03-24,87.19
2017-03-27,2017-03-27,86.97
2017-03-28,2017-03-28,86.87
2017-03-29,2017-03-29,87.18
2017-03-30,2017-03-30,87.19
2017-03-31,2017-03-31,87.11
2017-04-03,2017-04-03,87.63
2017-04-04,2017-04-04,87.3
2017-04-05,2017-04-05,87.67
2017-04-06,2017-04-06,87.26
2017-04-07,2017-04-07,87.26
2017-04-10,2017-04-10,87.11
2017-04-11,2017-04-11,87.91
2017-04-12,2017-04-12,87.94
2017-04-13,2017-04-13,87.68
2017-04-17,2017-04-17,88.84
2017-04-18,2017-04-18,88.42
2017-04-19,2017-04-19,88.82
2017-04-20,2017-04-20,88.71
2017-04-21,2017-04-21,88.45
2017-04-24,2017-04-24,88.5
2017-04-25,2017-04-25,89.28
2017-04-26,2017-04-26,88.84
