DATE,DATE,CLOSE
2016-11-01,2016-11-01,77.88
2016-11-02,2016-11-02,78.0
2016-11-03,2016-11-03,77.69
2016-11-04,2016-11-04,78.96
2016-11-07,2016-11-07,83.22
2016-11-08,2016-11-08,82.99
2016-11-09,2016-11-09,92.88
2016-11-10,2016-11-10,95.36
2016-11-11,2016-11-11,92.0
2016-11-14,2016-11-14,94.42
2016-11-15,2016-11-15,93.06
2016-11-16,2016-11-16,90.47
2016-11-17,2016-11-17,91.2
2016-11-18,2016-11-18,89.44
2016-11-21,2016-11-21,89.05
2016-11-22,2016-11-22,86.2
2016-11-23,2016-11-23,87.34
2016-11-25,2016-11-25,87.77
2016-11-28,2016-11-28,86.9
2016-11-29,2016-11-29,85.65
2016-11-30,2016-11-30,81.61
2016-12-01,2016-12-01,77.82
2016-12-02,2016-12-02,75.5
2016-12-05,2016-12-05,75.55
2016-12-06,2016-12-06,78.12
2016-12-07,2016-12-07,75.32
2016-12-08,2016-12-08,77.22
2016-12-09,2016-12-09,76.67
2016-12-12,2016-12-12,76.08
2016-12-13,2016-12-13,76.6
2016-12-14,2016-12-14,78.33
2016-12-15,2016-12-15,77.05
2016-12-16,2016-12-16,76.8
2016-12-19,2016-12-19,76.3
2016-12-20,2016-12-20,76.44
2016-12-21,2016-12-21,72.6
2016-12-22,2016-12-22,72.02
2016-12-23,2016-12-23,74.31
2016-12-27,2016-12-27,75.19
2016-12-28,2016-12-28,74.59
2016-12-29,2016-12-29,74.44
2016-12-30,2016-12-30,73.67
2017-01-03,2017-01-03,74.89
2017-01-04,2017-01-04,77.05
2017-01-05,2017-01-05,79.06
2017-01-06,2017-01-06,79.39
2017-01-09,2017-01-09,82.86
2017-01-10,2017-01-10,82.93
2017-01-11,2017-01-11,81.93
2017-01-12,2017-01-12,82.39
2017-01-13,2017-01-13,83.17
2017-01-17,2017-01-17,81.55
2017-01-18,2017-01-18,82.52
2017-01-19,2017-01-19,80.91
2017-01-20,2017-01-20,81.37
2017-01-23,2017-01-23,81.4
2017-01-24,2017-01-24,82.24
2017-01-25,2017-01-25,85.19
2017-01-26,2017-01-26,85.33
2017-01-27,2017-01-27,87.37
2017-01-30,2017-01-30,84.38
2017-01-31,2017-01-31,85.87
2017-02-01,2017-02-01,86.24
2017-02-02,2017-02-02,86.72
2017-02-03,2017-02-03,86.73
2017-02-06,2017-02-06,87.42
2017-02-07,2017-02-07,86.84
2017-02-08,2017-02-08,87.72
2017-02-09,2017-02-09,89.27
2017-02-10,2017-02-10,88.15
2017-02-13,2017-02-13,87.72
