DATE,DATE,CLOSE
2016-11-01,2016-11-01,65.14
2016-11-02,2016-11-02,63.24
2016-11-03,2016-11-03,61.84
2016-11-04,2016-11-04,63.42
2016-11-07,2016-11-07,64.33
2016-11-08,2016-11-08,63.09
2016-11-09,2016-11-09,60.52
2016-11-10,2016-11-10,57.86
2016-11-11,2016-11-11,58.75
2016-11-14,2016-11-14,61.03
2016-11-15,2016-11-15,60.79
2016-11-16,2016-11-16,60.58
2016-11-17,2016-11-17,59.57
2016-11-18,2016-11-18,59.9
2016-11-21,2016-11-21,59.34
2016-11-22,2016-11-22,60.56
2016-11-23,2016-11-23,59.95
2016-11-25,2016-11-25,60.24
2016-11-28,2016-11-28,60.4
2016-11-29,2016-11-29,61.07
2016-11-30,2016-11-30,60.42
2016-12-01,2016-12-01,58.38
2016-12-02,2016-12-02,59.36
2016-12-05,2016-12-05,59.71
2016-12-06,2016-12-06,60.01
2016-12-07,2016-12-07,62.2
2016-12-08,2016-12-08,62.61
2016-12-09,2016-12-09,62.46
2016-12-12,2016-12-12,63.08
2016-12-13,2016-12-13,63.22
2016-12-14,2016-12-14,61.19
2016-12-15,2016-12-15,60.21
2016-12-16,2016-12-16,61.13
2016-12-19,2016-12-19,61.79
2016-12-20,2016-12-20,61.93
2016-12-21,2016-12-21,61.15
2016-12-22,2016-12-22,61.17
2016-12-23,2016-12-23,60.86
2016-12-27,2016-12-27,61.53
2016-12-28,2016-12-28,61.16
2016-12-29,2016-12-29,61.73
2016-12-30,2016-12-30,62.52
2017-01-03,2017-01-03,62.13
2017-01-04,2017-01-04,62.61
2017-01-05,2017-01-05,63.17
2017-01-06,2017-01-06,63.05
2017-01-09,2017-01-09,63.45
2017-01-10,2017-01-10,61.16
2017-01-11,2017-01-11,61.42
2017-01-12,2017-01-12,61.48
2017-01-13,2017-01-13,61.6
2017-01-17,2017-01-17,62.03
2017-01-18,2017-01-18,62.22
2017-01-19,2017-01-19,61.3
2017-01-20,2017-01-20,61.9
2017-01-23,2017-01-23,61.93
2017-01-24,2017-01-24,61.99
2017-01-25,2017-01-25,61.27
2017-01-26,2017-01-26,60.97
2017-01-27,2017-01-27,61.08
2017-01-30,2017-01-30,61.43
2017-01-31,2017-01-31,61.67
2017-02-01,2017-02-01,60.64
2017-02-02,2017-02-02,61.72
2017-02-03,2017-02-03,61.65
2017-02-06,2017-02-06,61.99
2017-02-07,2017-02-07,61.81
2017-02-08,2017-02-08,62.25
2017-02-09,2017-02-09,61.8
2017-02-10,2017-02-10,61.77
2017-02-13,2017-02-13,62.8
2017-02-14,2017-02-14,61.64
2017-02-15,2017-02-15,61.68
2017-02-16,2017-02-16,62.57
2017-02-17,2017-02-17,62.16
2017-02-21,2017-02-21,62.8
2017-02-22,2017-02-22,62.72
2017-02-23,2017-02-23,63.5
2017-02-24,2017-02-24,64.98
2017-02-27,2017-02-27,65.41
2017-02-28,2017-02-28,65.05
2017-03-01,2017-03-01,64.21
2017-03-02,2017-03-02,64.9
2017-03-03,2017-03-03,63.66
2017-03-06,2017-03-06,62.71
2017-03-07,2017-03-07,62.67
2017-03-08,2017-03-08,61.11
2017-03-09,2017-03-09,60.07
2017-03-10,2017-03-10,60.5
2017-03-13,2017-03-13,59.73
2017-03-14,2017-03-14,59.36
2017-03-15,2017-03-15,60.2
2017-03-16,2017-03-16,60.46
2017-03-17,2017-03-17,60.51
2017-03-20,2017-03-20,60.53
2017-03-21,2017-03-21,60.77
2017-03-22,2017-03-22,62.45
2017-03-23,2017-03-23,63.21
2017-03-24,2017-03-24,63.83
2017-03-27,2017-03-27,64.08
2017-03-28,2017-03-28,64.69
2017-03-29,2017-03-29,64.66
2017-03-30,2017-03-30,64.5
2017-03-31,2017-03-31,65.04
2017-04-03,2017-04-03,65.1
2017-04-04,2017-04-04,64.19
2017-04-05,2017-04-05,64.58
2017-04-06,2017-04-06,64.71
2017-04-07,2017-04-07,64.87
2017-04-10,2017-04-10,65.16
2017-04-11,2017-04-11,65.47
2017-04-12,2017-04-12,65.64
2017-04-13,2017-04-13,65.06
2017-04-17,2017-04-17,65.84
2017-04-18,2017-04-18,66.79
2017-04-19,2017-04-19,66.41
2017-04-20,2017-04-20,65.95
2017-04-21,2017-04-21,65.78
2017-04-24,2017-04-24,64.63
2017-04-25,2017-04-25,64.68
2017-04-26,2017-04-26,64.01
2017-04-27,2017-04-27,64.12
2017-04-28,2017-04-28,64.01
2017-05-01,2017-05-01,63.97
2017-05-02,2017-05-02,63.67
2017-05-03,2017-05-03,62.79
2017-05-04,2017-05-04,62.65
2017-05-05,2017-05-05,63.75
2017-05-08,2017-05-08,63.53
2017-05-09,2017-05-09,62.63
2017-05-10,2017-05-10,64.02
2017-05-11,2017-05-11,64.97
2017-05-12,2017-05-12,65.67
2017-05-15,2017-05-15,65.23
2017-05-16,2017-05-16,65.02
2017-05-17,2017-05-17,66.32
2017-05-18,2017-05-18,67.43
2017-05-19,2017-05-19,67.14
2017-05-22,2017-05-22,67.25
2017-05-23,2017-05-23,67.5
2017-05-24,2017-05-24,67.78
2017-05-25,2017-05-25,67.24
2017-05-26,2017-05-26,66.58
2017-05-30,2017-05-30,66.54
2017-05-31,2017-05-31,66.49
2017-06-01,2017-06-01,66.87
2017-06-02,2017-06-02,67.1
2017-06-05,2017-06-05,66.95
2017-06-06,2017-06-06,66.57
2017-06-07,2017-06-07,66.74
2017-06-08,2017-06-08,66.58
2017-06-09,2017-06-09,66.87
2017-06-12,2017-06-12,68.17
2017-06-13,2017-06-13,68.26
2017-06-14,2017-06-14,68.7
2017-06-15,2017-06-15,69.04
2017-06-16,2017-06-16,69.52
2017-06-19,2017-06-19,69.75
2017-06-20,2017-06-20,70.34
2017-06-21,2017-06-21,70.74
2017-06-22,2017-06-22,71.18
2017-06-23,2017-06-23,71.72
2017-06-26,2017-06-26,71.93
2017-06-27,2017-06-27,71.17
2017-06-28,2017-06-28,71.1
2017-06-29,2017-06-29,69.21
2017-06-30,2017-06-30,69.48
2017-07-03,2017-07-03,69.98
2017-07-05,2017-07-05,69.18
2017-07-06,2017-07-06,67.61
2017-07-07,2017-07-07,67.47
2017-07-10,2017-07-10,66.94
2017-07-11,2017-07-11,66.92
2017-07-12,2017-07-12,67.8
2017-07-13,2017-07-13,67.52
2017-07-14,2017-07-14,68.05
2017-07-17,2017-07-17,68.8
2017-07-18,2017-07-18,68.66
2017-07-19,2017-07-19,68.53
2017-07-20,2017-07-20,68.4
2017-07-21,2017-07-21,68.65
2017-07-24,2017-07-24,68.05
2017-07-25,2017-07-25,67.9
2017-07-26,2017-07-26,68.08
2017-07-27,2017-07-27,67.41
2017-07-28,2017-07-28,67.12
2017-07-31,2017-07-31,67.35
2017-08-01,2017-08-01,66.0
2017-08-02,2017-08-02,66.02
2017-08-03,2017-08-03,66.45
2017-08-04,2017-08-04,65.81
2017-08-07,2017-08-07,65.65
2017-08-08,2017-08-08,65.46
2017-08-09,2017-08-09,65.62
2017-08-10,2017-08-10,64.8
2017-08-11,2017-08-11,64.95
2017-08-14,2017-08-14,66.13
2017-08-15,2017-08-15,66.18
2017-08-16,2017-08-16,66.59
2017-08-17,2017-08-17,66.53
2017-08-18,2017-08-18,66.12
2017-08-21,2017-08-21,67.45
2017-08-22,2017-08-22,66.91
2017-08-23,2017-08-23,67.54
2017-08-24,2017-08-24,67.77
2017-08-25,2017-08-25,67.89
2017-08-28,2017-08-28,67.51
2017-08-29,2017-08-29,67.79
2017-08-30,2017-08-30,68.13
2017-08-31,2017-08-31,68.44
2017-09-01,2017-09-01,68.78
2017-09-05,2017-09-05,68.93
2017-09-06,2017-09-06,68.35
2017-09-07,2017-09-07,69.03
2017-09-08,2017-09-08,69.47
2017-09-11,2017-09-11,69.38
2017-09-12,2017-09-12,68.53
2017-09-13,2017-09-13,68.39
2017-09-14,2017-09-14,68.94
2017-09-15,2017-09-15,69.36
2017-09-18,2017-09-18,68.88
2017-09-19,2017-09-19,68.2
2017-09-20,2017-09-20,68.07
2017-09-21,2017-09-21,67.52
2017-09-22,2017-09-22,66.04
2017-09-25,2017-09-25,66.62
2017-09-26,2017-09-26,66.16
2017-09-27,2017-09-27,65.11
2017-09-28,2017-09-28,65.41
2017-09-29,2017-09-29,65.13
2017-10-02,2017-10-02,63.89
2017-10-03,2017-10-03,63.68
2017-10-04,2017-10-04,63.65
2017-10-05,2017-10-05,63.31
2017-10-06,2017-10-06,63.34
2017-10-09,2017-10-09,63.31
2017-10-10,2017-10-10,63.26
2017-10-11,2017-10-11,63.05
2017-10-12,2017-10-12,63.08
2017-10-13,2017-10-13,63.36
2017-10-16,2017-10-16,63.14
2017-10-17,2017-10-17,63.2
2017-10-18,2017-10-18,63.31
2017-10-19,2017-10-19,63.02
2017-10-20,2017-10-20,63.0
2017-10-23,2017-10-23,62.5
2017-10-24,2017-10-24,61.82
2017-10-25,2017-10-25,61.5
2017-10-26,2017-10-26,61.1
2017-10-27,2017-10-27,62.5
2017-10-30,2017-10-30,63.25
2017-10-31,2017-10-31,62.75
2017-11-01,2017-11-01,63.07
2017-11-02,2017-11-02,63.84
2017-11-03,2017-11-03,64.1
2017-11-06,2017-11-06,64.09
2017-11-07,2017-11-07,64.33
2017-11-08,2017-11-08,64.65
2017-11-09,2017-11-09,64.81
2017-11-10,2017-11-10,64.91
2017-11-13,2017-11-13,65.39
2017-11-14,2017-11-14,65.04
2017-11-15,2017-11-15,64.38
2017-11-16,2017-11-16,64.51
2017-11-17,2017-11-17,64.4
2017-11-20,2017-11-20,64.25
2017-11-21,2017-11-21,64.32
2017-11-22,2017-11-22,64.24
2017-11-24,2017-11-24,64.68
2017-11-27,2017-11-27,63.86
2017-11-28,2017-11-28,63.61
2017-11-29,2017-11-29,64.07
2017-11-30,2017-11-30,64.01
2017-12-01,2017-12-01,64.81
2017-12-04,2017-12-04,62.82
2017-12-05,2017-12-05,62.73
2017-12-06,2017-12-06,62.99
2017-12-07,2017-12-07,63.53
2017-12-08,2017-12-08,63.31
2017-12-11,2017-12-11,63.32
2017-12-12,2017-12-12,63.82
2017-12-13,2017-12-13,63.87
2017-12-14,2017-12-14,63.46
2017-12-15,2017-12-15,64.25
2017-12-18,2017-12-18,64.39
2017-12-19,2017-12-19,61.83
2017-12-20,2017-12-20,60.69
2017-12-21,2017-12-21,59.84
2017-12-22,2017-12-22,60.14
2017-12-26,2017-12-26,60.18
2017-12-27,2017-12-27,60.14
2017-12-28,2017-12-28,60.43
2017-12-29,2017-12-29,60.01
2018-01-02,2018-01-02,59.76
2018-01-03,2018-01-03,60.12
2018-01-04,2018-01-04,58.65
2018-01-05,2018-01-05,58.35
2018-01-08,2018-01-08,58.45
2018-01-09,2018-01-09,57.69
2018-01-10,2018-01-10,56.84
2018-01-11,2018-01-11,56.23
2018-01-12,2018-01-12,54.83
2018-01-16,2018-01-16,54.52
2018-01-17,2018-01-17,54.98
2018-01-18,2018-01-18,54.38
2018-01-19,2018-01-19,54.47
2018-01-22,2018-01-22,54.49
2018-01-23,2018-01-23,55.95
2018-01-24,2018-01-24,55.89
2018-01-25,2018-01-25,56.41
2018-01-26,2018-01-26,55.89
2018-01-29,2018-01-29,55.53
2018-01-30,2018-01-30,54.65
2018-01-31,2018-01-31,55.97
2018-02-01,2018-02-01,54.4
2018-02-02,2018-02-02,54.33
2018-02-05,2018-02-05,52.88
2018-02-06,2018-02-06,53.19
2018-02-07,2018-02-07,52.97
2018-02-08,2018-02-08,50.92
2018-02-09,2018-02-09,51.59
2018-02-12,2018-02-12,50.46
2018-02-13,2018-02-13,50.72
2018-02-14,2018-02-14,49.62
2018-02-15,2018-02-15,50.64
2018-02-16,2018-02-16,51.39
2018-02-20,2018-02-20,50.27
2018-02-21,2018-02-21,49.34
2018-02-22,2018-02-22,49.67
2018-02-23,2018-02-23,50.51
2018-02-26,2018-02-26,50.73
2018-02-27,2018-02-27,48.91
2018-02-28,2018-02-28,48.32
2018-03-01,2018-03-01,49.58
2018-03-02,2018-03-02,49.86
2018-03-05,2018-03-05,50.77
2018-03-06,2018-03-06,50.45
2018-03-07,2018-03-07,51.22
2018-03-08,2018-03-08,50.52
2018-03-09,2018-03-09,49.69
2018-03-12,2018-03-12,50.38
