DATE,DATE,CLOSE
2016-11-01,2016-11-01,76.23
2016-11-02,2016-11-02,74.94
2016-11-03,2016-11-03,75.42
2016-11-04,2016-11-04,76.3
2016-11-07,2016-11-07,79.08
2016-11-08,2016-11-08,78.38
2016-11-09,2016-11-09,81.9
2016-11-10,2016-11-10,84.41
2016-11-11,2016-11-11,85.41
2016-11-14,2016-11-14,87.23
2016-11-15,2016-11-15,88.08
2016-11-16,2016-11-16,86.82
2016-11-17,2016-11-17,86.2
2016-11-18,2016-11-18,85.63
2016-11-21,2016-11-21,86.62
2016-11-22,2016-11-22,86.85
2016-11-23,2016-11-23,86.96
2016-11-25,2016-11-25,86.5
2016-11-28,2016-11-28,84.89
2016-11-29,2016-11-29,84.48
2016-11-30,2016-11-30,84.67
2016-12-01,2016-12-01,86.04
2016-12-02,2016-12-02,86.71
2016-12-05,2016-12-05,88.12
2016-12-06,2016-12-06,87.55
2016-12-07,2016-12-07,87.2
2016-12-08,2016-12-08,84.61
2016-12-09,2016-12-09,83.42
2016-12-12,2016-12-12,82.7
2016-12-13,2016-12-13,81.16
2016-12-14,2016-12-14,80.2
2016-12-15,2016-12-15,80.36
2016-12-16,2016-12-16,79.54
2016-12-19,2016-12-19,80.03
2016-12-20,2016-12-20,81.8
2016-12-21,2016-12-21,83.93
2016-12-22,2016-12-22,83.08
2016-12-23,2016-12-23,83.91
2016-12-27,2016-12-27,85.03
2016-12-28,2016-12-28,83.55
2016-12-29,2016-12-29,83.54
2016-12-30,2016-12-30,83.02
2017-01-03,2017-01-03,84.02
2017-01-04,2017-01-04,85.51
2017-01-05,2017-01-05,83.88
2017-01-06,2017-01-06,84.56
2017-01-09,2017-01-09,84.06
2017-01-10,2017-01-10,85.31
2017-01-11,2017-01-11,85.29
2017-01-12,2017-01-12,85.03
2017-01-13,2017-01-13,85.92
2017-01-17,2017-01-17,86.75
2017-01-18,2017-01-18,87.24
2017-01-19,2017-01-19,86.92
2017-01-20,2017-01-20,86.16
2017-01-23,2017-01-23,84.65
2017-01-24,2017-01-24,86.4
2017-01-25,2017-01-25,88.25
2017-01-26,2017-01-26,87.13
2017-01-27,2017-01-27,88.03
2017-01-30,2017-01-30,86.72
2017-01-31,2017-01-31,86.64
2017-02-01,2017-02-01,86.78
2017-02-02,2017-02-02,86.06
2017-02-03,2017-02-03,87.58
2017-02-06,2017-02-06,86.64
2017-02-07,2017-02-07,86.32
2017-02-08,2017-02-08,85.32
2017-02-09,2017-02-09,86.2
2017-02-10,2017-02-10,87.3
2017-02-13,2017-02-13,87.66
2017-02-14,2017-02-14,86.75
2017-02-15,2017-02-15,88.48
2017-02-16,2017-02-16,88.05
2017-02-17,2017-02-17,87.77
2017-02-21,2017-02-21,82.71
2017-02-22,2017-02-22,80.17
