DATE,DATE,CLOSE
2016-11-01,2016-11-01,57.24
2016-11-02,2016-11-02,55.2
2016-11-03,2016-11-03,55.14
2016-11-04,2016-11-04,55.02
2016-11-07,2016-11-07,57.67
2016-11-08,2016-11-08,57.26
2016-11-09,2016-11-09,57.48
2016-11-10,2016-11-10,56.84
2016-11-11,2016-11-11,58.89
2016-11-14,2016-11-14,59.48
2016-11-15,2016-11-15,59.71
2016-11-16,2016-11-16,59.53
2016-11-17,2016-11-17,58.8
2016-11-18,2016-11-18,60.93
2016-11-21,2016-11-21,61.17
2016-11-22,2016-11-22,61.19
2016-11-23,2016-11-23,61.04
2016-11-25,2016-11-25,61.59
2016-11-28,2016-11-28,62.27
2016-11-29,2016-11-29,62.67
2016-11-30,2016-11-30,63.66
2016-12-01,2016-12-01,61.61
2016-12-02,2016-12-02,63.35
2016-12-05,2016-12-05,62.09
2016-12-06,2016-12-06,63.85
2016-12-07,2016-12-07,69.15
2016-12-08,2016-12-08,68.25
2016-12-09,2016-12-09,67.71
2016-12-12,2016-12-12,66.29
2016-12-13,2016-12-13,67.9
2016-12-14,2016-12-14,67.17
2016-12-15,2016-12-15,67.89
2016-12-16,2016-12-16,67.18
2016-12-19,2016-12-19,68.36
2016-12-20,2016-12-20,68.95
2016-12-21,2016-12-21,69.22
2016-12-22,2016-12-22,70.19
2016-12-23,2016-12-23,70.35
2016-12-27,2016-12-27,70.17
2016-12-28,2016-12-28,69.21
2016-12-29,2016-12-29,68.43
2016-12-30,2016-12-30,67.95
2017-01-03,2017-01-03,69.43
2017-01-04,2017-01-04,70.54
2017-01-05,2017-01-05,70.55
2017-01-06,2017-01-06,70.38
2017-01-09,2017-01-09,71.86
2017-01-10,2017-01-10,70.84
2017-01-11,2017-01-11,71.45
2017-01-12,2017-01-12,70.75
2017-01-13,2017-01-13,71.0
2017-01-17,2017-01-17,71.62
2017-01-18,2017-01-18,73.24
2017-01-19,2017-01-19,71.67
2017-01-20,2017-01-20,72.63
2017-01-23,2017-01-23,72.65
2017-01-24,2017-01-24,76.01
2017-01-25,2017-01-25,80.02
2017-01-26,2017-01-26,78.47
2017-01-27,2017-01-27,79.52
2017-01-30,2017-01-30,79.22
2017-01-31,2017-01-31,79.73
2017-02-01,2017-02-01,79.16
2017-02-02,2017-02-02,79.23
2017-02-03,2017-02-03,79.13
2017-02-06,2017-02-06,78.94
2017-02-07,2017-02-07,79.05
2017-02-08,2017-02-08,77.08
2017-02-09,2017-02-09,78.05
2017-02-10,2017-02-10,77.36
2017-02-13,2017-02-13,78.47
2017-02-14,2017-02-14,76.41
2017-02-15,2017-02-15,76.01
2017-02-16,2017-02-16,75.95
2017-02-17,2017-02-17,74.91
2017-02-21,2017-02-21,74.9
2017-02-22,2017-02-22,74.47
2017-02-23,2017-02-23,74.59
2017-02-24,2017-02-24,74.65
2017-02-27,2017-02-27,76.1
2017-02-28,2017-02-28,76.88
2017-03-01,2017-03-01,78.32
2017-03-02,2017-03-02,76.28
2017-03-03,2017-03-03,77.54
2017-03-06,2017-03-06,76.8
2017-03-07,2017-03-07,76.8
2017-03-08,2017-03-08,76.45
2017-03-09,2017-03-09,74.26
2017-03-10,2017-03-10,75.0
2017-03-13,2017-03-13,75.7
2017-03-14,2017-03-14,75.7
2017-03-15,2017-03-15,76.72
2017-03-16,2017-03-16,77.14
2017-03-17,2017-03-17,76.87
2017-03-20,2017-03-20,76.42
2017-03-21,2017-03-21,73.22
2017-03-22,2017-03-22,74.93
2017-03-23,2017-03-23,76.19
2017-03-24,2017-03-24,78.18
2017-03-27,2017-03-27,78.57
2017-03-28,2017-03-28,80.56
2017-03-29,2017-03-29,81.39
2017-03-30,2017-03-30,83.75
2017-03-31,2017-03-31,82.53
2017-04-03,2017-04-03,82.14
2017-04-04,2017-04-04,82.99
2017-04-05,2017-04-05,82.7
2017-04-06,2017-04-06,84.09
2017-04-07,2017-04-07,85.17
2017-04-10,2017-04-10,84.78
2017-04-11,2017-04-11,86.05
2017-04-12,2017-04-12,84.21
2017-04-13,2017-04-13,83.5
