DATE,DATE,CLOSE
2016-11-01,2016-11-01,58.52
2016-11-02,2016-11-02,57.98
2016-11-03,2016-11-03,58.24
2016-11-04,2016-11-04,57.72
2016-11-07,2016-11-07,58.58
2016-11-08,2016-11-08,59.01
2016-11-09,2016-11-09,56.23
2016-11-10,2016-11-10,55.45
2016-11-11,2016-11-11,54.95
2016-11-14,2016-11-14,54.58
2016-11-15,2016-11-15,55.58
2016-11-16,2016-11-16,55.14
2016-11-17,2016-11-17,55.53
2016-11-18,2016-11-18,55.53
2016-11-21,2016-11-21,56.01
2016-11-22,2016-11-22,56.59
2016-11-23,2016-11-23,55.72
2016-11-25,2016-11-25,56.56
2016-11-28,2016-11-28,58.04
2016-11-29,2016-11-29,58.03
2016-11-30,2016-11-30,56.01
2016-12-01,2016-12-01,55.38
2016-12-02,2016-12-02,55.64
2016-12-05,2016-12-05,55.69
2016-12-06,2016-12-06,55.42
2016-12-07,2016-12-07,56.31
2016-12-08,2016-12-08,56.47
2016-12-09,2016-12-09,57.16
2016-12-12,2016-12-12,57.94
2016-12-13,2016-12-13,58.32
2016-12-14,2016-12-14,56.91
2016-12-15,2016-12-15,57.14
2016-12-16,2016-12-16,58.01
2016-12-19,2016-12-19,58.16
2016-12-20,2016-12-20,58.45
2016-12-21,2016-12-21,58.46
2016-12-22,2016-12-22,58.71
2016-12-23,2016-12-23,58.73
2016-12-27,2016-12-27,58.57
2016-12-28,2016-12-28,57.9
2016-12-29,2016-12-29,58.85
2016-12-30,2016-12-30,58.65
2017-01-03,2017-01-03,58.49
2017-01-04,2017-01-04,58.94
2017-01-05,2017-01-05,59.02
2017-01-06,2017-01-06,58.78
2017-01-09,2017-01-09,57.98
2017-01-10,2017-01-10,58.1
2017-01-11,2017-01-11,58.65
2017-01-12,2017-01-12,58.7
2017-01-13,2017-01-13,58.74
2017-01-17,2017-01-17,59.35
2017-01-18,2017-01-18,59.38
2017-01-19,2017-01-19,58.56
2017-01-20,2017-01-20,58.5
2017-01-23,2017-01-23,58.39
