DATE,DATE,CLOSE
2016-11-01,2016-11-01,45.99
2016-11-02,2016-11-02,45.24
2016-11-03,2016-11-03,45.34
2016-11-04,2016-11-04,44.6
2016-11-07,2016-11-07,45.4
2016-11-08,2016-11-08,45.54
2016-11-09,2016-11-09,47.99
2016-11-10,2016-11-10,51.63
2016-11-11,2016-11-11,51.73
2016-11-14,2016-11-14,53.22
2016-11-15,2016-11-15,52.59
2016-11-16,2016-11-16,51.68
2016-11-17,2016-11-17,52.49
2016-11-18,2016-11-18,52.82
2016-11-21,2016-11-21,52.12
2016-11-22,2016-11-22,52.22
2016-11-23,2016-11-23,52.16
2016-11-25,2016-11-25,52.62
2016-11-28,2016-11-28,51.58
2016-11-29,2016-11-29,51.86
2016-11-30,2016-11-30,52.92
2016-12-01,2016-12-01,54.34
2016-12-02,2016-12-02,53.58
2016-12-05,2016-12-05,54.35
2016-12-06,2016-12-06,55.55
2016-12-07,2016-12-07,57.28
2016-12-08,2016-12-08,57.29
2016-12-09,2016-12-09,57.14
2016-12-12,2016-12-12,55.78
2016-12-13,2016-12-13,55.84
2016-12-14,2016-12-14,54.7
2016-12-15,2016-12-15,55.19
2016-12-16,2016-12-16,55.34
2016-12-19,2016-12-19,55.22
2016-12-20,2016-12-20,56.1
2016-12-21,2016-12-21,55.71
2016-12-22,2016-12-22,55.75
2016-12-23,2016-12-23,55.96
2016-12-27,2016-12-27,55.95
2016-12-28,2016-12-28,55.32
2016-12-29,2016-12-29,54.84
2016-12-30,2016-12-30,55.11
2017-01-03,2017-01-03,56.0
2017-01-04,2017-01-04,56.05
2017-01-05,2017-01-05,55.18
2017-01-06,2017-01-06,55.04
2017-01-09,2017-01-09,54.24
2017-01-10,2017-01-10,54.62
2017-01-11,2017-01-11,54.8
2017-01-12,2017-01-12,54.5
2017-01-13,2017-01-13,55.31
2017-01-17,2017-01-17,53.78
2017-01-18,2017-01-18,54.27
2017-01-19,2017-01-19,54.58
2017-01-20,2017-01-20,55.07
2017-01-23,2017-01-23,54.25
2017-01-24,2017-01-24,54.7
2017-01-25,2017-01-25,56.62
2017-01-26,2017-01-26,57.18
2017-01-27,2017-01-27,56.59
2017-01-30,2017-01-30,56.08
2017-01-31,2017-01-31,56.33
2017-02-01,2017-02-01,55.91
2017-02-02,2017-02-02,55.75
2017-02-03,2017-02-03,57.27
2017-02-06,2017-02-06,56.55
2017-02-07,2017-02-07,56.34
2017-02-08,2017-02-08,55.63
2017-02-09,2017-02-09,56.73
2017-02-10,2017-02-10,56.86
2017-02-13,2017-02-13,57.08
2017-02-14,2017-02-14,57.98
2017-02-15,2017-02-15,58.55
2017-02-16,2017-02-16,58.12
2017-02-17,2017-02-17,58.09
2017-02-21,2017-02-21,58.25
2017-02-22,2017-02-22,58.36
2017-02-23,2017-02-23,58.49
2017-02-24,2017-02-24,57.81
2017-02-27,2017-02-27,58.06
2017-02-28,2017-02-28,57.88
2017-03-01,2017-03-01,59.73
2017-03-02,2017-03-02,58.71
2017-03-03,2017-03-03,58.89
2017-03-06,2017-03-06,58.61
2017-03-07,2017-03-07,58.3
2017-03-08,2017-03-08,58.21
2017-03-09,2017-03-09,58.7
2017-03-10,2017-03-10,58.85
2017-03-13,2017-03-13,58.7
2017-03-14,2017-03-14,58.76
2017-03-15,2017-03-15,58.71
2017-03-16,2017-03-16,59.32
2017-03-17,2017-03-17,58.67
2017-03-20,2017-03-20,57.63
2017-03-21,2017-03-21,55.85
2017-03-22,2017-03-22,55.33
2017-03-23,2017-03-23,55.25
2017-03-24,2017-03-24,55.83
2017-03-27,2017-03-27,55.39
2017-03-28,2017-03-28,55.96
2017-03-29,2017-03-29,55.67
2017-03-30,2017-03-30,56.24
2017-03-31,2017-03-31,55.66
2017-04-03,2017-04-03,55.49
2017-04-04,2017-04-04,55.2
2017-04-05,2017-04-05,54.98
2017-04-06,2017-04-06,55.37
2017-04-07,2017-04-07,54.84
2017-04-10,2017-04-10,54.54
2017-04-11,2017-04-11,54.16
2017-04-12,2017-04-12,53.12
2017-04-13,2017-04-13,51.35
2017-04-17,2017-04-17,52.72
2017-04-18,2017-04-18,52.45
2017-04-19,2017-04-19,52.15
2017-04-20,2017-04-20,53.5
2017-04-21,2017-04-21,53.0
2017-04-24,2017-04-24,53.65
2017-04-25,2017-04-25,54.56
2017-04-26,2017-04-26,54.54
2017-04-27,2017-04-27,54.44
2017-04-28,2017-04-28,53.84
2017-05-01,2017-05-01,54.46
2017-05-02,2017-05-02,54.54
2017-05-03,2017-05-03,54.85
2017-05-04,2017-05-04,55.18
2017-05-05,2017-05-05,55.11
2017-05-08,2017-05-08,55.04
2017-05-09,2017-05-09,54.68
2017-05-10,2017-05-10,54.72
2017-05-11,2017-05-11,53.74
2017-05-12,2017-05-12,53.02
2017-05-15,2017-05-15,53.32
2017-05-16,2017-05-16,53.26
2017-05-17,2017-05-17,52.24
2017-05-18,2017-05-18,52.38
2017-05-19,2017-05-19,53.06
2017-05-22,2017-05-22,53.01
2017-05-23,2017-05-23,53.39
2017-05-24,2017-05-24,53.09
2017-05-25,2017-05-25,52.78
2017-05-26,2017-05-26,52.41
2017-05-30,2017-05-30,52.16
2017-05-31,2017-05-31,51.14
2017-06-01,2017-06-01,52.08
2017-06-02,2017-06-02,51.81
2017-06-05,2017-06-05,51.72
2017-06-06,2017-06-06,51.81
2017-06-07,2017-06-07,52.09
2017-06-08,2017-06-08,52.56
2017-06-09,2017-06-09,53.8
2017-06-12,2017-06-12,54.09
2017-06-13,2017-06-13,54.45
2017-06-14,2017-06-14,54.53
2017-06-15,2017-06-15,53.9
2017-06-16,2017-06-16,53.89
2017-06-19,2017-06-19,54.24
2017-06-20,2017-06-20,53.46
2017-06-21,2017-06-21,52.98
2017-06-22,2017-06-22,52.49
2017-06-23,2017-06-23,52.45
2017-06-26,2017-06-26,52.9
2017-06-27,2017-06-27,53.16
2017-06-28,2017-06-28,54.33
2017-06-29,2017-06-29,55.78
2017-06-30,2017-06-30,55.41
2017-07-03,2017-07-03,55.78
2017-07-05,2017-07-05,55.78
2017-07-06,2017-07-06,55.56
2017-07-07,2017-07-07,55.74
2017-07-10,2017-07-10,55.59
2017-07-11,2017-07-11,55.04
2017-07-12,2017-07-12,55.17
2017-07-13,2017-07-13,55.6
2017-07-14,2017-07-14,54.99
2017-07-17,2017-07-17,54.71
2017-07-18,2017-07-18,54.8
2017-07-19,2017-07-19,54.94
2017-07-20,2017-07-20,54.88
2017-07-21,2017-07-21,54.17
2017-07-24,2017-07-24,54.27
2017-07-25,2017-07-25,55.06
2017-07-26,2017-07-26,54.91
2017-07-27,2017-07-27,54.71
2017-07-28,2017-07-28,53.3
2017-07-31,2017-07-31,53.94
2017-08-01,2017-08-01,54.08
2017-08-02,2017-08-02,53.62
2017-08-03,2017-08-03,53.4
2017-08-04,2017-08-04,52.84
2017-08-07,2017-08-07,52.54
2017-08-08,2017-08-08,52.71
2017-08-09,2017-08-09,52.79
2017-08-10,2017-08-10,51.95
2017-08-11,2017-08-11,51.94
2017-08-14,2017-08-14,52.84
2017-08-15,2017-08-15,52.85
2017-08-16,2017-08-16,52.69
2017-08-17,2017-08-17,51.8
2017-08-18,2017-08-18,51.68
2017-08-21,2017-08-21,51.82
2017-08-22,2017-08-22,52.22
2017-08-23,2017-08-23,52.03
2017-08-24,2017-08-24,52.16
2017-08-25,2017-08-25,51.77
2017-08-28,2017-08-28,51.63
2017-08-29,2017-08-29,51.42
2017-08-30,2017-08-30,51.36
2017-08-31,2017-08-31,51.07
2017-09-01,2017-09-01,50.97
2017-09-05,2017-09-05,50.1
2017-09-06,2017-09-06,49.88
2017-09-07,2017-09-07,49.68
2017-09-08,2017-09-08,49.58
2017-09-11,2017-09-11,50.66
2017-09-12,2017-09-12,51.57
