DATE,DATE,CLOSE
2016-11-01,2016-11-01,150.57
2016-11-02,2016-11-02,150.76
2016-11-03,2016-11-03,150.99
2016-11-04,2016-11-04,152.79
2016-11-07,2016-11-07,154.93
2016-11-08,2016-11-08,157.93
2016-11-09,2016-11-09,160.74
2016-11-10,2016-11-10,165.0
2016-11-11,2016-11-11,162.95
2016-11-14,2016-11-14,162.93
2016-11-15,2016-11-15,165.27
2016-11-16,2016-11-16,162.12
2016-11-17,2016-11-17,163.27
2016-11-18,2016-11-18,161.05
2016-11-21,2016-11-21,162.81
2016-11-22,2016-11-22,163.98
2016-11-23,2016-11-23,165.32
2016-11-25,2016-11-25,165.61
2016-11-28,2016-11-28,162.63
2016-11-29,2016-11-29,163.58
2016-11-30,2016-11-30,162.44
2016-12-01,2016-12-01,162.61
2016-12-02,2016-12-02,166.84
2016-12-05,2016-12-05,170.0
2016-12-06,2016-12-06,169.4
2016-12-07,2016-12-07,173.8
2016-12-08,2016-12-08,172.31
2016-12-09,2016-12-09,173.73
2016-12-12,2016-12-12,176.2
2016-12-13,2016-12-13,178.14
2016-12-14,2016-12-14,175.99
2016-12-15,2016-12-15,173.81
2016-12-16,2016-12-16,174.08
2016-12-19,2016-12-19,174.57
2016-12-20,2016-12-20,177.93
2016-12-21,2016-12-21,181.04
2016-12-22,2016-12-22,181.01
2016-12-23,2016-12-23,181.95
2016-12-27,2016-12-27,183.65
2016-12-28,2016-12-28,182.82
2016-12-29,2016-12-29,183.19
2016-12-30,2016-12-30,181.77
2017-01-03,2017-01-03,182.93
2017-01-04,2017-01-04,185.42
2017-01-05,2017-01-05,185.98
2017-01-06,2017-01-06,186.1
2017-01-09,2017-01-09,181.61
2017-01-10,2017-01-10,183.82
2017-01-11,2017-01-11,183.05
2017-01-12,2017-01-12,183.86
2017-01-13,2017-01-13,184.77
2017-01-17,2017-01-17,185.44
2017-01-18,2017-01-18,186.01
2017-01-19,2017-01-19,185.23
2017-01-20,2017-01-20,185.62
2017-01-23,2017-01-23,186.99
2017-01-24,2017-01-24,188.92
2017-01-25,2017-01-25,190.2
2017-01-26,2017-01-26,173.94
2017-01-27,2017-01-27,170.85
2017-01-30,2017-01-30,174.91
2017-01-31,2017-01-31,174.89
2017-02-01,2017-02-01,173.94
2017-02-02,2017-02-02,171.5
2017-02-03,2017-02-03,173.61
2017-02-06,2017-02-06,172.57
2017-02-07,2017-02-07,173.4
2017-02-08,2017-02-08,173.94
2017-02-09,2017-02-09,174.07
2017-02-10,2017-02-10,174.48
2017-02-13,2017-02-13,175.42
2017-02-14,2017-02-14,174.87
2017-02-15,2017-02-15,177.05
2017-02-16,2017-02-16,176.69
2017-02-17,2017-02-17,177.19
2017-02-21,2017-02-21,179.62
2017-02-22,2017-02-22,180.87
2017-02-23,2017-02-23,180.72
