DATE,DATE,CLOSE
2016-11-01,2016-11-01,63.95
2016-11-02,2016-11-02,63.64
2016-11-03,2016-11-03,63.41
2016-11-04,2016-11-04,63.37
2016-11-07,2016-11-07,64.7
2016-11-08,2016-11-08,65.3
2016-11-09,2016-11-09,65.96
2016-11-10,2016-11-10,66.54
2016-11-11,2016-11-11,67.61
2016-11-14,2016-11-14,67.72
2016-11-15,2016-11-15,68.65
2016-11-16,2016-11-16,68.71
2016-11-17,2016-11-17,68.77
2016-11-18,2016-11-18,68.9
2016-11-21,2016-11-21,69.53
2016-11-22,2016-11-22,69.57
2016-11-23,2016-11-23,69.54
2016-11-25,2016-11-25,70.03
2016-11-28,2016-11-28,70.23
2016-11-29,2016-11-29,70.39
2016-11-30,2016-11-30,69.52
2016-12-01,2016-12-01,69.29
2016-12-02,2016-12-02,69.87
2016-12-05,2016-12-05,69.0
2016-12-06,2016-12-06,69.51
2016-12-07,2016-12-07,69.94
2016-12-08,2016-12-08,70.06
2016-12-09,2016-12-09,70.02
2016-12-12,2016-12-12,70.7
2016-12-13,2016-12-13,70.83
2016-12-14,2016-12-14,70.04
2016-12-15,2016-12-15,70.1
2016-12-16,2016-12-16,70.08
2016-12-19,2016-12-19,71.09
2016-12-20,2016-12-20,71.14
2016-12-21,2016-12-21,70.69
2016-12-22,2016-12-22,70.79
2016-12-23,2016-12-23,70.92
2016-12-27,2016-12-27,70.96
2016-12-28,2016-12-28,70.96
2016-12-29,2016-12-29,71.01
2016-12-30,2016-12-30,70.91
2017-01-03,2017-01-03,70.52
2017-01-04,2017-01-04,70.32
2017-01-05,2017-01-05,70.59
2017-01-06,2017-01-06,70.19
2017-01-09,2017-01-09,69.78
2017-01-10,2017-01-10,69.49
2017-01-11,2017-01-11,70.13
2017-01-12,2017-01-12,69.89
2017-01-13,2017-01-13,69.79
2017-01-17,2017-01-17,69.48
2017-01-18,2017-01-18,69.59
2017-01-19,2017-01-19,69.57
2017-01-20,2017-01-20,69.66
2017-01-23,2017-01-23,69.34
2017-01-24,2017-01-24,69.56
2017-01-25,2017-01-25,69.67
2017-01-26,2017-01-26,69.73
2017-01-27,2017-01-27,69.64
2017-01-30,2017-01-30,69.6
2017-01-31,2017-01-31,69.5
2017-02-01,2017-02-01,69.18
2017-02-02,2017-02-02,69.64
2017-02-03,2017-02-03,69.65
2017-02-06,2017-02-06,69.42
2017-02-07,2017-02-07,69.9
2017-02-08,2017-02-08,70.01
2017-02-09,2017-02-09,70.25
2017-02-10,2017-02-10,70.54
2017-02-13,2017-02-13,70.84
2017-02-14,2017-02-14,70.86
2017-02-15,2017-02-15,71.35
2017-02-16,2017-02-16,71.18
2017-02-17,2017-02-17,72.45
2017-02-21,2017-02-21,72.82
2017-02-22,2017-02-22,73.01
2017-02-23,2017-02-23,72.91
2017-02-24,2017-02-24,73.15
2017-02-27,2017-02-27,73.24
2017-02-28,2017-02-28,73.32
2017-03-01,2017-03-01,73.37
2017-03-02,2017-03-02,73.28
2017-03-03,2017-03-03,72.83
2017-03-06,2017-03-06,73.01
2017-03-07,2017-03-07,72.7
2017-03-08,2017-03-08,72.19
2017-03-09,2017-03-09,72.3
2017-03-10,2017-03-10,73.0
2017-03-13,2017-03-13,73.1
2017-03-14,2017-03-14,72.98
2017-03-15,2017-03-15,73.78
2017-03-16,2017-03-16,73.11
2017-03-17,2017-03-17,73.54
2017-03-20,2017-03-20,73.11
2017-03-21,2017-03-21,72.52
2017-03-22,2017-03-22,72.65
2017-03-23,2017-03-23,72.56
2017-03-24,2017-03-24,72.32
2017-03-27,2017-03-27,71.88
2017-03-28,2017-03-28,72.34
2017-03-29,2017-03-29,72.15
2017-03-30,2017-03-30,72.93
2017-03-31,2017-03-31,72.92
2017-04-03,2017-04-03,72.59
2017-04-04,2017-04-04,72.53
2017-04-05,2017-04-05,73.27
2017-04-06,2017-04-06,73.09
2017-04-07,2017-04-07,73.21
2017-04-10,2017-04-10,72.89
2017-04-11,2017-04-11,72.87
2017-04-12,2017-04-12,72.3
2017-04-13,2017-04-13,72.02
2017-04-17,2017-04-17,72.5
2017-04-18,2017-04-18,72.45
2017-04-19,2017-04-19,72.71
2017-04-20,2017-04-20,72.84
2017-04-21,2017-04-21,73.38
2017-04-24,2017-04-24,74.1
2017-04-25,2017-04-25,74.23
2017-04-26,2017-04-26,72.3
2017-04-27,2017-04-27,72.84
2017-04-28,2017-04-28,72.78
2017-05-01,2017-05-01,73.01
2017-05-02,2017-05-02,72.86
2017-05-03,2017-05-03,72.88
2017-05-04,2017-05-04,72.95
2017-05-05,2017-05-05,73.39
2017-05-08,2017-05-08,73.26
2017-05-09,2017-05-09,72.76
2017-05-10,2017-05-10,73.09
2017-05-11,2017-05-11,72.55
2017-05-12,2017-05-12,71.96
2017-05-15,2017-05-15,72.17
2017-05-16,2017-05-16,71.25
2017-05-17,2017-05-17,70.73
2017-05-18,2017-05-18,70.96
2017-05-19,2017-05-19,70.5
2017-05-22,2017-05-22,70.97
2017-05-23,2017-05-23,71.02
2017-05-24,2017-05-24,71.38
2017-05-25,2017-05-25,71.57
2017-05-26,2017-05-26,71.84
2017-05-30,2017-05-30,72.14
2017-05-31,2017-05-31,72.91
2017-06-01,2017-06-01,73.46
2017-06-02,2017-06-02,74.25
2017-06-05,2017-06-05,73.91
2017-06-06,2017-06-06,73.41
2017-06-07,2017-06-07,73.33
2017-06-08,2017-06-08,72.54
2017-06-09,2017-06-09,72.65
2017-06-12,2017-06-12,72.88
2017-06-13,2017-06-13,73.37
2017-06-14,2017-06-14,73.42
2017-06-15,2017-06-15,74.05
2017-06-16,2017-06-16,74.14
2017-06-19,2017-06-19,74.18
2017-06-20,2017-06-20,73.77
2017-06-21,2017-06-21,73.4
2017-06-22,2017-06-22,73.36
2017-06-23,2017-06-23,73.43
2017-06-26,2017-06-26,73.46
2017-06-27,2017-06-27,73.11
2017-06-28,2017-06-28,73.52
2017-06-29,2017-06-29,73.02
2017-06-30,2017-06-30,73.35
2017-07-03,2017-07-03,73.4
2017-07-05,2017-07-05,73.72
2017-07-06,2017-07-06,73.39
2017-07-07,2017-07-07,73.99
2017-07-10,2017-07-10,73.98
2017-07-11,2017-07-11,73.86
2017-07-12,2017-07-12,74.17
2017-07-13,2017-07-13,73.99
2017-07-14,2017-07-14,74.27
2017-07-17,2017-07-17,74.5
2017-07-18,2017-07-18,74.79
2017-07-19,2017-07-19,74.92
2017-07-20,2017-07-20,75.0
2017-07-21,2017-07-21,75.37
2017-07-24,2017-07-24,75.09
2017-07-25,2017-07-25,75.64
2017-07-26,2017-07-26,74.66
2017-07-27,2017-07-27,75.45
2017-07-28,2017-07-28,74.8
2017-07-31,2017-07-31,75.15
2017-08-01,2017-08-01,75.22
2017-08-02,2017-08-02,75.25
2017-08-03,2017-08-03,75.62
2017-08-04,2017-08-04,75.52
2017-08-07,2017-08-07,75.39
2017-08-08,2017-08-08,75.34
2017-08-09,2017-08-09,75.23
2017-08-10,2017-08-10,74.81
2017-08-11,2017-08-11,74.61
2017-08-14,2017-08-14,75.55
2017-08-15,2017-08-15,75.7
2017-08-16,2017-08-16,76.0
2017-08-17,2017-08-17,75.53
2017-08-18,2017-08-18,75.25
2017-08-21,2017-08-21,75.54
2017-08-22,2017-08-22,76.2
2017-08-23,2017-08-23,76.03
2017-08-24,2017-08-24,75.65
2017-08-25,2017-08-25,75.89
2017-08-28,2017-08-28,76.26
2017-08-29,2017-08-29,76.75
2017-08-30,2017-08-30,76.95
2017-08-31,2017-08-31,77.11
2017-09-01,2017-09-01,77.19
2017-09-05,2017-09-05,75.94
2017-09-06,2017-09-06,76.13
2017-09-07,2017-09-07,76.08
2017-09-08,2017-09-08,77.12
2017-09-11,2017-09-11,77.72
2017-09-12,2017-09-12,78.32
2017-09-13,2017-09-13,77.81
2017-09-14,2017-09-14,77.84
2017-09-15,2017-09-15,78.0
2017-09-18,2017-09-18,78.18
2017-09-19,2017-09-19,78.26
2017-09-20,2017-09-20,78.39
2017-09-21,2017-09-21,78.28
2017-09-22,2017-09-22,78.2
2017-09-25,2017-09-25,78.6
2017-09-26,2017-09-26,78.62
2017-09-27,2017-09-27,78.32
2017-09-28,2017-09-28,78.41
2017-09-29,2017-09-29,78.27
2017-10-02,2017-10-02,78.77
2017-10-03,2017-10-03,79.28
2017-10-04,2017-10-04,76.33
2017-10-05,2017-10-05,76.67
2017-10-06,2017-10-06,76.28
2017-10-09,2017-10-09,76.79
2017-10-10,2017-10-10,76.74
2017-10-11,2017-10-11,77.08
2017-10-12,2017-10-12,76.92
2017-10-13,2017-10-13,77.02
2017-10-16,2017-10-16,76.69
2017-10-17,2017-10-17,76.84
2017-10-18,2017-10-18,76.94
2017-10-19,2017-10-19,77.37
2017-10-20,2017-10-20,77.73
2017-10-23,2017-10-23,77.72
2017-10-24,2017-10-24,77.95
2017-10-25,2017-10-25,77.51
2017-10-26,2017-10-26,81.31
2017-10-27,2017-10-27,82.31
2017-10-30,2017-10-30,81.87
2017-10-31,2017-10-31,82.17
2017-11-01,2017-11-01,81.1
2017-11-02,2017-11-02,81.65
2017-11-03,2017-11-03,81.7
2017-11-06,2017-11-06,81.24
2017-11-07,2017-11-07,81.63
2017-11-08,2017-11-08,81.84
2017-11-09,2017-11-09,81.4
2017-11-10,2017-11-10,81.32
2017-11-13,2017-11-13,82.14
2017-11-14,2017-11-14,82.38
2017-11-15,2017-11-15,81.73
2017-11-16,2017-11-16,81.7
2017-11-17,2017-11-17,80.65
2017-11-20,2017-11-20,80.92
2017-11-21,2017-11-21,80.87
2017-11-22,2017-11-22,80.26
2017-11-24,2017-11-24,80.38
2017-11-27,2017-11-27,80.85
2017-11-28,2017-11-28,81.61
2017-11-29,2017-11-29,82.62
2017-11-30,2017-11-30,82.25
2017-12-01,2017-12-01,81.81
2017-12-04,2017-12-04,83.15
2017-12-05,2017-12-05,83.32
2017-12-06,2017-12-06,83.5
2017-12-07,2017-12-07,83.91
2017-12-08,2017-12-08,84.57
2017-12-11,2017-12-11,85.37
2017-12-12,2017-12-12,84.64
2017-12-13,2017-12-13,85.34
2017-12-14,2017-12-14,84.66
2017-12-15,2017-12-15,85.87
2017-12-18,2017-12-18,86.12
2017-12-19,2017-12-19,85.65
2017-12-20,2017-12-20,85.79
2017-12-21,2017-12-21,85.79
2017-12-22,2017-12-22,85.91
2017-12-26,2017-12-26,85.88
2017-12-27,2017-12-27,86.11
2017-12-28,2017-12-28,86.29
2017-12-29,2017-12-29,86.3
2018-01-02,2018-01-02,86.1
2018-01-03,2018-01-03,87.35
2018-01-04,2018-01-04,88.1
2018-01-05,2018-01-05,87.99
2018-01-08,2018-01-08,88.05
2018-01-09,2018-01-09,87.69
2018-01-10,2018-01-10,87.27
2018-01-11,2018-01-11,88.18
2018-01-12,2018-01-12,88.27
2018-01-16,2018-01-16,88.16
2018-01-17,2018-01-17,88.53
2018-01-18,2018-01-18,87.96
2018-01-19,2018-01-19,88.06
2018-01-22,2018-01-22,88.66
2018-01-23,2018-01-23,88.6
2018-01-24,2018-01-24,88.5
2018-01-25,2018-01-25,88.56
2018-01-26,2018-01-26,89.71
2018-01-29,2018-01-29,88.22
2018-01-30,2018-01-30,87.95
2018-01-31,2018-01-31,88.43
2018-02-01,2018-02-01,87.85
2018-02-02,2018-02-02,86.53
2018-02-05,2018-02-05,81.75
2018-02-06,2018-02-06,81.8
2018-02-07,2018-02-07,81.73
2018-02-08,2018-02-08,79.12
2018-02-09,2018-02-09,80.1
2018-02-12,2018-02-12,80.57
2018-02-13,2018-02-13,80.79
2018-02-14,2018-02-14,82.6
2018-02-15,2018-02-15,84.02
2018-02-16,2018-02-16,85.15
2018-02-20,2018-02-20,84.87
2018-02-21,2018-02-21,84.09
2018-02-22,2018-02-22,84.5
2018-02-23,2018-02-23,85.49
2018-02-26,2018-02-26,86.59
2018-02-27,2018-02-27,86.95
2018-02-28,2018-02-28,86.32
2018-03-01,2018-03-01,85.35
2018-03-02,2018-03-02,85.52
2018-03-05,2018-03-05,85.69
2018-03-06,2018-03-06,85.82
2018-03-07,2018-03-07,85.3
2018-03-08,2018-03-08,85.24
2018-03-09,2018-03-09,87.21
2018-03-12,2018-03-12,86.67
2018-03-13,2018-03-13,86.66
2018-03-14,2018-03-14,86.41
2018-03-15,2018-03-15,86.25
2018-03-16,2018-03-16,86.39
2018-03-19,2018-03-19,85.8
2018-03-20,2018-03-20,86.27
2018-03-21,2018-03-21,85.92
2018-03-22,2018-03-22,84.24
2018-03-23,2018-03-23,82.9
2018-03-26,2018-03-26,84.13
2018-03-27,2018-03-27,83.29
2018-03-28,2018-03-28,83.18
2018-03-29,2018-03-29,84.12
2018-04-02,2018-04-02,83.58
2018-04-03,2018-04-03,84.92
2018-04-04,2018-04-04,85.48
2018-04-05,2018-04-05,86.02
2018-04-06,2018-04-06,84.21
2018-04-09,2018-04-09,83.59
2018-04-10,2018-04-10,84.25
2018-04-11,2018-04-11,82.69
2018-04-12,2018-04-12,83.02
2018-04-13,2018-04-13,83.07
2018-04-16,2018-04-16,83.38
2018-04-17,2018-04-17,83.52
2018-04-18,2018-04-18,83.65
2018-04-19,2018-04-19,82.62
2018-04-20,2018-04-20,82.48
2018-04-23,2018-04-23,82.5
2018-04-24,2018-04-24,81.4
2018-04-25,2018-04-25,81.25
2018-04-26,2018-04-26,81.75
2018-04-27,2018-04-27,82.3
2018-04-30,2018-04-30,81.29
2018-05-01,2018-05-01,81.25
