DATE,DATE,CLOSE
2016-11-01,2016-11-01,69.3
2016-11-02,2016-11-02,69.45
2016-11-03,2016-11-03,69.63
2016-11-04,2016-11-04,69.16
2016-11-07,2016-11-07,69.78
2016-11-08,2016-11-08,69.79
2016-11-09,2016-11-09,71.1
2016-11-10,2016-11-10,71.39
2016-11-11,2016-11-11,71.23
2016-11-14,2016-11-14,70.49
2016-11-15,2016-11-15,71.42
2016-11-16,2016-11-16,71.39
2016-11-17,2016-11-17,69.19
2016-11-18,2016-11-18,68.54
2016-11-21,2016-11-21,69.37
2016-11-22,2016-11-22,70.12
2016-11-23,2016-11-23,70.83
2016-11-25,2016-11-25,71.23
2016-11-28,2016-11-28,71.19
2016-11-29,2016-11-29,71.37
2016-11-30,2016-11-30,70.43
2016-12-01,2016-12-01,70.67
2016-12-02,2016-12-02,70.88
2016-12-05,2016-12-05,69.94
2016-12-06,2016-12-06,70.36
2016-12-07,2016-12-07,70.6
2016-12-08,2016-12-08,70.34
2016-12-09,2016-12-09,70.08
2016-12-12,2016-12-12,71.67
2016-12-13,2016-12-13,71.8
2016-12-14,2016-12-14,71.34
2016-12-15,2016-12-15,71.08
2016-12-16,2016-12-16,70.98
2016-12-19,2016-12-19,71.58
2016-12-20,2016-12-20,71.82
2016-12-21,2016-12-21,71.24
2016-12-22,2016-12-22,69.59
2016-12-23,2016-12-23,69.54
2016-12-27,2016-12-27,69.7
2016-12-28,2016-12-28,69.31
2016-12-29,2016-12-29,69.26
2016-12-30,2016-12-30,69.12
2017-01-03,2017-01-03,68.66
2017-01-04,2017-01-04,69.06
2017-01-05,2017-01-05,69.21
2017-01-06,2017-01-06,68.26
2017-01-09,2017-01-09,68.71
2017-01-10,2017-01-10,68.23
2017-01-11,2017-01-11,68.53
2017-01-12,2017-01-12,67.97
2017-01-13,2017-01-13,67.13
2017-01-17,2017-01-17,68.42
2017-01-18,2017-01-18,68.11
2017-01-19,2017-01-19,67.62
2017-01-20,2017-01-20,67.18
2017-01-23,2017-01-23,66.65
2017-01-24,2017-01-24,67.4
2017-01-25,2017-01-25,66.89
2017-01-26,2017-01-26,66.73
2017-01-27,2017-01-27,65.66
2017-01-30,2017-01-30,66.42
2017-01-31,2017-01-31,66.74
2017-02-01,2017-02-01,66.23
2017-02-02,2017-02-02,66.7
