DATE,DATE,CLOSE
2016-11-01,2016-11-01,45.31
2016-11-02,2016-11-02,45.83
2016-11-03,2016-11-03,45.62
2016-11-04,2016-11-04,46.35
2016-11-07,2016-11-07,45.27
2016-11-08,2016-11-08,45.69
2016-11-09,2016-11-09,47.69
2016-11-10,2016-11-10,48.38
2016-11-11,2016-11-11,47.95
2016-11-14,2016-11-14,49.42
2016-11-15,2016-11-15,49.65
2016-11-16,2016-11-16,50.04
2016-11-17,2016-11-17,49.78
2016-11-18,2016-11-18,50.27
2016-11-21,2016-11-21,50.46
2016-11-22,2016-11-22,50.73
2016-11-23,2016-11-23,50.86
2016-11-25,2016-11-25,51.11
2016-11-28,2016-11-28,50.92
2016-11-29,2016-11-29,50.89
2016-11-30,2016-11-30,51.2
2016-12-01,2016-12-01,50.92
2016-12-02,2016-12-02,51.01
2016-12-05,2016-12-05,51.52
2016-12-06,2016-12-06,51.77
2016-12-07,2016-12-07,52.79
2016-12-08,2016-12-08,52.73
2016-12-09,2016-12-09,52.45
2016-12-12,2016-12-12,51.07
2016-12-13,2016-12-13,51.12
2016-12-14,2016-12-14,51.47
2016-12-15,2016-12-15,52.36
2016-12-16,2016-12-16,52.72
2016-12-19,2016-12-19,52.31
2016-12-20,2016-12-20,52.48
2016-12-21,2016-12-21,52.32
2016-12-22,2016-12-22,51.53
2016-12-23,2016-12-23,51.89
2016-12-27,2016-12-27,52.27
2016-12-28,2016-12-28,51.53
2016-12-29,2016-12-29,51.61
2016-12-30,2016-12-30,50.77
2017-01-03,2017-01-03,51.22
2017-01-04,2017-01-04,51.99
2017-01-05,2017-01-05,52.23
2017-01-06,2017-01-06,52.49
2017-01-09,2017-01-09,52.2
2017-01-10,2017-01-10,52.08
2017-01-11,2017-01-11,52.43
2017-01-12,2017-01-12,52.21
2017-01-13,2017-01-13,52.35
2017-01-17,2017-01-17,51.46
2017-01-18,2017-01-18,51.68
2017-01-19,2017-01-19,51.28
2017-01-20,2017-01-20,52.21
2017-01-23,2017-01-23,53.16
2017-01-24,2017-01-24,54.05
2017-01-25,2017-01-25,55.62
2017-01-26,2017-01-26,54.42
2017-01-27,2017-01-27,53.91
2017-01-30,2017-01-30,53.76
2017-01-31,2017-01-31,53.36
2017-02-01,2017-02-01,53.21
2017-02-02,2017-02-02,53.66
2017-02-03,2017-02-03,54.33
2017-02-06,2017-02-06,54.2
2017-02-07,2017-02-07,53.9
2017-02-08,2017-02-08,54.02
2017-02-09,2017-02-09,52.31
2017-02-10,2017-02-10,52.48
2017-02-13,2017-02-13,52.7
2017-02-14,2017-02-14,53.52
2017-02-15,2017-02-15,53.86
2017-02-16,2017-02-16,54.33
2017-02-17,2017-02-17,52.66
2017-02-21,2017-02-21,53.83
2017-02-22,2017-02-22,53.19
2017-02-23,2017-02-23,53.34
2017-02-24,2017-02-24,53.43
2017-02-27,2017-02-27,53.73
2017-02-28,2017-02-28,53.72
2017-03-01,2017-03-01,54.56
2017-03-02,2017-03-02,54.05
2017-03-03,2017-03-03,54.04
2017-03-06,2017-03-06,52.16
2017-03-07,2017-03-07,50.9
2017-03-08,2017-03-08,51.3
2017-03-09,2017-03-09,50.93
2017-03-10,2017-03-10,51.24
2017-03-13,2017-03-13,51.32
2017-03-14,2017-03-14,50.87
2017-03-15,2017-03-15,51.79
2017-03-16,2017-03-16,52.45
2017-03-17,2017-03-17,52.38
2017-03-20,2017-03-20,53.09
2017-03-21,2017-03-21,51.48
2017-03-22,2017-03-22,52.46
2017-03-23,2017-03-23,52.91
2017-03-24,2017-03-24,52.4
2017-03-27,2017-03-27,51.6
2017-03-28,2017-03-28,52.86
2017-03-29,2017-03-29,52.03
2017-03-30,2017-03-30,52.56
2017-03-31,2017-03-31,52.03
2017-04-03,2017-04-03,51.23
2017-04-04,2017-04-04,51.55
2017-04-05,2017-04-05,51.6
2017-04-06,2017-04-06,51.87
2017-04-07,2017-04-07,51.08
2017-04-10,2017-04-10,51.19
2017-04-11,2017-04-11,50.99
2017-04-12,2017-04-12,49.83
2017-04-13,2017-04-13,49.34
2017-04-17,2017-04-17,50.15
2017-04-18,2017-04-18,50.63
2017-04-19,2017-04-19,52.9
2017-04-20,2017-04-20,53.08
2017-04-21,2017-04-21,53.02
2017-04-24,2017-04-24,54.02
2017-04-25,2017-04-25,54.36
2017-04-26,2017-04-26,53.65
2017-04-27,2017-04-27,54.29
2017-04-28,2017-04-28,53.56
2017-05-01,2017-05-01,54.11
2017-05-02,2017-05-02,54.19
2017-05-03,2017-05-03,53.99
2017-05-04,2017-05-04,54.11
2017-05-05,2017-05-05,55.02
2017-05-08,2017-05-08,54.61
2017-05-09,2017-05-09,53.41
2017-05-10,2017-05-10,54.11
2017-05-11,2017-05-11,54.28
2017-05-12,2017-05-12,53.68
2017-05-15,2017-05-15,54.0
2017-05-16,2017-05-16,53.79
2017-05-17,2017-05-17,52.14
2017-05-18,2017-05-18,51.59
2017-05-19,2017-05-19,51.99
2017-05-22,2017-05-22,52.31
2017-05-23,2017-05-23,52.7
2017-05-24,2017-05-24,54.31
2017-05-25,2017-05-25,55.29
2017-05-26,2017-05-26,55.15
2017-05-30,2017-05-30,55.05
2017-05-31,2017-05-31,54.42
2017-06-01,2017-06-01,55.27
2017-06-02,2017-06-02,55.1
2017-06-05,2017-06-05,54.65
2017-06-06,2017-06-06,54.12
2017-06-07,2017-06-07,55.74
2017-06-08,2017-06-08,55.46
2017-06-09,2017-06-09,57.3
2017-06-12,2017-06-12,57.27
2017-06-13,2017-06-13,57.48
2017-06-14,2017-06-14,56.8
2017-06-15,2017-06-15,57.36
2017-06-16,2017-06-16,57.49
2017-06-19,2017-06-19,57.95
2017-06-20,2017-06-20,57.24
2017-06-21,2017-06-21,56.98
2017-06-22,2017-06-22,56.85
2017-06-23,2017-06-23,57.31
2017-06-26,2017-06-26,57.03
