DATE,DATE,CLOSE
2016-11-01,2016-11-01,29.36
2016-11-02,2016-11-02,28.8
2016-11-03,2016-11-03,28.64
2016-11-04,2016-11-04,28.65
2016-11-07,2016-11-07,29.29
2016-11-08,2016-11-08,29.38
2016-11-09,2016-11-09,29.69
2016-11-10,2016-11-10,29.17
2016-11-11,2016-11-11,28.7
2016-11-14,2016-11-14,29.71
2016-11-15,2016-11-15,30.3
2016-11-16,2016-11-16,30.14
2016-11-17,2016-11-17,30.05
2016-11-18,2016-11-18,31.13
2016-11-21,2016-11-21,31.64
2016-11-22,2016-11-22,32.13
2016-11-23,2016-11-23,31.81
2016-11-25,2016-11-25,32.0
2016-11-28,2016-11-28,31.22
2016-11-29,2016-11-29,31.16
2016-11-30,2016-11-30,30.83
2016-12-01,2016-12-01,30.61
2016-12-02,2016-12-02,31.05
2016-12-05,2016-12-05,31.72
2016-12-06,2016-12-06,31.85
2016-12-07,2016-12-07,32.93
2016-12-08,2016-12-08,32.78
2016-12-09,2016-12-09,32.72
2016-12-12,2016-12-12,33.12
2016-12-13,2016-12-13,32.07
2016-12-14,2016-12-14,31.33
2016-12-15,2016-12-15,30.61
2016-12-16,2016-12-16,30.72
2016-12-19,2016-12-19,30.47
2016-12-20,2016-12-20,30.69
2016-12-21,2016-12-21,30.82
2016-12-22,2016-12-22,30.62
2016-12-23,2016-12-23,30.57
2016-12-27,2016-12-27,30.43
2016-12-28,2016-12-28,29.89
2016-12-29,2016-12-29,30.35
2016-12-30,2016-12-30,30.09
2017-01-03,2017-01-03,30.36
2017-01-04,2017-01-04,30.63
2017-01-05,2017-01-05,30.95
2017-01-06,2017-01-06,30.85
2017-01-09,2017-01-09,30.97
2017-01-10,2017-01-10,30.73
2017-01-11,2017-01-11,30.96
2017-01-12,2017-01-12,30.57
2017-01-13,2017-01-13,30.64
2017-01-17,2017-01-17,30.6
2017-01-18,2017-01-18,30.5
2017-01-19,2017-01-19,30.21
2017-01-20,2017-01-20,30.23
2017-01-23,2017-01-23,30.43
2017-01-24,2017-01-24,31.13
2017-01-25,2017-01-25,32.19
2017-01-26,2017-01-26,31.8
2017-01-27,2017-01-27,31.24
2017-01-30,2017-01-30,31.16
2017-01-31,2017-01-31,31.33
2017-02-01,2017-02-01,31.11
2017-02-02,2017-02-02,31.44
2017-02-03,2017-02-03,32.11
2017-02-06,2017-02-06,31.42
2017-02-07,2017-02-07,32.05
2017-02-08,2017-02-08,32.41
2017-02-09,2017-02-09,33.17
2017-02-10,2017-02-10,33.16
2017-02-13,2017-02-13,33.79
2017-02-14,2017-02-14,33.29
2017-02-15,2017-02-15,33.66
2017-02-16,2017-02-16,33.52
2017-02-17,2017-02-17,33.52
2017-02-21,2017-02-21,33.98
2017-02-22,2017-02-22,33.76
2017-02-23,2017-02-23,33.66
2017-02-24,2017-02-24,33.47
2017-02-27,2017-02-27,33.94
2017-02-28,2017-02-28,33.72
2017-03-01,2017-03-01,34.07
2017-03-02,2017-03-02,34.19
2017-03-03,2017-03-03,34.14
2017-03-06,2017-03-06,33.72
2017-03-07,2017-03-07,33.47
2017-03-08,2017-03-08,33.6
2017-03-09,2017-03-09,33.22
2017-03-10,2017-03-10,33.28
2017-03-13,2017-03-13,33.34
2017-03-14,2017-03-14,33.31
2017-03-15,2017-03-15,33.88
2017-03-16,2017-03-16,33.74
2017-03-17,2017-03-17,33.2
2017-03-20,2017-03-20,33.38
2017-03-21,2017-03-21,33.08
2017-03-22,2017-03-22,33.16
2017-03-23,2017-03-23,33.47
2017-03-24,2017-03-24,33.13
2017-03-27,2017-03-27,33.51
2017-03-28,2017-03-28,33.63
2017-03-29,2017-03-29,33.53
2017-03-30,2017-03-30,33.89
2017-03-31,2017-03-31,33.98
2017-04-03,2017-04-03,33.71
2017-04-04,2017-04-04,33.96
2017-04-05,2017-04-05,33.97
2017-04-06,2017-04-06,34.41
2017-04-07,2017-04-07,34.86
2017-04-10,2017-04-10,34.73
2017-04-11,2017-04-11,34.64
2017-04-12,2017-04-12,34.58
2017-04-13,2017-04-13,34.43
2017-04-17,2017-04-17,34.96
2017-04-18,2017-04-18,34.76
2017-04-19,2017-04-19,34.49
2017-04-20,2017-04-20,34.78
2017-04-21,2017-04-21,34.56
2017-04-24,2017-04-24,34.89
2017-04-25,2017-04-25,34.0
2017-04-26,2017-04-26,34.26
2017-04-27,2017-04-27,34.67
2017-04-28,2017-04-28,33.87
2017-05-01,2017-05-01,33.58
2017-05-02,2017-05-02,33.7
2017-05-03,2017-05-03,33.26
2017-05-04,2017-05-04,33.1
2017-05-05,2017-05-05,33.55
2017-05-08,2017-05-08,33.34
2017-05-09,2017-05-09,33.21
2017-05-10,2017-05-10,33.21
2017-05-11,2017-05-11,32.97
2017-05-12,2017-05-12,32.87
2017-05-15,2017-05-15,33.1
2017-05-16,2017-05-16,33.12
2017-05-17,2017-05-17,32.76
2017-05-18,2017-05-18,32.7
2017-05-19,2017-05-19,33.02
2017-05-22,2017-05-22,33.13
2017-05-23,2017-05-23,33.07
2017-05-24,2017-05-24,33.18
2017-05-25,2017-05-25,33.17
2017-05-26,2017-05-26,33.01
2017-05-30,2017-05-30,33.14
2017-05-31,2017-05-31,32.96
2017-06-01,2017-06-01,33.51
2017-06-02,2017-06-02,33.51
2017-06-05,2017-06-05,33.38
2017-06-06,2017-06-06,33.41
2017-06-07,2017-06-07,33.02
2017-06-08,2017-06-08,32.59
2017-06-09,2017-06-09,33.23
2017-06-12,2017-06-12,33.6
2017-06-13,2017-06-13,33.81
2017-06-14,2017-06-14,33.77
2017-06-15,2017-06-15,33.6
2017-06-16,2017-06-16,33.66
2017-06-19,2017-06-19,34.04
2017-06-20,2017-06-20,33.96
2017-06-21,2017-06-21,33.76
2017-06-22,2017-06-22,33.94
2017-06-23,2017-06-23,34.14
2017-06-26,2017-06-26,33.63
2017-06-27,2017-06-27,32.85
2017-06-28,2017-06-28,33.2
2017-06-29,2017-06-29,33.07
2017-06-30,2017-06-30,33.5
2017-07-03,2017-07-03,33.69
2017-07-05,2017-07-05,33.21
2017-07-06,2017-07-06,32.06
2017-07-07,2017-07-07,32.01
2017-07-10,2017-07-10,32.22
2017-07-11,2017-07-11,32.51
2017-07-12,2017-07-12,32.93
2017-07-13,2017-07-13,32.72
2017-07-14,2017-07-14,33.15
2017-07-17,2017-07-17,33.4
2017-07-18,2017-07-18,33.08
2017-07-19,2017-07-19,33.82
2017-07-20,2017-07-20,34.0
2017-07-21,2017-07-21,34.43
2017-07-24,2017-07-24,34.13
2017-07-25,2017-07-25,34.12
2017-07-26,2017-07-26,33.92
2017-07-27,2017-07-27,34.23
2017-07-28,2017-07-28,32.94
2017-07-31,2017-07-31,33.02
2017-08-01,2017-08-01,33.22
2017-08-02,2017-08-02,32.37
2017-08-03,2017-08-03,32.86
2017-08-04,2017-08-04,32.78
2017-08-07,2017-08-07,32.72
2017-08-08,2017-08-08,32.46
2017-08-09,2017-08-09,32.43
2017-08-10,2017-08-10,32.12
2017-08-11,2017-08-11,32.22
2017-08-14,2017-08-14,32.24
2017-08-15,2017-08-15,31.94
2017-08-16,2017-08-16,31.91
2017-08-17,2017-08-17,31.28
2017-08-18,2017-08-18,31.17
2017-08-21,2017-08-21,31.48
2017-08-22,2017-08-22,31.38
2017-08-23,2017-08-23,31.36
2017-08-24,2017-08-24,31.38
2017-08-25,2017-08-25,31.7
