DATE,DATE,CLOSE
2016-11-01,2016-11-01,40.86
2016-11-02,2016-11-02,40.46
2016-11-03,2016-11-03,40.62
2016-11-04,2016-11-04,40.36
2016-11-07,2016-11-07,41.15
2016-11-08,2016-11-08,41.52
2016-11-09,2016-11-09,39.58
2016-11-10,2016-11-10,38.68
2016-11-11,2016-11-11,38.84
2016-11-14,2016-11-14,38.51
2016-11-15,2016-11-15,39.25
2016-11-16,2016-11-16,39.01
2016-11-17,2016-11-17,39.0
2016-11-18,2016-11-18,38.87
2016-11-21,2016-11-21,39.34
2016-11-22,2016-11-22,39.29
2016-11-23,2016-11-23,38.77
2016-11-25,2016-11-25,39.52
2016-11-28,2016-11-28,40.32
2016-11-29,2016-11-29,40.49
2016-11-30,2016-11-30,39.01
2016-12-01,2016-12-01,38.54
2016-12-02,2016-12-02,38.74
2016-12-05,2016-12-05,38.79
2016-12-06,2016-12-06,38.77
2016-12-07,2016-12-07,39.35
2016-12-08,2016-12-08,39.25
2016-12-09,2016-12-09,39.85
2016-12-12,2016-12-12,40.47
2016-12-13,2016-12-13,40.72
2016-12-14,2016-12-14,40.04
2016-12-15,2016-12-15,40.22
2016-12-16,2016-12-16,40.69
2016-12-19,2016-12-19,40.76
2016-12-20,2016-12-20,40.98
2016-12-21,2016-12-21,40.91
2016-12-22,2016-12-22,40.67
2016-12-23,2016-12-23,40.67
2016-12-27,2016-12-27,40.73
2016-12-28,2016-12-28,40.29
2016-12-29,2016-12-29,40.94
2016-12-30,2016-12-30,40.7
2017-01-03,2017-01-03,40.62
2017-01-04,2017-01-04,40.8
2017-01-05,2017-01-05,40.8
2017-01-06,2017-01-06,40.92
2017-01-09,2017-01-09,40.3
2017-01-10,2017-01-10,40.29
2017-01-11,2017-01-11,40.69
2017-01-12,2017-01-12,40.85
2017-01-13,2017-01-13,40.65
2017-01-17,2017-01-17,41.2
2017-01-18,2017-01-18,41.33
2017-01-19,2017-01-19,40.89
2017-01-20,2017-01-20,41.07
2017-01-23,2017-01-23,40.81
2017-01-24,2017-01-24,40.79
2017-01-25,2017-01-25,40.77
2017-01-26,2017-01-26,40.91
2017-01-27,2017-01-27,40.72
2017-01-30,2017-01-30,40.73
2017-01-31,2017-01-31,41.32
2017-02-01,2017-02-01,40.63
2017-02-02,2017-02-02,41.39
2017-02-03,2017-02-03,41.45
2017-02-06,2017-02-06,41.5
2017-02-07,2017-02-07,41.66
2017-02-08,2017-02-08,42.06
2017-02-09,2017-02-09,41.76
2017-02-10,2017-02-10,41.94
2017-02-13,2017-02-13,42.03
2017-02-14,2017-02-14,41.72
2017-02-15,2017-02-15,41.61
2017-02-16,2017-02-16,41.89
2017-02-17,2017-02-17,42.0
2017-02-21,2017-02-21,42.43
2017-02-22,2017-02-22,42.49
2017-02-23,2017-02-23,42.95
2017-02-24,2017-02-24,43.34
2017-02-27,2017-02-27,43.31
2017-02-28,2017-02-28,43.71
2017-03-01,2017-03-01,43.5
2017-03-02,2017-03-02,43.85
2017-03-03,2017-03-03,43.72
2017-03-06,2017-03-06,43.62
2017-03-07,2017-03-07,43.82
2017-03-08,2017-03-08,43.05
2017-03-09,2017-03-09,43.07
2017-03-10,2017-03-10,43.5
2017-03-13,2017-03-13,43.23
2017-03-14,2017-03-14,43.25
2017-03-15,2017-03-15,44.05
2017-03-16,2017-03-16,43.58
2017-03-17,2017-03-17,43.85
2017-03-20,2017-03-20,43.59
2017-03-21,2017-03-21,44.36
2017-03-22,2017-03-22,44.51
2017-03-23,2017-03-23,44.58
2017-03-24,2017-03-24,44.77
2017-03-27,2017-03-27,44.77
2017-03-28,2017-03-28,44.93
2017-03-29,2017-03-29,44.47
2017-03-30,2017-03-30,44.31
2017-03-31,2017-03-31,44.45
2017-04-03,2017-04-03,44.4
2017-04-04,2017-04-04,44.51
2017-04-05,2017-04-05,44.82
2017-04-06,2017-04-06,44.59
2017-04-07,2017-04-07,44.4
2017-04-10,2017-04-10,44.58
2017-04-11,2017-04-11,44.58
2017-04-12,2017-04-12,44.9
2017-04-13,2017-04-13,44.82
2017-04-17,2017-04-17,45.08
2017-04-18,2017-04-18,45.1
2017-04-19,2017-04-19,44.8
2017-04-20,2017-04-20,44.65
2017-04-21,2017-04-21,44.83
2017-04-24,2017-04-24,45.02
2017-04-25,2017-04-25,45.01
2017-04-26,2017-04-26,44.84
2017-04-27,2017-04-27,45.13
2017-04-28,2017-04-28,45.05
2017-05-01,2017-05-01,44.8
2017-05-02,2017-05-02,44.81
2017-05-03,2017-05-03,44.71
2017-05-04,2017-05-04,44.92
2017-05-05,2017-05-05,45.05
2017-05-08,2017-05-08,45.13
2017-05-09,2017-05-09,44.77
2017-05-10,2017-05-10,44.89
2017-05-11,2017-05-11,45.15
2017-05-12,2017-05-12,45.58
2017-05-15,2017-05-15,45.81
2017-05-16,2017-05-16,45.57
2017-05-17,2017-05-17,45.61
2017-05-18,2017-05-18,45.64
2017-05-19,2017-05-19,45.85
2017-05-22,2017-05-22,46.3
2017-05-23,2017-05-23,46.51
2017-05-24,2017-05-24,46.77
2017-05-25,2017-05-25,47.26
2017-05-26,2017-05-26,47.3
2017-05-30,2017-05-30,47.58
2017-05-31,2017-05-31,47.91
