DATE,DATE,CLOSE
2016-11-01,2016-11-01,50.9
2016-11-02,2016-11-02,50.12
2016-11-03,2016-11-03,50.69
2016-11-04,2016-11-04,49.83
2016-11-07,2016-11-07,51.26
2016-11-08,2016-11-08,51.7
2016-11-09,2016-11-09,51.85
2016-11-10,2016-11-10,50.88
2016-11-11,2016-11-11,51.64
2016-11-14,2016-11-14,52.83
2016-11-15,2016-11-15,53.93
2016-11-16,2016-11-16,53.55
2016-11-17,2016-11-17,53.24
2016-11-18,2016-11-18,52.98
2016-11-21,2016-11-21,53.13
2016-11-22,2016-11-22,53.35
2016-11-23,2016-11-23,53.12
2016-11-25,2016-11-25,53.39
2016-11-28,2016-11-28,53.29
2016-11-29,2016-11-29,54.01
2016-11-30,2016-11-30,53.98
2016-12-01,2016-12-01,53.39
2016-12-02,2016-12-02,54.22
2016-12-05,2016-12-05,54.37
2016-12-06,2016-12-06,54.54
2016-12-07,2016-12-07,55.3
2016-12-08,2016-12-08,55.64
2016-12-09,2016-12-09,55.91
2016-12-12,2016-12-12,55.86
2016-12-13,2016-12-13,56.48
2016-12-14,2016-12-14,56.73
2016-12-15,2016-12-15,60.18
2016-12-16,2016-12-16,58.46
2016-12-19,2016-12-19,58.61
2016-12-20,2016-12-20,59.96
2016-12-21,2016-12-21,60.24
2016-12-22,2016-12-22,60.19
2016-12-23,2016-12-23,60.56
2016-12-27,2016-12-27,61.24
2016-12-28,2016-12-28,60.63
2016-12-29,2016-12-29,60.74
2016-12-30,2016-12-30,60.37
2017-01-03,2017-01-03,59.07
2017-01-04,2017-01-04,58.64
2017-01-05,2017-01-05,57.93
2017-01-06,2017-01-06,59.05
2017-01-09,2017-01-09,59.06
2017-01-10,2017-01-10,58.53
2017-01-11,2017-01-11,58.5
2017-01-12,2017-01-12,58.03
2017-01-13,2017-01-13,58.51
2017-01-17,2017-01-17,57.73
2017-01-18,2017-01-18,58.14
2017-01-19,2017-01-19,57.98
2017-01-20,2017-01-20,58.03
2017-01-23,2017-01-23,57.96
2017-01-24,2017-01-24,58.915
2017-01-25,2017-01-25,59.56
2017-01-26,2017-01-26,57.37
2017-01-27,2017-01-27,58.49
2017-01-30,2017-01-30,59.1
2017-01-31,2017-01-31,58.2
2017-02-01,2017-02-01,57.39
2017-02-02,2017-02-02,58.14
2017-02-03,2017-02-03,58.22
2017-02-06,2017-02-06,58.23
2017-02-07,2017-02-07,58.09
2017-02-08,2017-02-08,58.23
2017-02-09,2017-02-09,57.94
2017-02-10,2017-02-10,58.01
2017-02-13,2017-02-13,59.51
2017-02-14,2017-02-14,58.75
2017-02-15,2017-02-15,58.92
2017-02-16,2017-02-16,59.61
2017-02-17,2017-02-17,60.06
2017-02-21,2017-02-21,60.27
2017-02-22,2017-02-22,59.81
2017-02-23,2017-02-23,58.94
2017-02-24,2017-02-24,58.99
2017-02-27,2017-02-27,58.98
2017-02-28,2017-02-28,58.82
2017-03-01,2017-03-01,59.68
2017-03-02,2017-03-02,59.35
2017-03-03,2017-03-03,58.74
2017-03-06,2017-03-06,58.81
2017-03-07,2017-03-07,58.75
2017-03-08,2017-03-08,58.9
2017-03-09,2017-03-09,58.9
2017-03-10,2017-03-10,59.55
2017-03-13,2017-03-13,59.99
2017-03-14,2017-03-14,59.72
2017-03-15,2017-03-15,60.32
2017-03-16,2017-03-16,60.05
2017-03-17,2017-03-17,60.08
2017-03-20,2017-03-20,60.32
2017-03-21,2017-03-21,58.89
2017-03-22,2017-03-22,59.07
2017-03-23,2017-03-23,58.84
2017-03-24,2017-03-24,58.63
2017-03-27,2017-03-27,58.2
2017-03-28,2017-03-28,57.97
2017-03-29,2017-03-29,58.02
2017-03-30,2017-03-30,57.88
2017-03-31,2017-03-31,57.89
2017-04-03,2017-04-03,57.18
2017-04-04,2017-04-04,57.13
2017-04-05,2017-04-05,56.65
2017-04-06,2017-04-06,56.34
2017-04-07,2017-04-07,56.48
2017-04-10,2017-04-10,55.99
2017-04-11,2017-04-11,55.96
2017-04-12,2017-04-12,55.1
2017-04-13,2017-04-13,55.68
2017-04-17,2017-04-17,55.91
2017-04-18,2017-04-18,56.49
2017-04-19,2017-04-19,56.73
2017-04-20,2017-04-20,57.71
2017-04-21,2017-04-21,57.69
2017-04-24,2017-04-24,60.65
2017-04-25,2017-04-25,60.69
2017-04-26,2017-04-26,59.99
2017-04-27,2017-04-27,64.4
2017-04-28,2017-04-28,63.11
2017-05-01,2017-05-01,63.36
2017-05-02,2017-05-02,62.69
2017-05-03,2017-05-03,62.61
2017-05-04,2017-05-04,62.94
2017-05-05,2017-05-05,63.39
2017-05-08,2017-05-08,64.57
2017-05-09,2017-05-09,64.69
2017-05-10,2017-05-10,64.62
2017-05-11,2017-05-11,64.58
2017-05-12,2017-05-12,64.3
2017-05-15,2017-05-15,64.79
2017-05-16,2017-05-16,65.46
2017-05-17,2017-05-17,64.76
2017-05-18,2017-05-18,65.61
2017-05-19,2017-05-19,66.67
2017-05-22,2017-05-22,67.52
2017-05-23,2017-05-23,63.97
2017-05-24,2017-05-24,64.44
2017-05-25,2017-05-25,65.43
2017-05-26,2017-05-26,65.85
2017-05-30,2017-05-30,65.72
2017-05-31,2017-05-31,66.71
2017-06-01,2017-06-01,66.65
2017-06-02,2017-06-02,66.88
2017-06-05,2017-06-05,67.15
2017-06-06,2017-06-06,67.61
2017-06-07,2017-06-07,67.87
2017-06-08,2017-06-08,68.07
2017-06-09,2017-06-09,65.4
2017-06-12,2017-06-12,64.23
2017-06-13,2017-06-13,64.78
2017-06-14,2017-06-14,64.88
2017-06-15,2017-06-15,64.86
2017-06-16,2017-06-16,64.74
2017-06-19,2017-06-19,65.9
2017-06-20,2017-06-20,65.26
2017-06-21,2017-06-21,66.12
2017-06-22,2017-06-22,66.58
2017-06-23,2017-06-23,67.53
2017-06-26,2017-06-26,67.36
2017-06-27,2017-06-27,65.1
2017-06-28,2017-06-28,66.01
2017-06-29,2017-06-29,64.18
2017-06-30,2017-06-30,64.32
2017-07-03,2017-07-03,63.26
2017-07-05,2017-07-05,64.71
2017-07-06,2017-07-06,64.43
2017-07-07,2017-07-07,65.35
2017-07-10,2017-07-10,67.18
2017-07-11,2017-07-11,67.55
2017-07-12,2017-07-12,68.28
2017-07-13,2017-07-13,67.85
2017-07-14,2017-07-14,66.25
2017-07-17,2017-07-17,65.86
2017-07-18,2017-07-18,65.63
2017-07-19,2017-07-19,65.59
2017-07-20,2017-07-20,65.81
2017-07-21,2017-07-21,64.88
2017-07-24,2017-07-24,64.26
2017-07-25,2017-07-25,64.46
2017-07-26,2017-07-26,65.32
2017-07-27,2017-07-27,63.84
2017-07-28,2017-07-28,63.67
2017-07-31,2017-07-31,63.26
2017-08-01,2017-08-01,63.56
2017-08-02,2017-08-02,62.25
2017-08-03,2017-08-03,62.9
2017-08-04,2017-08-04,63.28
2017-08-07,2017-08-07,63.83
2017-08-08,2017-08-08,63.16
2017-08-09,2017-08-09,62.74
2017-08-10,2017-08-10,61.77
2017-08-11,2017-08-11,62.42
2017-08-14,2017-08-14,63.17
2017-08-15,2017-08-15,62.64
2017-08-16,2017-08-16,62.71
2017-08-17,2017-08-17,61.32
2017-08-18,2017-08-18,61.02
2017-08-21,2017-08-21,61.13
2017-08-22,2017-08-22,61.34
2017-08-23,2017-08-23,64.01
2017-08-24,2017-08-24,64.23
2017-08-25,2017-08-25,64.75
2017-08-28,2017-08-28,65.18
2017-08-29,2017-08-29,65.76
2017-08-30,2017-08-30,66.09
2017-08-31,2017-08-31,66.06
2017-09-01,2017-09-01,65.99
2017-09-05,2017-09-05,64.51
2017-09-06,2017-09-06,64.11
2017-09-07,2017-09-07,64.32
2017-09-08,2017-09-08,63.67
2017-09-11,2017-09-11,64.72
2017-09-12,2017-09-12,65.0
2017-09-13,2017-09-13,66.97
2017-09-14,2017-09-14,67.84
2017-09-15,2017-09-15,68.33
