DATE,DATE,CLOSE
2016-11-01,2016-11-01,25.028624
2016-11-02,2016-11-02,25.05497
2016-11-03,2016-11-03,24.633435
2016-11-04,2016-11-04,24.159209
2016-11-07,2016-11-07,24.528052
2016-11-08,2016-11-08,24.449014
2016-11-09,2016-11-09,25.05497
2016-11-10,2016-11-10,25.239391
2016-11-11,2016-11-11,25.028624
2016-11-14,2016-11-14,25.081316
2016-11-15,2016-11-15,25.265737
2016-11-16,2016-11-16,25.160354
2016-11-17,2016-11-17,25.239391
2016-11-18,2016-11-18,24.870548
2016-11-21,2016-11-21,25.081316
2016-11-22,2016-11-22,24.528052
2016-11-23,2016-11-23,24.422668
2016-11-25,2016-11-25,24.712473
2016-11-28,2016-11-28,25.028624
2016-11-29,2016-11-29,24.92324
2016-11-30,2016-11-30,24.633435
2016-12-01,2016-12-01,24.896894
2016-12-02,2016-12-02,25.028624
2016-12-05,2016-12-05,24.554397
2016-12-06,2016-12-06,24.501706
2016-12-07,2016-12-07,24.975932
2016-12-08,2016-12-08,25.081316
2016-12-09,2016-12-09,24.92324
2016-12-12,2016-12-12,24.501706
2016-12-13,2016-12-13,24.501706
2016-12-14,2016-12-14,23.711328
2016-12-15,2016-12-15,23.790366
2016-12-16,2016-12-16,24.053825
2016-12-19,2016-12-19,24.053825
2016-12-20,2016-12-20,24.317284
2016-12-21,2016-12-21,23.948441
2016-12-22,2016-12-22,23.737674
2016-12-23,2016-12-23,23.579598
2016-12-27,2016-12-27,23.553252
2016-12-28,2016-12-28,23.079026
2016-12-29,2016-12-29,22.973642
2016-12-30,2016-12-30,22.999988
2017-01-03,2017-01-03,27.56
2017-01-04,2017-01-04,28.6
2017-01-05,2017-01-05,28.48
2017-01-06,2017-01-06,28.04
2017-01-09,2017-01-09,27.88
2017-01-10,2017-01-10,28.12
2017-01-11,2017-01-11,28.0
2017-01-12,2017-01-12,27.76
2017-01-13,2017-01-13,28.2
2017-01-17,2017-01-17,27.72
2017-01-18,2017-01-18,28.08
2017-01-19,2017-01-19,27.76
2017-01-20,2017-01-20,27.76
2017-01-23,2017-01-23,27.56
2017-01-24,2017-01-24,27.76
2017-01-25,2017-01-25,28.0
2017-01-26,2017-01-26,27.84
2017-01-27,2017-01-27,27.92
2017-01-30,2017-01-30,27.8
2017-01-31,2017-01-31,27.72
2017-02-01,2017-02-01,28.28
2017-02-02,2017-02-02,28.68
2017-02-03,2017-02-03,28.6
2017-02-06,2017-02-06,28.28
2017-02-07,2017-02-07,28.28
2017-02-08,2017-02-08,29.44
2017-02-09,2017-02-09,29.04
2017-02-10,2017-02-10,29.2
2017-02-13,2017-02-13,29.04
2017-02-14,2017-02-14,29.92
2017-02-15,2017-02-15,29.88
2017-02-16,2017-02-16,29.6
2017-02-17,2017-02-17,29.76
2017-02-21,2017-02-21,29.76
2017-02-22,2017-02-22,29.84
2017-02-23,2017-02-23,30.12
2017-02-24,2017-02-24,30.16
2017-02-27,2017-02-27,29.76
2017-02-28,2017-02-28,29.76
2017-03-01,2017-03-01,29.56
2017-03-02,2017-03-02,29.16
2017-03-03,2017-03-03,29.44
2017-03-06,2017-03-06,29.8
2017-03-07,2017-03-07,29.44
2017-03-08,2017-03-08,29.76
