DATE,DATE,CLOSE
2016-11-01,2016-11-01,47.19
2016-11-02,2016-11-02,46.96
2016-11-03,2016-11-03,47.24
2016-11-04,2016-11-04,47.4
2016-11-07,2016-11-07,48.56
2016-11-08,2016-11-08,49.3
2016-11-09,2016-11-09,50.66
2016-11-10,2016-11-10,52.74
2016-11-11,2016-11-11,52.75
2016-11-14,2016-11-14,53.24
2016-11-15,2016-11-15,54.75
2016-11-16,2016-11-16,54.35
2016-11-17,2016-11-17,54.01
2016-11-18,2016-11-18,53.29
2016-11-21,2016-11-21,53.46
2016-11-22,2016-11-22,52.92
2016-11-23,2016-11-23,52.86
2016-11-25,2016-11-25,52.92
2016-11-28,2016-11-28,51.64
2016-11-29,2016-11-29,51.34
2016-11-30,2016-11-30,51.58
2016-12-01,2016-12-01,51.81
2016-12-02,2016-12-02,51.8
2016-12-05,2016-12-05,51.72
2016-12-06,2016-12-06,52.17
2016-12-07,2016-12-07,52.06
2016-12-08,2016-12-08,51.89
2016-12-09,2016-12-09,51.48
2016-12-12,2016-12-12,50.99
2016-12-13,2016-12-13,50.99
2016-12-14,2016-12-14,50.57
2016-12-15,2016-12-15,50.14
2016-12-16,2016-12-16,50.1
2016-12-19,2016-12-19,50.76
2016-12-20,2016-12-20,50.92
2016-12-21,2016-12-21,50.83
2016-12-22,2016-12-22,51.13
2016-12-23,2016-12-23,51.01
2016-12-27,2016-12-27,50.86
2016-12-28,2016-12-28,49.94
2016-12-29,2016-12-29,49.77
2016-12-30,2016-12-30,49.52
2017-01-03,2017-01-03,49.65
2017-01-04,2017-01-04,50.39
2017-01-05,2017-01-05,49.93
2017-01-06,2017-01-06,49.58
2017-01-09,2017-01-09,49.37
2017-01-10,2017-01-10,49.14
2017-01-11,2017-01-11,49.4
2017-01-12,2017-01-12,48.3
2017-01-13,2017-01-13,48.76
2017-01-17,2017-01-17,48.2
2017-01-18,2017-01-18,48.43
2017-01-19,2017-01-19,49.05
2017-01-20,2017-01-20,49.06
2017-01-23,2017-01-23,48.5
2017-01-24,2017-01-24,49.07
2017-01-25,2017-01-25,50.15
2017-01-26,2017-01-26,50.09
2017-01-27,2017-01-27,50.05
2017-01-30,2017-01-30,49.5
2017-01-31,2017-01-31,49.31
2017-02-01,2017-02-01,49.15
2017-02-02,2017-02-02,48.8
2017-02-03,2017-02-03,49.25
2017-02-06,2017-02-06,47.18
2017-02-07,2017-02-07,47.22
2017-02-08,2017-02-08,47.0
2017-02-09,2017-02-09,47.62
2017-02-10,2017-02-10,47.88
2017-02-13,2017-02-13,48.28
2017-02-14,2017-02-14,47.65
2017-02-15,2017-02-15,47.67
2017-02-16,2017-02-16,47.75
