DATE,DATE,CLOSE
2016-11-01,2016-11-01,103.76
2016-11-02,2016-11-02,102.02
2016-11-03,2016-11-03,102.54
2016-11-04,2016-11-04,103.01
2016-11-07,2016-11-07,104.45
2016-11-08,2016-11-08,101.83
2016-11-09,2016-11-09,101.62
2016-11-10,2016-11-10,100.68
2016-11-11,2016-11-11,98.03
2016-11-14,2016-11-14,97.99
2016-11-15,2016-11-15,101.45
2016-11-16,2016-11-16,100.88
2016-11-17,2016-11-17,100.8
2016-11-18,2016-11-18,100.64
2016-11-21,2016-11-21,102.09
2016-11-22,2016-11-22,100.81
2016-11-23,2016-11-23,101.0
2016-11-25,2016-11-25,102.36
2016-11-28,2016-11-28,101.98
2016-11-29,2016-11-29,103.4
2016-11-30,2016-11-30,101.86
2016-12-01,2016-12-01,99.79
2016-12-02,2016-12-02,100.2
2016-12-05,2016-12-05,101.43
2016-12-06,2016-12-06,104.61
2016-12-07,2016-12-07,104.42
2016-12-08,2016-12-08,104.45
2016-12-09,2016-12-09,105.22
2016-12-12,2016-12-12,105.81
2016-12-13,2016-12-13,106.73
2016-12-14,2016-12-14,104.87
2016-12-15,2016-12-15,102.65
2016-12-16,2016-12-16,103.5
2016-12-19,2016-12-19,102.86
2016-12-20,2016-12-20,101.85
2016-12-21,2016-12-21,101.66
2016-12-22,2016-12-22,101.57
2016-12-23,2016-12-23,102.32
2016-12-27,2016-12-27,103.14
2016-12-28,2016-12-28,103.06
2016-12-29,2016-12-29,103.5
2016-12-30,2016-12-30,103.2
2017-01-03,2017-01-03,103.33
2017-01-04,2017-01-04,104.28
2017-01-05,2017-01-05,104.95
2017-01-06,2017-01-06,104.96
2017-01-09,2017-01-09,107.0
2017-01-10,2017-01-10,113.67
2017-01-11,2017-01-11,114.75
2017-01-12,2017-01-12,114.43
2017-01-13,2017-01-13,115.2
2017-01-17,2017-01-17,115.45
2017-01-18,2017-01-18,115.47
2017-01-19,2017-01-19,114.58
2017-01-20,2017-01-20,113.65
2017-01-23,2017-01-23,114.16
2017-01-24,2017-01-24,114.56
2017-01-25,2017-01-25,115.94
2017-01-26,2017-01-26,115.35
2017-01-27,2017-01-27,116.96
2017-01-30,2017-01-30,115.39
2017-01-31,2017-01-31,118.33
2017-02-01,2017-02-01,118.51
2017-02-02,2017-02-02,117.62
2017-02-03,2017-02-03,118.14
2017-02-06,2017-02-06,117.24
2017-02-07,2017-02-07,118.11
2017-02-08,2017-02-08,117.15
2017-02-09,2017-02-09,117.6
2017-02-10,2017-02-10,117.33
2017-02-13,2017-02-13,117.75
2017-02-14,2017-02-14,117.18
2017-02-15,2017-02-15,117.31
2017-02-16,2017-02-16,116.32
2017-02-17,2017-02-17,116.87
2017-02-21,2017-02-21,117.17
2017-02-22,2017-02-22,116.9
2017-02-23,2017-02-23,116.38
2017-02-24,2017-02-24,116.92
2017-02-27,2017-02-27,116.96
2017-02-28,2017-02-28,117.08
2017-03-01,2017-03-01,118.89
2017-03-02,2017-03-02,118.02
2017-03-03,2017-03-03,118.28
2017-03-06,2017-03-06,117.22
2017-03-07,2017-03-07,117.07
2017-03-08,2017-03-08,117.6
2017-03-09,2017-03-09,119.18
2017-03-10,2017-03-10,120.08
2017-03-13,2017-03-13,119.79
2017-03-14,2017-03-14,118.68
2017-03-15,2017-03-15,119.65
2017-03-16,2017-03-16,119.41
2017-03-17,2017-03-17,121.67
2017-03-20,2017-03-20,121.65
2017-03-21,2017-03-21,120.98
2017-03-22,2017-03-22,121.38
2017-03-23,2017-03-23,120.4
2017-03-24,2017-03-24,120.66
2017-03-27,2017-03-27,120.29
2017-03-28,2017-03-28,121.19
2017-03-29,2017-03-29,121.37
2017-03-30,2017-03-30,121.36
2017-03-31,2017-03-31,122.11
2017-04-03,2017-04-03,121.35
2017-04-04,2017-04-04,120.77
2017-04-05,2017-04-05,120.18
2017-04-06,2017-04-06,120.2
2017-04-07,2017-04-07,119.88
2017-04-10,2017-04-10,120.03
2017-04-11,2017-04-11,119.58
2017-04-12,2017-04-12,119.17
2017-04-13,2017-04-13,119.53
2017-04-17,2017-04-17,121.16
2017-04-18,2017-04-18,119.57
2017-04-19,2017-04-19,120.26
2017-04-20,2017-04-20,121.85
2017-04-21,2017-04-21,121.19
2017-04-24,2017-04-24,123.27
2017-04-25,2017-04-25,124.49
2017-04-26,2017-04-26,125.32
2017-04-27,2017-04-27,118.1
2017-04-28,2017-04-28,119.65
2017-05-01,2017-05-01,120.82
2017-05-02,2017-05-02,120.63
2017-05-03,2017-05-03,119.43
2017-05-04,2017-05-04,116.85
2017-05-05,2017-05-05,116.54
2017-05-08,2017-05-08,116.91
2017-05-09,2017-05-09,118.66
2017-05-10,2017-05-10,119.49
2017-05-11,2017-05-11,121.02
2017-05-12,2017-05-12,121.26
2017-05-15,2017-05-15,122.33
2017-05-16,2017-05-16,119.78
2017-05-17,2017-05-17,117.72
2017-05-18,2017-05-18,117.26
2017-05-19,2017-05-19,117.67
2017-05-22,2017-05-22,117.79
2017-05-23,2017-05-23,117.81
2017-05-24,2017-05-24,119.1
2017-05-25,2017-05-25,119.3
2017-05-26,2017-05-26,119.23
2017-05-30,2017-05-30,118.43
2017-05-31,2017-05-31,119.21
2017-06-01,2017-06-01,122.67
2017-06-02,2017-06-02,123.94
2017-06-05,2017-06-05,123.93
2017-06-06,2017-06-06,124.17
2017-06-07,2017-06-07,124.35
2017-06-08,2017-06-08,125.17
2017-06-09,2017-06-09,125.01
2017-06-12,2017-06-12,125.0
2017-06-13,2017-06-13,125.47
2017-06-14,2017-06-14,125.6
2017-06-15,2017-06-15,125.84
2017-06-16,2017-06-16,125.92
2017-06-19,2017-06-19,127.09
2017-06-20,2017-06-20,127.22
2017-06-21,2017-06-21,128.52
2017-06-22,2017-06-22,129.39
2017-06-23,2017-06-23,129.09
2017-06-26,2017-06-26,129.06
2017-06-27,2017-06-27,128.25
2017-06-28,2017-06-28,128.51
2017-06-29,2017-06-29,127.89
2017-06-30,2017-06-30,128.4
2017-07-03,2017-07-03,128.38
2017-07-05,2017-07-05,127.77
2017-07-06,2017-07-06,125.63
2017-07-07,2017-07-07,127.11
2017-07-10,2017-07-10,127.4
2017-07-11,2017-07-11,126.49
2017-07-12,2017-07-12,126.36
2017-07-13,2017-07-13,128.98
2017-07-14,2017-07-14,132.49
2017-07-17,2017-07-17,132.61
2017-07-18,2017-07-18,131.18
2017-07-19,2017-07-19,131.07
2017-07-20,2017-07-20,129.47
2017-07-21,2017-07-21,129.61
2017-07-24,2017-07-24,128.79
2017-07-25,2017-07-25,128.77
2017-07-26,2017-07-26,128.7
2017-07-27,2017-07-27,125.44
2017-07-28,2017-07-28,123.78
2017-07-31,2017-07-31,121.32
2017-08-01,2017-08-01,120.32
2017-08-02,2017-08-02,117.69
2017-08-03,2017-08-03,117.16
2017-08-04,2017-08-04,117.93
2017-08-07,2017-08-07,117.19
2017-08-08,2017-08-08,115.04
2017-08-09,2017-08-09,112.86
2017-08-10,2017-08-10,110.13
2017-08-11,2017-08-11,111.7
2017-08-14,2017-08-14,112.51
2017-08-15,2017-08-15,112.97
2017-08-16,2017-08-16,113.08
2017-08-17,2017-08-17,112.42
2017-08-18,2017-08-18,111.38
2017-08-21,2017-08-21,112.77
2017-08-22,2017-08-22,113.96
2017-08-23,2017-08-23,112.28
2017-08-24,2017-08-24,112.85
2017-08-25,2017-08-25,113.19
2017-08-28,2017-08-28,112.89
2017-08-29,2017-08-29,112.82
2017-08-30,2017-08-30,113.01
2017-08-31,2017-08-31,114.27
2017-09-01,2017-09-01,114.33
2017-09-05,2017-09-05,114.24
2017-09-06,2017-09-06,115.63
2017-09-07,2017-09-07,115.67
2017-09-08,2017-09-08,115.7
2017-09-11,2017-09-11,115.8
2017-09-12,2017-09-12,116.43
2017-09-13,2017-09-13,115.89
2017-09-14,2017-09-14,115.99
2017-09-15,2017-09-15,115.47
2017-09-18,2017-09-18,116.3
2017-09-19,2017-09-19,115.48
2017-09-20,2017-09-20,116.22
2017-09-21,2017-09-21,113.06
2017-09-22,2017-09-22,114.4
2017-09-25,2017-09-25,114.37
2017-09-26,2017-09-26,114.75
2017-09-27,2017-09-27,116.25
2017-09-28,2017-09-28,115.66
2017-09-29,2017-09-29,117.09
2017-10-02,2017-10-02,117.7
2017-10-03,2017-10-03,116.15
2017-10-04,2017-10-04,117.53
2017-10-05,2017-10-05,119.16
2017-10-06,2017-10-06,119.27
2017-10-09,2017-10-09,117.52
2017-10-10,2017-10-10,118.41
2017-10-11,2017-10-11,118.64
2017-10-12,2017-10-12,120.63
2017-10-13,2017-10-13,119.7
2017-10-16,2017-10-16,119.51
2017-10-17,2017-10-17,119.93
2017-10-18,2017-10-18,120.69
2017-10-19,2017-10-19,121.88
2017-10-20,2017-10-20,122.35
2017-10-23,2017-10-23,121.7
2017-10-24,2017-10-24,121.21
2017-10-25,2017-10-25,121.46
2017-10-26,2017-10-26,121.0
2017-10-27,2017-10-27,124.46
2017-10-30,2017-10-30,121.35
2017-10-31,2017-10-31,121.62
2017-11-01,2017-11-01,115.09
2017-11-02,2017-11-02,112.32
2017-11-03,2017-11-03,109.25
2017-11-06,2017-11-06,109.34
2017-11-07,2017-11-07,108.72
2017-11-08,2017-11-08,109.17
2017-11-09,2017-11-09,111.84
2017-11-10,2017-11-10,110.75
2017-11-13,2017-11-13,111.06
2017-11-14,2017-11-14,112.21
2017-11-15,2017-11-15,111.08
2017-11-16,2017-11-16,112.24
2017-11-17,2017-11-17,111.61
2017-11-20,2017-11-20,112.18
2017-11-21,2017-11-21,113.56
2017-11-22,2017-11-22,113.07
2017-11-24,2017-11-24,113.07
2017-11-27,2017-11-27,113.39
2017-11-28,2017-11-28,115.21
2017-11-29,2017-11-29,116.52
2017-11-30,2017-11-30,117.1
2017-12-01,2017-12-01,114.57
2017-12-04,2017-12-04,114.82
2017-12-05,2017-12-05,115.49
2017-12-06,2017-12-06,115.78
2017-12-07,2017-12-07,114.78
2017-12-08,2017-12-08,113.38
2017-12-11,2017-12-11,113.51
2017-12-12,2017-12-12,113.54
2017-12-13,2017-12-13,113.52
2017-12-14,2017-12-14,112.82
2017-12-15,2017-12-15,115.24
2017-12-18,2017-12-18,114.43
2017-12-19,2017-12-19,121.38
2017-12-20,2017-12-20,121.18
2017-12-21,2017-12-21,119.95
2017-12-22,2017-12-22,120.12
2017-12-26,2017-12-26,119.96
2017-12-27,2017-12-27,120.14
2017-12-28,2017-12-28,121.75
2017-12-29,2017-12-29,120.67
2018-01-02,2018-01-02,124.06
2018-01-03,2018-01-03,124.92
2018-01-04,2018-01-04,124.74
2018-01-05,2018-01-05,125.98
2018-01-08,2018-01-08,126.22
2018-01-09,2018-01-09,124.19
2018-01-10,2018-01-10,122.53
2018-01-11,2018-01-11,122.29
2018-01-12,2018-01-12,122.1
2018-01-16,2018-01-16,121.68
2018-01-17,2018-01-17,122.49
2018-01-18,2018-01-18,122.19
2018-01-19,2018-01-19,123.48
2018-01-22,2018-01-22,126.2
2018-01-23,2018-01-23,124.51
2018-01-24,2018-01-24,125.02
2018-01-25,2018-01-25,124.74
2018-01-26,2018-01-26,126.23
2018-01-29,2018-01-29,127.39
2018-01-30,2018-01-30,125.94
2018-01-31,2018-01-31,127.12
2018-02-01,2018-02-01,128.19
2018-02-02,2018-02-02,125.79
2018-02-05,2018-02-05,123.18
2018-02-06,2018-02-06,122.3
2018-02-07,2018-02-07,120.78
2018-02-08,2018-02-08,115.53
2018-02-09,2018-02-09,116.39
2018-02-12,2018-02-12,116.52
2018-02-13,2018-02-13,115.93
2018-02-14,2018-02-14,117.7
2018-02-15,2018-02-15,119.79
