DATE,DATE,CLOSE
2016-11-01,2016-11-01,47.25
2016-11-02,2016-11-02,50.11
2016-11-03,2016-11-03,48.95
2016-11-04,2016-11-04,49.94
2016-11-07,2016-11-07,49.98
2016-11-08,2016-11-08,50.33
2016-11-09,2016-11-09,51.0
2016-11-10,2016-11-10,51.09
2016-11-11,2016-11-11,50.61
2016-11-14,2016-11-14,48.96
2016-11-15,2016-11-15,49.15
2016-11-16,2016-11-16,48.84
2016-11-17,2016-11-17,49.21
2016-11-18,2016-11-18,49.89
2016-11-21,2016-11-21,50.0
2016-11-22,2016-11-22,49.63
2016-11-23,2016-11-23,50.18
2016-11-25,2016-11-25,50.18
2016-11-28,2016-11-28,50.15
2016-11-29,2016-11-29,50.45
2016-11-30,2016-11-30,50.38
2016-12-01,2016-12-01,49.16
2016-12-02,2016-12-02,49.1
2016-12-05,2016-12-05,49.82
2016-12-06,2016-12-06,50.22
2016-12-07,2016-12-07,51.26
2016-12-08,2016-12-08,51.68
2016-12-09,2016-12-09,51.89
2016-12-12,2016-12-12,50.92
2016-12-13,2016-12-13,51.05
2016-12-14,2016-12-14,50.84
2016-12-15,2016-12-15,52.32
2016-12-16,2016-12-16,52.46
2016-12-19,2016-12-19,52.39
2016-12-20,2016-12-20,53.1
2016-12-21,2016-12-21,53.12
2016-12-22,2016-12-22,53.26
2016-12-23,2016-12-23,53.78
2016-12-27,2016-12-27,53.72
2016-12-28,2016-12-28,53.44
2016-12-29,2016-12-29,53.62
2016-12-30,2016-12-30,53.53
2017-01-03,2017-01-03,53.59
2017-01-04,2017-01-04,54.11
2017-01-05,2017-01-05,53.93
2017-01-06,2017-01-06,54.1
2017-01-09,2017-01-09,53.95
2017-01-10,2017-01-10,53.93
2017-01-11,2017-01-11,53.31
2017-01-12,2017-01-12,53.39
2017-01-13,2017-01-13,53.74
2017-01-17,2017-01-17,53.22
2017-01-18,2017-01-18,53.3
2017-01-19,2017-01-19,53.5
2017-01-20,2017-01-20,53.97
2017-01-23,2017-01-23,53.75
2017-01-24,2017-01-24,53.78
2017-01-25,2017-01-25,54.0
2017-01-26,2017-01-26,53.84
2017-01-27,2017-01-27,54.65
2017-01-30,2017-01-30,54.27
2017-01-31,2017-01-31,54.94
2017-02-01,2017-02-01,55.32
2017-02-02,2017-02-02,55.7
2017-02-03,2017-02-03,55.92
2017-02-06,2017-02-06,55.77
2017-02-07,2017-02-07,55.98
2017-02-08,2017-02-08,55.96
2017-02-09,2017-02-09,55.96
2017-02-10,2017-02-10,55.73
2017-02-13,2017-02-13,55.14
2017-02-14,2017-02-14,55.02
2017-02-15,2017-02-15,55.15
2017-02-16,2017-02-16,52.78
2017-02-17,2017-02-17,52.51
2017-02-21,2017-02-21,53.47
2017-02-22,2017-02-22,53.38
2017-02-23,2017-02-23,53.58
2017-02-24,2017-02-24,53.88
2017-02-27,2017-02-27,53.83
2017-02-28,2017-02-28,53.31
2017-03-01,2017-03-01,53.89
2017-03-02,2017-03-02,53.37
2017-03-03,2017-03-03,53.42
2017-03-06,2017-03-06,53.08
2017-03-07,2017-03-07,53.07
2017-03-08,2017-03-08,53.0
2017-03-09,2017-03-09,53.69
2017-03-10,2017-03-10,53.34
